window_id,prediction_status,tp,fp,fn,predicted_count,truth_count,mean_matched_time_error_seconds
jiufu_b1efccc0572872_first30,ok,8,3,1,11,9,0.20126436781609222
jiufu_cbf053d260a726_first30,ok,7,5,10,12,17,0.19090147783251282
jiufu_b7a3631a4e36ce_first30,ok,3,7,8,10,11,0.25754406130268254
jiufu_4cadeee3a7496f_first30,ok,5,10,5,15,10,0.1515103448275866
jiufu_0bede2d3d6e2ef_first30,ok,14,4,9,18,23,0.09161986863711047
jiufu_771e73351d8f0d_first30,ok,22,3,8,25,30,0.13680564263322836
jiufu_ed4591eaed0b3f_first30,ok,14,4,9,18,23,0.15011740558292347
jiufu_39c814598b6c9a_first30,ok,7,8,11,15,18,0.12649261083743926
jiufu_c79b86b8813e90_first30,abstain,0,0,12,,12,
jiufu_d0a278abbce35d_first30,abstain,0,0,17,,17,
jiufu_72f9214b6e39c9_first30,ok,1,8,4,9,5,0.1901494252873559
jiufu_24b7bfc0889845_first30,abstain,0,0,14,,14,
jiufu_44a8b44ef7ff55_first30,ok,7,8,3,15,10,0.14117077175697798
jiufu_46aefc048b6969_first30,ok,5,7,7,12,12,0.15828045977011526
jiufu_f19803e664a7cb_first30,ok,3,9,9,12,12,0.13447126436781623
jiufu_ca838441c991bb_first30,ok,18,3,3,21,21,0.09052171136653894
jiufu_fc574ca4aa0e22_first30,abstain,0,0,15,,15,
jiufu_366cb8600d5450_first30,ok,4,5,5,9,9,0.0965718390804608
jiufu_a72be27aa4d574_first30,ok,4,11,5,15,9,0.1835431034482764
jiufu_cc8f24e9070eb6_first30,ok,4,6,6,10,10,0.16452873563218362
jiufu_658fffa214f378_first30,ok,18,6,4,24,22,0.12761494252873537
jiufu_9fc4ab4ff20989_first30,abstain,0,0,13,,13,
jiufu_4a28bba3529d28_first30,abstain,0,0,13,,13,
jiufu_a005ae733f6503_first30,ok,3,7,5,10,8,0.14393869731800724
jiufu_1f9c8c3925bc30_first30,ok,2,12,12,14,14,0.182522988505748
jiufu_14d4ade8b6206e_first30,abstain,0,0,16,,16,
jiufu_2b9099fd06d9e1_first30,ok,5,12,7,17,12,0.22013333333333338
jiufu_370ef65c280bd7_first30,ok,7,10,8,17,15,0.11741050903119911
jiufu_931fb29cee6b4b_first30,ok,6,3,8,9,14,0.14834482758620648
jiufu_b01f0755dc6a1f_first30,ok,6,6,7,12,13,0.17986590038314146
jiufu_f242385ce55e15_first30,ok,3,7,7,10,10,0.201973180076628
jiufu_f920435ef76ec4_first30,ok,4,4,4,8,8,0.170422413793103
jiufu_7f52d294468aa5_first30,ok,3,13,12,16,15,0.18848659003831494
jiufu_11acdc6d1c6ccc_first30,ok,4,6,8,10,12,0.12391379310344908
jiufu_cc60214ff2d564_first30,ok,3,7,9,10,12,0.07129501915708698
jiufu_f23fd2fe9eb848_first30,ok,4,5,6,9,10,0.07235057471264339
jiufu_766cc912612d8c_first30,abstain,0,0,13,,13,
jiufu_126bdac0bd036b_first30,ok,3,9,9,12,12,0.12789655172413875
jiufu_c6e5a206ad0c30_first30,ok,14,3,4,17,18,0.16686617405582976
jiufu_0f7af9c769fda5_first30,ok,7,3,9,10,16,0.16807060755336625
jiufu_42402108cd09a9_first30,ok,1,6,4,7,5,0.12687356321838905
jiufu_a97a8ff157139f_first30,ok,9,2,2,11,11,0.15486334610472538
jiufu_a45d837f891e44_first30,ok,3,4,5,7,8,0.17014176245210896
jiufu_3a993354ebd1c7_first30,ok,15,2,8,17,23,0.13975708812260557
jiufu_2320c69c168a7a_first30,abstain,0,0,12,,12,
jiufu_13f838ff73e069_first30,ok,3,2,0,5,3,0.09532567049808434
jiufu_34e5b460466c18_first30,abstain,0,0,13,,13,
jiufu_7388b7efc8afb3_first30,ok,5,8,9,13,14,0.1455563218390793
jiufu_2fdd36fbe9a8ce_first30,ok,9,7,7,16,16,0.14024137931034555
jiufu_ef58cd171d4783_first30,ok,6,8,9,14,15,0.134737547892719
jiufu_96dfaf729ad3d4_first30,abstain,0,0,10,,10,
jiufu_dfa58f3a711e47_first30,ok,4,6,3,10,7,0.16283333333333272
jiufu_a1ceaa6025ff79_first30,ok,8,2,9,10,17,0.14030459770114861
jiufu_f6508f398bcf0f_first30,abstain,0,0,10,,10,
jiufu_9a1c40cbb80bb1_first30,ok,3,6,7,9,10,0.15208045977011508
jiufu_161f93bfffbe11_first30,ok,6,3,4,9,10,0.16119348659003804
jiufu_014c9b6a274fed_first30,ok,9,3,7,12,16,0.15204469987228614
jiufu_028724ccc9868d_first30,ok,12,5,6,17,18,0.14831321839080483
jiufu_0c053f837a8b23_first30,ok,8,9,6,17,14,0.16161350574712596
jiufu_8f6eabd7f2cb6e_first30,ok,3,7,7,10,10,0.12687739463601608
jiufu_21b4c4c26061d0_first30,ok,10,5,4,15,14,0.1476275862068969
jiufu_37333d1afc0ec2_first30,ok,5,10,7,15,12,0.09033333333333263
jiufu_1ededf79f4d325_first30,abstain,0,0,8,,8,
jiufu_b273cec8024eb2_first30,ok,6,7,7,13,13,0.15896168582375533
jiufu_d1a9a7ab944633_first30,ok,6,6,11,12,17,0.10335249042145699
jiufu_908496549f5b42_first30,ok,4,2,3,6,7,0.1707844827586203
jiufu_d3820405b5afe2_first30,abstain,0,0,9,,9,
jiufu_04fd6f8dc56a73_first30,ok,8,2,3,10,11,0.13514798850574752
jiufu_440a29cebcae1c_first30,ok,6,5,7,11,13,0.15070689655172398
jiufu_e2821e37ff899d_first30,ok,8,10,5,18,13,0.15496695402298874
jiufu_b80d393ca25ef8_first30,ok,4,1,0,5,4,0.20520689655172403
jiufu_adb9b6776eb349_first30,ok,15,4,6,19,21,0.11718084291187696
jiufu_d837d576df8e43_first30,ok,6,3,2,9,8,0.15749425287356306
jiufu_281bc808f4d3ff_first30,ok,2,6,11,8,13,0.10956896551724016
jiufu_bb78a10aeab6d5_first30,abstain,0,0,15,,15,
jiufu_4206de92a27bce_first30,ok,13,2,1,15,14,0.11355172413793023
jiufu_004d48d055c457_first30,abstain,0,0,14,,14,
jiufu_43743cb152c168_first30,ok,8,5,7,13,15,0.1714784482758626
jiufu_d7498380edb383_first30,ok,3,9,9,12,12,0.09928735632183876
jiufu_512d98136d6412_first30,ok,3,11,11,14,14,0.25494252873563344
jiufu_7b10e1dbd08a03_first30,abstain,0,0,14,,14,
jiufu_1b1d8d9b6faec7_first30,ok,2,8,12,10,14,0.12359195402298873
jiufu_1a11fc33fcb6cf_first30,ok,7,7,7,14,14,0.17781116584564874
jiufu_993a2261c33ae0_first30,ok,11,4,5,15,16,0.17483908045977006
jiufu_15023a4d62f18e_first30,ok,18,6,6,24,24,0.14059323116219558
jiufu_bcea2687a6b788_first30,ok,9,6,12,15,21,0.14171008939974397
jiufu_4a3dc560468965_first30,abstain,0,0,16,,16,
jiufu_af70c3cc180ae2_first30,abstain,0,0,7,,7,
jiufu_fe965ff4644d07_first30,ok,7,7,7,14,14,0.1412791461412157
jiufu_f6bca344b2c8ce_first30,ok,8,10,5,18,13,0.11198275862068978
jiufu_ce6ff507b22ee9_first30,ok,6,13,5,19,11,0.10820498084291212
jiufu_075ed4d93c9959_first30,ok,6,3,5,9,11,0.1582203065134093
jiufu_234cbf6b627421_first30,ok,3,1,17,4,20,0.20478927203065123
jiufu_0f85cab7ac58ae_first30,ok,11,3,5,14,16,0.13614002089864236
jiufu_55441b4c6fe974_first30,ok,4,9,8,13,12,0.10937068965517305
jiufu_d074036ef96d31_first30,ok,8,7,5,15,13,0.15857040229885033
jiufu_cdaa16888fda03_first30,ok,2,7,7,9,9,0.15394252873563374
jiufu_b7ed63dc0d8295_first30,ok,4,11,7,15,11,0.0834597701149411
jiufu_7f3b12c4283ff8_first30,abstain,0,0,11,,11,
jiufu_36d04432159cdf_first30,abstain,0,0,10,,10,
jiufu_9ddfe0afe06424_first30,ok,7,6,8,13,15,0.13871100164203667
jiufu_7beb44b12a5f36_first30,abstain,0,0,8,,8,
