window_id,video_id,video_path,source_path,source_start_seconds,duration_seconds,cohort,annotation_round,annotator,annotation_status,manual_breath_count,event_definition,predictions_hidden,reference_notes,prior_algorithm_exposure,browser_video_path,view_start_seconds,duration_seconds_prediction,predicted_count,prediction_status,timebase_verified,timebase,truth_count,truth_rr_bpm,predicted_rr_bpm,verified_cow_id
jiufu_94796ccea127be_first30,jiufu_94796ccea127be,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095542-989.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095542-989.MP4,0,30,jiufu271,R2,1,complete,13,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095542-989.MP4,0,30,14.0,ok,true,annotation_video_seconds,13.0,26.0,28.0,989
jiufu_3ac83315834f77_first30,jiufu_3ac83315834f77,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100915-713.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100915-713.MP4,0,30,jiufu271,R2,1,complete,7,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100915-713.MP4,0,30,7.0,ok,true,annotation_video_seconds,7.0,14.0,14.0,713
jiufu_c68c62cb67dede_first30,jiufu_c68c62cb67dede,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101454-623.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101454-623.MP4,0,30,jiufu271,R2,1,complete,10,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101454-623.MP4,0,30,13.0,ok,true,annotation_video_seconds,10.0,20.0,26.0,623
jiufu_3721f7cf5a844c_first30,jiufu_3721f7cf5a844c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101712-653.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101712-653.MP4,0,30,jiufu271,R2,1,complete,6,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101712-653.MP4,0,30,6.0,ok,true,annotation_video_seconds,6.0,12.0,12.0,653
jiufu_65b745e540b8c7_first30,jiufu_65b745e540b8c7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101932-281.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101932-281.MP4,0,30,jiufu271,R2,1,complete,11,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101932-281.MP4,0,30,12.0,ok,true,annotation_video_seconds,11.0,22.0,24.0,281
jiufu_2e919f7b4ce7d4_first30,jiufu_2e919f7b4ce7d4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102206-353.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102206-353.MP4,0,30,jiufu271,R2,1,complete,18,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102206-353.MP4,0,30,0.0,ok,true,annotation_video_seconds,18.0,36.0,0.0,353
jiufu_f7266533e3399d_first30,jiufu_f7266533e3399d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102521-558.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102521-558.MP4,0,30,jiufu271,R2,1,complete,17,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102521-558.MP4,0,30,17.0,ok,true,annotation_video_seconds,17.0,34.0,34.0,558
jiufu_bd77cfa7950eaa_first30,jiufu_bd77cfa7950eaa,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133223-743.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133223-743.MP4,0,30,jiufu271,R2,1,complete,15,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133223-743.MP4,0,30,15.0,ok,true,annotation_video_seconds,15.0,30.0,30.0,743
jiufu_90ed4ac916a295_first30,jiufu_90ed4ac916a295,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133635-179.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133635-179.MP4,0,30,jiufu271,R2,1,complete,22,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133635-179.MP4,0,30,4.0,ok,true,annotation_video_seconds,22.0,44.0,8.0,179
jiufu_cd5eea76388f30_first30,jiufu_cd5eea76388f30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133817-728.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133817-728.MP4,0,30,jiufu271,R2,1,complete,14,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133817-728.MP4,0,30,11.0,ok,true,annotation_video_seconds,14.0,28.0,22.0,728
jiufu_6cbcb0311b3ebf_first30,jiufu_6cbcb0311b3ebf,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134035-956.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134035-956.MP4,0,30,jiufu271,R2,1,complete,14,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134035-956.MP4,0,30,17.0,ok,true,annotation_video_seconds,14.0,28.0,34.0,956
jiufu_6a641dd078f572_first30,jiufu_6a641dd078f572,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134713-753.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134713-753.MP4,0,30,jiufu271,R2,1,complete,20,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134713-753.MP4,0,30,17.0,ok,true,annotation_video_seconds,20.0,40.0,34.0,753
jiufu_edd9eebe6de991_first30,jiufu_edd9eebe6de991,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134930-943.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134930-943.MP4,0,30,jiufu271,R2,1,complete,19,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134930-943.MP4,0,30,20.0,ok,true,annotation_video_seconds,19.0,38.0,40.0,943
jiufu_58c38973aff558_first30,jiufu_58c38973aff558,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135104-771.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135104-771.MP4,0,30,jiufu271,R2,1,complete,10,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135104-771.MP4,0,30,14.0,ok,true,annotation_video_seconds,10.0,20.0,28.0,771
jiufu_665326590feedb_first30,jiufu_665326590feedb,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135221-447.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135221-447.MP4,0,30,jiufu271,R2,1,complete,16,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135221-447.MP4,0,30,8.0,ok,true,annotation_video_seconds,16.0,32.0,16.0,447
jiufu_124bf365605cd6_first30,jiufu_124bf365605cd6,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140349-1299.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140349-1299.MP4,0,30,jiufu271,R2,1,complete,17,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140349-1299.MP4,0,30,10.0,ok,true,annotation_video_seconds,17.0,34.0,20.0,1299
jiufu_cc565ea0bfa396_first30,jiufu_cc565ea0bfa396,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140619-1246.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140619-1246.MP4,0,30,jiufu271,R2,1,complete,15,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140619-1246.MP4,0,30,17.0,ok,true,annotation_video_seconds,15.0,30.0,34.0,1246
jiufu_0a14da4ad52431_first30,jiufu_0a14da4ad52431,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T142101-1134.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T142101-1134.MP4,0,30,jiufu271,R2,1,complete,18,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T142101-1134.MP4,0,30,17.0,ok,true,annotation_video_seconds,18.0,36.0,34.0,1134
jiufu_abada3dda3e8b7_first30,jiufu_abada3dda3e8b7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T080938-846.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T080938-846.MP4,0,30,jiufu271,R2,1,complete,18,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T080938-846.MP4,0,30,16.0,ok,true,annotation_video_seconds,18.0,36.0,32.0,846
jiufu_0ef3b83bc00130_first30,jiufu_0ef3b83bc00130,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081221-1428.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081221-1428.MP4,0,30,jiufu271,R2,1,complete,17,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081221-1428.MP4,0,30,16.0,ok,true,annotation_video_seconds,17.0,34.0,32.0,1428
jiufu_a6ed80c55f7be6_first30,jiufu_a6ed80c55f7be6,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081830-1436.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081830-1436.MP4,0,30,jiufu271,R2,1,complete,3,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081830-1436.MP4,0,30,6.0,ok,true,annotation_video_seconds,3.0,6.0,12.0,1436
jiufu_6fa0bbd661c8bb_first30,jiufu_6fa0bbd661c8bb,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T082631-1423.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T082631-1423.MP4,0,30,jiufu271,R2,1,complete,19,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T082631-1423.MP4,0,30,15.0,ok,true,annotation_video_seconds,19.0,38.0,30.0,1423
jiufu_9eb853207f9233_first30,jiufu_9eb853207f9233,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083424-640.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083424-640.MP4,0,30,jiufu271,R2,1,complete,13,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083424-640.MP4,0,30,14.0,ok,true,annotation_video_seconds,13.0,26.0,28.0,640
jiufu_494e84a71f0d53_first30,jiufu_494e84a71f0d53,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083924-1268.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083924-1268.MP4,0,30,jiufu271,R2,1,complete,4,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083924-1268.MP4,0,30,5.0,ok,true,annotation_video_seconds,4.0,8.0,10.0,1268
jiufu_8953d49083882b_first30,jiufu_8953d49083882b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T084011-1150.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T084011-1150.MP4,0,30,jiufu271,R2,1,complete,24,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T084011-1150.MP4,0,30,25.0,ok,true,annotation_video_seconds,24.0,48.0,50.0,1150
jiufu_577eb87b4ec0fa_first30,jiufu_577eb87b4ec0fa,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T090832-1442.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T090832-1442.MP4,0,30,jiufu271,R2,1,complete,14,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T090832-1442.MP4,0,30,16.0,ok,true,annotation_video_seconds,14.0,28.0,32.0,1442
jiufu_ac7d209f2a6aec_first30,jiufu_ac7d209f2a6aec,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T091037-214.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T091037-214.MP4,0,30,jiufu271,R2,1,complete,6,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T091037-214.MP4,0,30,7.0,ok,true,annotation_video_seconds,6.0,12.0,14.0,214
jiufu_45e262858c1edf_first30,jiufu_45e262858c1edf,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105821-1146.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105821-1146.MP4,0,30,jiufu271,R2,1,complete,20,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105821-1146.MP4,0,30,13.0,ok,true,annotation_video_seconds,20.0,40.0,26.0,1146
jiufu_59f7f9462f2c30_first30,jiufu_59f7f9462f2c30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105955-165.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105955-165.MP4,0,30,jiufu271,R2,1,complete,19,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105955-165.MP4,0,30,17.0,ok,true,annotation_video_seconds,19.0,38.0,34.0,165
jiufu_6454a9e613172b_first30,jiufu_6454a9e613172b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T110405-A1022182.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T110405-A1022182.MP4,0,30,jiufu271,R2,1,complete,23,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T110405-A1022182.MP4,0,30,25.0,ok,true,annotation_video_seconds,23.0,46.0,50.0,A1022182
jiufu_80fa8dbe195b66_first30,jiufu_80fa8dbe195b66,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115158-353.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115158-353.MP4,0,30,jiufu271,R2,1,complete,22,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115158-353.MP4,0,30,18.0,ok,true,annotation_video_seconds,22.0,44.0,36.0,353
jiufu_012d9efb7d8d4c_first30,jiufu_012d9efb7d8d4c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115451-1213.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115451-1213.MP4,0,30,jiufu271,R2,1,complete,19,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115451-1213.MP4,0,30,10.0,ok,true,annotation_video_seconds,19.0,38.0,20.0,1213
jiufu_5623dc263f1364_first30,jiufu_5623dc263f1364,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120407-872.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120407-872.MP4,0,30,jiufu271,R2,1,complete,12,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120407-872.MP4,0,30,14.0,ok,true,annotation_video_seconds,12.0,24.0,28.0,872
jiufu_8254fd394c755d_first30,jiufu_8254fd394c755d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120953-1180.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120953-1180.MP4,0,30,jiufu271,R2,1,complete,14,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120953-1180.MP4,0,30,12.0,ok,true,annotation_video_seconds,14.0,28.0,24.0,1180
jiufu_33ff2c90bde0a7_first30,jiufu_33ff2c90bde0a7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121220-872.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121220-872.MP4,0,30,jiufu271,R2,1,complete,8,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121220-872.MP4,0,30,11.0,ok,true,annotation_video_seconds,8.0,16.0,22.0,872
jiufu_c37db5cf8c7d4e_first30,jiufu_c37db5cf8c7d4e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121453-1165.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121453-1165.MP4,0,30,jiufu271,R2,1,complete,7,expiration_peak,true,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121453-1165.MP4,0,30,6.0,ok,true,annotation_video_seconds,7.0,14.0,12.0,1165
