window_id,mode,score
jiufu_6a641dd078f572_first30,max,0.1469680959224625
jiufu_6a641dd078f572_first30,min,0.09439768211505678
jiufu_6a641dd078f572_first30,left,0.06179203862798696
jiufu_6a641dd078f572_first30,right,0.14054673328691672
jiufu_edd9eebe6de991_first30,mean,0.12484153504819853
jiufu_edd9eebe6de991_first30,max,0.14258914402749248
jiufu_edd9eebe6de991_first30,min,0.13042787905738965
jiufu_edd9eebe6de991_first30,left,0.08621988051946718
jiufu_edd9eebe6de991_first30,right,0.14720087054300937
jiufu_58c38973aff558_first30,mean,0.04431459593804182
jiufu_58c38973aff558_first30,max,0.03117097653586535
jiufu_58c38973aff558_first30,min,0.0686077401320964
jiufu_58c38973aff558_first30,left,0.03262737717444611
jiufu_58c38973aff558_first30,right,0.053129363820466326
jiufu_665326590feedb_first30,mean,0.05118561335056994
jiufu_665326590feedb_first30,max,0.05023365705729484
jiufu_665326590feedb_first30,min,0.04814637002686561
jiufu_665326590feedb_first30,left,0.060798718242393225
jiufu_665326590feedb_first30,right,0.06438654025061137
jiufu_124bf365605cd6_first30,mean,0.15876184613303312
jiufu_124bf365605cd6_first30,max,0.1332335289876402
jiufu_124bf365605cd6_first30,min,0.16773365453793698
jiufu_124bf365605cd6_first30,left,0.12635032940269372
jiufu_124bf365605cd6_first30,right,0.16046041260733596
jiufu_cc565ea0bfa396_first30,mean,0.08944461804141088
jiufu_cc565ea0bfa396_first30,max,0.10391964602814659
jiufu_cc565ea0bfa396_first30,min,0.06499878746876847
jiufu_cc565ea0bfa396_first30,left,0.07224414576514021
jiufu_cc565ea0bfa396_first30,right,0.07749859417914513
jiufu_0a14da4ad52431_first30,mean,0.10548896339373541
jiufu_0a14da4ad52431_first30,max,0.06035121540482952
jiufu_0a14da4ad52431_first30,min,0.11674228354349314
jiufu_0a14da4ad52431_first30,left,0.07309454817716342
jiufu_0a14da4ad52431_first30,right,0.07166368595919237
jiufu_abada3dda3e8b7_first30,mean,0.095914544582044
jiufu_abada3dda3e8b7_first30,max,0.0717883740614072
jiufu_abada3dda3e8b7_first30,min,0.09562094487918396
jiufu_abada3dda3e8b7_first30,left,0.08156376999059393
jiufu_abada3dda3e8b7_first30,right,0.07945579422080168
jiufu_0ef3b83bc00130_first30,mean,0.15568465514953314
jiufu_0ef3b83bc00130_first30,max,0.12879504220535898
jiufu_0ef3b83bc00130_first30,min,0.14438443796277767
jiufu_0ef3b83bc00130_first30,left,0.09609584210022042
jiufu_0ef3b83bc00130_first30,right,0.09442223151831074
jiufu_6d14fba7168351_first30,mean,0.15219229856307398
jiufu_6d14fba7168351_first30,max,0.1325309449707188
jiufu_6d14fba7168351_first30,min,0.10556461482798644
jiufu_6d14fba7168351_first30,left,0.07926481997815928
jiufu_6d14fba7168351_first30,right,0.12952349889045126
jiufu_a6ed80c55f7be6_first30,mean,0.06553872956296203
jiufu_a6ed80c55f7be6_first30,max,0.07452631894577762
jiufu_a6ed80c55f7be6_first30,min,0.04382481142945076
jiufu_a6ed80c55f7be6_first30,left,0.038432289887480604
jiufu_a6ed80c55f7be6_first30,right,0.06748664324048104
jiufu_6fa0bbd661c8bb_first30,mean,0.07969438159514784
jiufu_6fa0bbd661c8bb_first30,max,0.053486777579643
jiufu_6fa0bbd661c8bb_first30,min,0.0895302135202351
jiufu_6fa0bbd661c8bb_first30,left,0.10289447663424171
jiufu_6fa0bbd661c8bb_first30,right,0.06801038737958974
