variant,frame_id,predicted_keypoint,human_region,normalized_center_distance,center_inside,radius,ROI_outside_human_ellipse_fraction
clahe_l,R3-10_t00,0,1,0.45553115490578355,True,20.0,0.08432776451869531
clahe_l,R3-10_t00,1,0,0.6186315208502257,True,20.0,0.36913285600636436
clahe_l,R3-10_t20,0,1,0.5165474382138288,True,20.0,0.2863961813842482
clahe_l,R3-10_t20,1,0,0.6146431042904895,True,20.0,0.2060461416070008
clahe_l,R3-14_t10,0,1,1.2298486255480914,False,20.0,0.6722354813046937
clahe_l,R3-14_t20,0,1,1.7178348393616887,False,20.0,0.8305489260143198
clahe_l,R3-14_t20,1,0,0.517393832754583,True,20.0,0.6252983293556086
clahe_l,R3-22_t20,1,0,0.7923929446892176,True,20.0,0.4630071599045346
clahe_l,R3-23_t00,1,0,0.8629322516759956,True,20.0,0.4383452665075577
clahe_l,R3-23_t20,0,0,0.3816044351605032,True,20.0,0.10023866348448687
clahe_l,R3-24_t00,1,0,1.3562343613335086,False,20.0,0.7613365155131265
clahe_l,R3-24_t10,0,1,1.7734310752959341,False,20.0,0.9140811455847255
clahe_l,R3-24_t10,1,0,0.3932932585106861,True,20.0,0.28878281622911695
clahe_l,R3-24_t20,1,0,0.2927717382245759,True,20.0,0.10978520286396182
gray,R3-02_t10,0,1,0.2198822589865084,True,20.0,0.1614956245027844
gray,R3-02_t10,1,0,0.18738904111635168,True,20.0,0.2760540970564837
gray,R3-02_t20,0,1,0.7766768451401196,True,20.0,0.42641209228321403
gray,R3-02_t20,1,0,0.6002357854152122,True,20.0,0.3444709626093874
gray,R3-03_t00,0,0,0.7969446531779487,True,20.0,0.38822593476531425
gray,R3-09_t00,0,1,1.5330849718576685,False,20.0,0.7852028639618138
gray,R3-09_t00,1,0,2.0566488380195014,False,20.0,0.9466984884645983
gray,R3-10_t00,0,1,0.767388923209421,True,20.0,0.3540175019888624
gray,R3-10_t00,1,0,0.5687513814672062,True,20.0,0.3556085918854415
gray,R3-11_t00,0,1,2.031693870974892,False,20.0,0.8257756563245824
gray,R3-11_t00,1,0,0.5909150962556043,True,20.0,0.26332537788385046
gray,R3-14_t20,0,1,1.8335127191272127,False,20.0,0.8949880668257757
gray,R3-14_t20,1,0,0.6754174381585952,True,20.0,0.6682577565632458
gray,R3-22_t20,1,0,1.3261579906668794,False,20.0,0.7573587907716786
gray,R3-24_t00,1,0,1.5534829278011124,False,20.0,0.8647573587907716
gray,R3-24_t10,0,1,2.3434516904629064,False,20.0,1.0
gray,R3-24_t10,1,0,0.6786350413671987,True,20.0,0.42482100238663484
gray,R3-24_t20,1,0,0.5839206890044342,True,20.0,0.29196499602227527
lower75,R3-02_t00,0,1,0.5722284909473444,True,20.0,0.381066030230708
lower75,R3-02_t10,0,1,0.4452210230840958,True,20.0,0.2903739061256961
lower75,R3-02_t10,1,0,0.4242838103551119,True,20.0,0.40652346857597454
lower75,R3-02_t20,0,1,0.4059191571887196,True,20.0,0.18536197295147175
lower75,R3-02_t20,1,0,0.21995067888864053,True,20.0,0.15274463007159905
lower75,R3-05_t10,1,0,0.4522789964185963,True,20.0,0.03659506762132061
lower75,R3-06_t00,0,1,0.5566662602416901,True,20.0,0.5099443118536198
lower75,R3-06_t00,1,0,1.7474097997755575,False,20.0,0.8273667462211615
lower75,R3-06_t10,0,1,1.4183947168502737,False,20.0,0.7430389817024662
lower75,R3-09_t00,0,1,2.328002644327835,False,20.0,0.9984089101034208
lower75,R3-09_t20,0,1,1.2251449024482586,False,20.0,0.6809864757358791
lower75,R3-09_t20,1,0,0.9417109185767942,True,20.0,0.573587907716786
lower75,R3-10_t00,0,1,0.3882099399456521,True,20.0,0.03420843277645187
lower75,R3-10_t00,1,0,0.9062249391836367,True,20.0,0.5330151153540175
lower75,R3-14_t10,0,1,0.8754098985279559,True,20.0,0.5202863961813843
lower75,R3-14_t20,0,1,0.9984144885296864,True,20.0,0.6030230708035004
lower75,R3-14_t20,1,0,0.23119492786761145,True,20.0,0.6109785202863962
lower75,R3-22_t20,1,0,0.5666026657554911,True,20.0,0.3524264120922832
lower75,R3-23_t00,0,1,0.9670196852182765,True,20.0,0.5306284805091488
lower75,R3-23_t00,1,0,0.6039149524573373,True,20.0,0.21320604614160701
lower75,R3-23_t20,0,0,0.832383464925265,True,20.0,0.462211614956245
lower75,R3-24_t00,1,0,0.9603788031297678,True,20.0,0.5664280031821798
lower75,R3-24_t10,0,1,1.4512375066025716,False,20.0,0.8448687350835322
lower75,R3-24_t10,1,0,0.47406741991967444,True,20.0,0.3333333333333333
lower75,R3-24_t20,1,0,0.38017983356202617,True,20.0,0.13126491646778043
rotate_minus30,R3-03_t20,0,1,0.7242599364833329,True,20.0,0.35481304693715193
rotate_minus30,R3-03_t20,1,0,1.1579965395225504,False,20.0,0.6953062848050915
rotate_minus30,R3-11_t00,0,0,1.997881181130547,False,20.0,1.0
rotate_minus30,R3-22_t10,1,0,0.9395118438309253,True,20.0,0.568019093078759
rotate_minus30,R3-24_t10,0,1,1.0699162966243925,False,20.0,0.7303102625298329
rotate_plus30,R3-02_t00,0,1,0.5765396267952498,True,20.0,0.39936356404136836
rotate_plus30,R3-02_t00,1,0,0.587058980057972,True,20.0,0.3412887828162291
rotate_plus30,R3-02_t10,1,0,0.4094379969555532,True,20.0,0.35958631662688945
rotate_plus30,R3-02_t20,1,0,0.36922696781947034,True,20.0,0.23786793953858393
frozen_roi,R3-02_t00,0,1,0.9510759282910799,True,20.0,0.649164677804296
frozen_roi,R3-02_t00,1,0,1.22191645464669,False,20.0,0.7804295942720764
frozen_roi,R3-02_t10,0,1,0.263030368697193,True,21.0,0.20393299344501092
frozen_roi,R3-02_t10,1,0,0.13289302444509515,True,21.0,0.30152949745083757
frozen_roi,R3-02_t20,0,1,0.5669333412591387,True,20.0,0.29992044550517105
frozen_roi,R3-02_t20,1,0,0.2090861917784841,True,20.0,0.13842482100238662
frozen_roi,R3-05_t10,1,0,0.24070662671656223,True,18.0,0.0
frozen_roi,R3-09_t00,0,1,1.2407087923404092,False,20.0,0.6913285600636436
frozen_roi,R3-09_t00,1,0,1.2830973498989917,False,20.0,0.684964200477327
frozen_roi,R3-09_t20,0,1,1.0759627315049543,False,20.0,0.5974542561654733
frozen_roi,R3-09_t20,1,0,0.6738831366709891,True,20.0,0.38663484486873506
frozen_roi,R3-10_t00,0,1,0.410338447950985,True,20.0,0.04455051710421639
frozen_roi,R3-10_t00,1,0,0.26709607020494275,True,20.0,0.2832140015910899
frozen_roi,R3-10_t20,0,1,0.8140731410836085,True,22.0,0.5148319050758076
frozen_roi,R3-10_t20,1,0,0.7707989662811501,True,22.0,0.4067237969676994
frozen_roi,R3-22_t20,0,1,0.6045253411801098,True,20.0,0.5871121718377088
frozen_roi,R3-22_t20,1,0,1.1162606250401232,False,20.0,0.649164677804296
frozen_roi,R3-23_t00,0,1,1.889293365517245,False,20.0,0.9013524264120922
frozen_roi,R3-23_t00,1,0,0.8160287065522905,True,20.0,0.4105011933174224
frozen_roi,R3-23_t20,0,0,0.7342609514583068,True,17.0,0.3018867924528302
frozen_roi,R3-24_t00,1,0,1.1314867281981849,False,20.0,0.6563245823389021
frozen_roi,R3-24_t10,0,1,2.082364920948936,False,20.0,0.9570405727923628
frozen_roi,R3-24_t10,1,0,0.30957539539485035,True,20.0,0.2744630071599045
frozen_roi,R3-24_t20,1,0,0.22586282397600868,True,20.0,0.08273667462211615
