thermal_file_id,thermal_path,rgb_file_id,rgb_path,filename_clock_difference_seconds,same_cow_verified,synchronization_offset_seconds,synchronization_status
jiufu_e573c18d20b4ca,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T093246-655.MP4,jiufu_6191e116a5bb57,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_093253.mp4,7.0,,,candidate_only_not_verified
jiufu_638ea7f2298781,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T093751-1425.MP4,jiufu_0f8bc700d89334,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_093757.mp4,6.0,,,candidate_only_not_verified
jiufu_931fb29cee6b4b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T093919-880.MP4,jiufu_0f8bc700d89334,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_093757.mp4,-82.0,,,candidate_only_not_verified
jiufu_931fb29cee6b4b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T093919-880.MP4,jiufu_ba21e6ddc79fb8,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_093925.mp4,6.0,,,candidate_only_not_verified
jiufu_be8ffd0d187b42,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T094443-1469.MP4,jiufu_4f4e5f4745cd39,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_094448.mp4,5.0,,,candidate_only_not_verified
jiufu_aa06a519b41bc9,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T094824-A1022255.MP4,jiufu_b0926c9ccb1e0c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_094929.mp4,65.0,,,candidate_only_not_verified
jiufu_b01f0755dc6a1f,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T095921-639.MP4,jiufu_31c5dc5bc66636,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_095933.mp4,12.0,,,candidate_only_not_verified
jiufu_f242385ce55e15,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T085705-1436.MP4,jiufu_7f30d747225457,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_085711.mp4,6.0,,,candidate_only_not_verified
jiufu_f920435ef76ec4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T085918-1428.MP4,jiufu_b035d7ce7c2bdf,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_085925.mp4,7.0,,,candidate_only_not_verified
jiufu_d37cd7a2cec816,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T090249-668.MP4,jiufu_6e1333605487bb,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_090314.mp4,25.0,,,candidate_only_not_verified
jiufu_7f52d294468aa5,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T090618-1398.MP4,jiufu_8a75704d188898,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_090635.mp4,17.0,,,candidate_only_not_verified
jiufu_fdd90da34c7a97,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T090842-611.MP4,jiufu_024dc08acebf97,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_090848.mp4,6.0,,,candidate_only_not_verified
jiufu_11acdc6d1c6ccc,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T091106-987.MP4,jiufu_faa98d21e54ed9,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_091111.mp4,5.0,,,candidate_only_not_verified
jiufu_cc60214ff2d564,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T091342-1308.MP4,jiufu_fb8f52b4ece45e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_091353.mp4,11.0,,,candidate_only_not_verified
jiufu_f23fd2fe9eb848,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T091607-1618.MP4,jiufu_696ce08b60b2d2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_091613.mp4,6.0,,,candidate_only_not_verified
jiufu_766cc912612d8c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T091746-1066.MP4,jiufu_c577b1f65dcd95,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_091751.mp4,5.0,,,candidate_only_not_verified
jiufu_19e995b0eca6a3,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T092111-1048.MP4,jiufu_f41bdc31c8f2cd,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_092126.mp4,15.0,,,candidate_only_not_verified
jiufu_126bdac0bd036b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T092258-1630.MP4,jiufu_5610064cb0596e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_092304.mp4,6.0,,,candidate_only_not_verified
jiufu_c6e5a206ad0c30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T092514-A1021178.MP4,jiufu_b607311a85c4a5,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_092520.mp4,6.0,,,candidate_only_not_verified
jiufu_0f7af9c769fda5,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T093404-508.MP4,jiufu_85665f019a1d2d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_093410.mp4,6.0,,,candidate_only_not_verified
jiufu_42402108cd09a9,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T093703-A1021154.MP4,jiufu_73eebaf03eb3a4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_093710.mp4,7.0,,,candidate_only_not_verified
jiufu_a97a8ff157139f,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T093942-1631.MP4,jiufu_c4d2d1b090fbb0,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\VID_20240805_093948.mp4,6.0,,,candidate_only_not_verified
