cohort,method,window_id,tp,fp,fn,precision,recall,f1
R2_complete216,original,jiufu_2fc7ddf8f284e4_first30,10,8,9,0.5555555555555556,0.5263157894736842,0.5405405405405406
R2_complete216,original,jiufu_a04e9f770a2bb9_first30,9,11,14,0.45,0.391304347826087,0.4186046511627907
R2_complete216,original,jiufu_333df78fe49441_first30,11,4,3,0.7333333333333333,0.7857142857142857,0.7586206896551724
R2_complete216,original,jiufu_4263d1ee2b7d38_first30,19,1,3,0.95,0.8636363636363636,0.9047619047619048
R2_complete216,original,jiufu_7cb985938d0a6a_first30,2,10,10,0.16666666666666666,0.16666666666666666,0.16666666666666666
R2_complete216,original,jiufu_7c448f9ef64639_first30,8,8,7,0.5,0.5333333333333333,0.5161290322580645
R2_complete216,original,jiufu_bc495978774317_first30,6,7,4,0.46153846153846156,0.6,0.5217391304347826
R2_complete216,original,jiufu_e3cef2504bbb4a_first30,10,5,6,0.6666666666666666,0.625,0.6451612903225806
R2_complete216,original,jiufu_d7a117e86dae24_first30,10,5,5,0.6666666666666666,0.6666666666666666,0.6666666666666666
R2_complete216,original,jiufu_f339ead1fdb0ac_first30,9,9,7,0.5,0.5625,0.5294117647058824
R2_complete216,original,jiufu_92e9f652faa64a_first30,16,2,9,0.8888888888888888,0.64,0.7441860465116279
R2_complete216,original,jiufu_fe09caa146ddbd_first30,6,7,8,0.46153846153846156,0.42857142857142855,0.4444444444444444
R2_complete216,original,jiufu_f6c192eaf6c290_first30,5,3,8,0.625,0.38461538461538464,0.47619047619047616
R2_complete216,original,jiufu_42e874dae20aee_first30,1,6,8,0.14285714285714285,0.1111111111111111,0.125
R2_complete216,original,jiufu_b45e99f5e3803e_first30,19,4,3,0.8260869565217391,0.8636363636363636,0.8444444444444444
R2_complete216,original,jiufu_fbbccb98b40ed8_first30,3,5,5,0.375,0.375,0.375
R2_complete216,original,jiufu_b7367092cbf12f_first30,11,1,7,0.9166666666666666,0.6111111111111112,0.7333333333333333
R2_complete216,original,jiufu_61a3c1628d9017_first30,0,0,22,0.0,0.0,0.0
R2_complete216,original,jiufu_fbaed9c05fdf1a_first30,6,13,6,0.3157894736842105,0.5,0.3870967741935484
R2_complete216,original,jiufu_09732493a874e4_first30,6,15,4,0.2857142857142857,0.6,0.3870967741935484
R2_complete216,original,jiufu_afbc3c7536759a_first30,0,0,20,0.0,0.0,0.0
R2_complete216,original,jiufu_c2f523dbca4113_first30,6,10,10,0.375,0.375,0.375
R2_complete216,original,jiufu_19a4aa849045e9_first30,14,4,3,0.7777777777777778,0.8235294117647058,0.8
R2_complete216,original,jiufu_bfba3aa9a87b7c_first30,12,8,4,0.6,0.75,0.6666666666666666
R2_complete216,original,jiufu_542013dcb78dc0_first30,6,10,7,0.375,0.46153846153846156,0.41379310344827586
R2_complete216,original,jiufu_596ccaaf7a001c_first30,10,4,5,0.7142857142857143,0.6666666666666666,0.6896551724137931
R2_complete216,original,jiufu_9b4d8a24856a9f_first30,3,7,3,0.3,0.5,0.375
R2_complete216,original,jiufu_a1fad2b6534006_first30,9,3,9,0.75,0.5,0.6
R2_complete216,original,jiufu_1686565c1da471_first30,0,0,10,0.0,0.0,0.0
R2_complete216,original,jiufu_4923eea2509695_first30,14,9,7,0.6086956521739131,0.6666666666666666,0.6363636363636364
R2_complete216,original,jiufu_ff4c4ac565e3b0_first30,3,7,7,0.3,0.3,0.3
R2_complete216,original,jiufu_24afbde80aa2d4_first30,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143
R2_complete216,original,jiufu_6434f8ad9b4978_first30,0,0,17,0.0,0.0,0.0
R2_complete216,original,jiufu_0f495ca37676e0_first30,0,0,17,0.0,0.0,0.0
R2_complete216,original,jiufu_135fcf30e11031_first30,13,6,3,0.6842105263157895,0.8125,0.7428571428571429
R2_complete216,original,jiufu_21792037472910_first30,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846154
R2_complete216,original,jiufu_fdc3b301cd9ef1_first30,3,3,3,0.5,0.5,0.5
R2_complete216,original,jiufu_b1efccc0572872_first30,8,3,1,0.7272727272727273,0.8888888888888888,0.8
R2_complete216,original,jiufu_cbf053d260a726_first30,7,5,10,0.5833333333333334,0.4117647058823529,0.4827586206896552
R2_complete216,original,jiufu_b7a3631a4e36ce_first30,3,7,8,0.3,0.2727272727272727,0.2857142857142857
R2_complete216,original,jiufu_4cadeee3a7496f_first30,5,10,5,0.3333333333333333,0.5,0.4
R2_complete216,original,jiufu_0bede2d3d6e2ef_first30,14,4,9,0.7777777777777778,0.6086956521739131,0.6829268292682927
R2_complete216,original,jiufu_771e73351d8f0d_first30,22,3,8,0.88,0.7333333333333333,0.8
R2_complete216,original,jiufu_ed4591eaed0b3f_first30,14,4,9,0.7777777777777778,0.6086956521739131,0.6829268292682927
R2_complete216,original,jiufu_39c814598b6c9a_first30,7,8,11,0.4666666666666667,0.3888888888888889,0.42424242424242425
R2_complete216,original,jiufu_c79b86b8813e90_first30,0,0,12,0.0,0.0,0.0
R2_complete216,original,jiufu_d0a278abbce35d_first30,0,0,17,0.0,0.0,0.0
R2_complete216,original,jiufu_72f9214b6e39c9_first30,1,8,4,0.1111111111111111,0.2,0.14285714285714285
R2_complete216,original,jiufu_24b7bfc0889845_first30,0,0,14,0.0,0.0,0.0
R2_complete216,original,jiufu_44a8b44ef7ff55_first30,7,8,3,0.4666666666666667,0.7,0.56
R2_complete216,original,jiufu_46aefc048b6969_first30,5,7,7,0.4166666666666667,0.4166666666666667,0.4166666666666667
R2_complete216,original,jiufu_f19803e664a7cb_first30,3,9,9,0.25,0.25,0.25
R2_complete216,original,jiufu_ca838441c991bb_first30,18,3,3,0.8571428571428571,0.8571428571428571,0.8571428571428571
R2_complete216,original,jiufu_fc574ca4aa0e22_first30,0,0,15,0.0,0.0,0.0
R2_complete216,original,jiufu_366cb8600d5450_first30,4,5,5,0.4444444444444444,0.4444444444444444,0.4444444444444444
R2_complete216,original,jiufu_a72be27aa4d574_first30,4,11,5,0.26666666666666666,0.4444444444444444,0.3333333333333333
R2_complete216,original,jiufu_cc8f24e9070eb6_first30,4,6,6,0.4,0.4,0.4
R2_complete216,original,jiufu_658fffa214f378_first30,18,6,4,0.75,0.8181818181818182,0.782608695652174
R2_complete216,original,jiufu_9fc4ab4ff20989_first30,0,0,13,0.0,0.0,0.0
R2_complete216,original,jiufu_4a28bba3529d28_first30,0,0,13,0.0,0.0,0.0
R2_complete216,original,jiufu_a005ae733f6503_first30,3,7,5,0.3,0.375,0.3333333333333333
R2_complete216,original,jiufu_1f9c8c3925bc30_first30,2,12,12,0.14285714285714285,0.14285714285714285,0.14285714285714285
R2_complete216,original,jiufu_14d4ade8b6206e_first30,0,0,16,0.0,0.0,0.0
R2_complete216,original,jiufu_2b9099fd06d9e1_first30,5,12,7,0.29411764705882354,0.4166666666666667,0.3448275862068966
R2_complete216,original,jiufu_370ef65c280bd7_first30,7,10,8,0.4117647058823529,0.4666666666666667,0.4375
R2_complete216,original,jiufu_931fb29cee6b4b_first30,6,3,8,0.6666666666666666,0.42857142857142855,0.5217391304347826
R2_complete216,original,jiufu_b01f0755dc6a1f_first30,6,6,7,0.5,0.46153846153846156,0.48
R2_complete216,original,jiufu_f242385ce55e15_first30,3,7,7,0.3,0.3,0.3
R2_complete216,original,jiufu_f920435ef76ec4_first30,4,4,4,0.5,0.5,0.5
R2_complete216,original,jiufu_7f52d294468aa5_first30,3,13,12,0.1875,0.2,0.1935483870967742
R2_complete216,original,jiufu_11acdc6d1c6ccc_first30,4,6,8,0.4,0.3333333333333333,0.36363636363636365
R2_complete216,original,jiufu_cc60214ff2d564_first30,3,7,9,0.3,0.25,0.2727272727272727
R2_complete216,original,jiufu_f23fd2fe9eb848_first30,4,5,6,0.4444444444444444,0.4,0.42105263157894735
R2_complete216,original,jiufu_766cc912612d8c_first30,0,0,13,0.0,0.0,0.0
R2_complete216,original,jiufu_126bdac0bd036b_first30,3,9,9,0.25,0.25,0.25
R2_complete216,original,jiufu_c6e5a206ad0c30_first30,14,3,4,0.8235294117647058,0.7777777777777778,0.8
R2_complete216,original,jiufu_0f7af9c769fda5_first30,7,3,9,0.7,0.4375,0.5384615384615384
R2_complete216,original,jiufu_42402108cd09a9_first30,1,6,4,0.14285714285714285,0.2,0.16666666666666666
R2_complete216,original,jiufu_a97a8ff157139f_first30,9,2,2,0.8181818181818182,0.8181818181818182,0.8181818181818182
R2_complete216,original,jiufu_a45d837f891e44_first30,3,4,5,0.42857142857142855,0.375,0.4
R2_complete216,original,jiufu_3a993354ebd1c7_first30,15,2,8,0.8823529411764706,0.6521739130434783,0.75
R2_complete216,original,jiufu_2320c69c168a7a_first30,0,0,12,0.0,0.0,0.0
R2_complete216,original,jiufu_13f838ff73e069_first30,3,2,0,0.6,1.0,0.75
R2_complete216,original,jiufu_34e5b460466c18_first30,0,0,13,0.0,0.0,0.0
R2_complete216,original,jiufu_7388b7efc8afb3_first30,5,8,9,0.38461538461538464,0.35714285714285715,0.37037037037037035
R2_complete216,original,jiufu_2fdd36fbe9a8ce_first30,9,7,7,0.5625,0.5625,0.5625
R2_complete216,original,jiufu_ef58cd171d4783_first30,6,8,9,0.42857142857142855,0.4,0.41379310344827586
R2_complete216,original,jiufu_96dfaf729ad3d4_first30,0,0,10,0.0,0.0,0.0
R2_complete216,original,jiufu_dfa58f3a711e47_first30,4,6,3,0.4,0.5714285714285714,0.47058823529411764
R2_complete216,original,jiufu_a1ceaa6025ff79_first30,8,2,9,0.8,0.47058823529411764,0.5925925925925926
R2_complete216,original,jiufu_f6508f398bcf0f_first30,0,0,10,0.0,0.0,0.0
R2_complete216,original,jiufu_9a1c40cbb80bb1_first30,3,6,7,0.3333333333333333,0.3,0.3157894736842105
R2_complete216,original,jiufu_161f93bfffbe11_first30,6,3,4,0.6666666666666666,0.6,0.631578947368421
R2_complete216,original,jiufu_014c9b6a274fed_first30,9,3,7,0.75,0.5625,0.6428571428571429
R2_complete216,original,jiufu_028724ccc9868d_first30,12,5,6,0.7058823529411765,0.6666666666666666,0.6857142857142857
R2_complete216,original,jiufu_0c053f837a8b23_first30,8,9,6,0.47058823529411764,0.5714285714285714,0.5161290322580645
R2_complete216,original,jiufu_8f6eabd7f2cb6e_first30,3,7,7,0.3,0.3,0.3
R2_complete216,original,jiufu_21b4c4c26061d0_first30,10,5,4,0.6666666666666666,0.7142857142857143,0.6896551724137931
R2_complete216,original,jiufu_37333d1afc0ec2_first30,5,10,7,0.3333333333333333,0.4166666666666667,0.37037037037037035
R2_complete216,original,jiufu_1ededf79f4d325_first30,0,0,8,0.0,0.0,0.0
R2_complete216,original,jiufu_b273cec8024eb2_first30,6,7,7,0.46153846153846156,0.46153846153846156,0.46153846153846156
R2_complete216,original,jiufu_d1a9a7ab944633_first30,6,6,11,0.5,0.35294117647058826,0.41379310344827586
R2_complete216,original,jiufu_908496549f5b42_first30,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846154
R2_complete216,original,jiufu_d3820405b5afe2_first30,0,0,9,0.0,0.0,0.0
R2_complete216,original,jiufu_04fd6f8dc56a73_first30,8,2,3,0.8,0.7272727272727273,0.7619047619047619
R2_complete216,original,jiufu_440a29cebcae1c_first30,6,5,7,0.5454545454545454,0.46153846153846156,0.5
R2_complete216,original,jiufu_e2821e37ff899d_first30,8,10,5,0.4444444444444444,0.6153846153846154,0.5161290322580645
R2_complete216,original,jiufu_b80d393ca25ef8_first30,4,1,0,0.8,1.0,0.8888888888888888
