window_id,review_id,finite_signal_fraction,longest_bilateral_missing_seconds,selected_mode,raw_absent_frames,missing_but_numeric_fused_frames,reference_events_during_missing,tp,fp,fn,rr_abs_error
jiufu_3a993354ebd1c7_first30,,0.6398467432950191,2.1839080459770117,left,94,94,2,15.0,2.0,8.0,12.0
jiufu_13f838ff73e069_first30,R3-11,0.1647509578544061,8.39080459770115,right,218,218,0,3.0,2.0,0.0,4.0
jiufu_7388b7efc8afb3_first30,,0.5555555555555556,2.298850574712644,left,116,116,5,5.0,8.0,9.0,2.0
jiufu_cbc238aa9bbc71_first30,,0.3984674329501915,3.3333333333333335,right,157,157,0,,,,
jiufu_2fdd36fbe9a8ce_first30,,0.6398467432950191,1.9540229885057472,min,94,94,5,9.0,7.0,7.0,0.0
jiufu_ef58cd171d4783_first30,,0.8275862068965517,1.4942528735632186,min,45,45,2,6.0,8.0,9.0,2.0
jiufu_dfa58f3a711e47_first30,,0.4291187739463601,2.6436781609195403,right,149,149,0,4.0,6.0,3.0,6.0
jiufu_a1ceaa6025ff79_first30,,0.367816091954023,8.85057471264368,right,165,165,10,8.0,2.0,9.0,14.0
jiufu_376f61387ab710_first30,,0.3563218390804598,4.597701149425288,right,168,168,0,,,,
jiufu_9a1c40cbb80bb1_first30,,0.7471264367816092,3.1034482758620694,right,66,66,2,3.0,6.0,7.0,2.0
jiufu_161f93bfffbe11_first30,,0.4865900383141762,12.52873563218391,min,134,134,0,6.0,3.0,4.0,2.0
jiufu_014c9b6a274fed_first30,,0.4482758620689655,8.505747126436782,min,144,144,7,9.0,3.0,7.0,8.0
jiufu_028724ccc9868d_first30,,0.9003831417624522,1.8390804597701151,min,26,26,1,12.0,5.0,6.0,2.0
jiufu_0c053f837a8b23_first30,,0.8237547892720306,1.4942528735632186,min,46,46,1,8.0,9.0,6.0,6.0
jiufu_8f6eabd7f2cb6e_first30,,0.6819923371647509,2.0689655172413794,left,83,83,1,3.0,7.0,7.0,0.0
jiufu_21b4c4c26061d0_first30,,0.8582375478927203,2.873563218390805,min,37,37,1,10.0,5.0,4.0,2.0
jiufu_37333d1afc0ec2_first30,,0.4482758620689655,4.597701149425288,left,144,144,6,5.0,10.0,7.0,6.0
jiufu_b273cec8024eb2_first30,,0.8582375478927203,2.988505747126437,min,37,37,0,6.0,7.0,7.0,0.0
jiufu_d1a9a7ab944633_first30,,0.4099616858237548,4.942528735632185,min,154,154,9,6.0,6.0,11.0,10.0
jiufu_908496549f5b42_first30,,0.2298850574712643,17.471264367816094,right,201,201,1,4.0,2.0,3.0,2.0
jiufu_04fd6f8dc56a73_first30,,0.5019157088122606,8.045977011494253,right,130,130,2,8.0,2.0,3.0,2.0
jiufu_440a29cebcae1c_first30,R3-09,0.6168582375478927,8.045977011494253,left,100,100,3,6.0,5.0,7.0,4.0
jiufu_8538e6e6160d83_first30,,0.6590038314176245,2.873563218390805,min,89,89,0,,,,
jiufu_e2821e37ff899d_first30,,1.0,0.0,left,0,0,0,8.0,10.0,5.0,10.0
jiufu_b80d393ca25ef8_first30,,0.210727969348659,9.310344827586208,right,206,206,1,4.0,1.0,0.0,2.0
jiufu_adb9b6776eb349_first30,,0.942528735632184,1.7241379310344829,min,15,15,0,15.0,4.0,6.0,4.0
jiufu_8fea3748e16a76_first30,,0.0804597701149425,20.344827586206897,left,240,240,0,,,,
jiufu_d837d576df8e43_first30,,0.3103448275862069,9.770114942528737,left,180,180,1,6.0,3.0,2.0,2.0
jiufu_281bc808f4d3ff_first30,,0.4597701149425287,14.022988505747128,right,141,141,5,2.0,6.0,11.0,10.0
jiufu_4206de92a27bce_first30,,0.6666666666666666,4.597701149425288,min,87,87,1,13.0,2.0,1.0,2.0
jiufu_6a5dbf528731c7_first30,,0.3716475095785441,7.701149425287357,min,164,164,0,,,,
jiufu_ed27d896cd2a66_first30,,0.524904214559387,6.206896551724139,left,124,124,0,,,,
jiufu_43743cb152c168_first30,,0.5134099616858238,3.6781609195402303,min,127,127,4,8.0,5.0,7.0,4.0
jiufu_d7498380edb383_first30,,0.5938697318007663,6.206896551724139,min,106,106,0,3.0,9.0,9.0,0.0
jiufu_512d98136d6412_first30,,0.9348659003831418,0.6896551724137931,left,17,17,0,3.0,11.0,11.0,0.0
jiufu_1b1d8d9b6faec7_first30,,0.7624521072796935,2.6436781609195403,right,62,62,3,2.0,8.0,12.0,8.0
jiufu_1a11fc33fcb6cf_first30,,0.6743295019157088,3.218390804597701,min,85,85,3,7.0,7.0,7.0,0.0
jiufu_993a2261c33ae0_first30,,0.632183908045977,2.1839080459770117,left,96,96,3,11.0,4.0,5.0,2.0
jiufu_15023a4d62f18e_first30,,0.9118773946360154,1.149425287356322,min,23,23,0,18.0,6.0,6.0,0.0
jiufu_bcea2687a6b788_first30,,0.4712643678160919,3.3333333333333335,min,138,138,12,9.0,6.0,12.0,12.0
jiufu_3f4036e1d8bfe3_first30,,0.6973180076628352,5.862068965517242,left,79,79,0,,,,
jiufu_aed28276135071_first30,,0.6091954022988506,6.321839080459771,left,102,102,0,,,,
jiufu_fe965ff4644d07_first30,,0.6513409961685823,2.1839080459770117,min,91,91,3,7.0,7.0,7.0,0.0
jiufu_f6bca344b2c8ce_first30,,0.9003831417624522,1.9540229885057472,left,26,26,0,8.0,10.0,5.0,10.0
jiufu_ce6ff507b22ee9_first30,,0.789272030651341,1.7241379310344829,min,55,55,1,6.0,13.0,5.0,16.0
jiufu_075ed4d93c9959_first30,,0.6513409961685823,5.74712643678161,min,91,91,0,6.0,3.0,5.0,4.0
jiufu_234cbf6b627421_first30,,0.0957854406130268,4.8275862068965525,right,236,236,18,3.0,1.0,17.0,32.0
jiufu_1dc98a0ed074ec_first30,,0.1647509578544061,7.816091954022989,min,218,218,10,,,,
jiufu_0f85cab7ac58ae_first30,,0.8659003831417624,1.4942528735632186,right,35,35,1,11.0,3.0,5.0,4.0
jiufu_55441b4c6fe974_first30,R3-24,0.7547892720306514,3.7931034482758625,min,64,64,2,4.0,9.0,8.0,2.0
jiufu_d074036ef96d31_first30,,0.5900383141762452,4.252873563218391,min,107,107,2,8.0,7.0,5.0,4.0
jiufu_cdaa16888fda03_first30,,0.4061302681992337,4.71264367816092,left,155,155,2,2.0,7.0,7.0,0.0
jiufu_b7ed63dc0d8295_first30,,0.9080459770114944,1.4942528735632186,left,24,24,2,4.0,11.0,7.0,8.0
jiufu_e47f27f9b4fe1b_first30,,0.2337164750957854,2.873563218390805,left,200,200,0,,,,
jiufu_9ddfe0afe06424_first30,,0.7701149425287356,3.218390804597701,right,60,60,4,7.0,6.0,8.0,4.0
