cohort,video_id,side,frame_index,temperature,image_path,rule
anchored49,200718,left,198,33.57123788690829,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200718\frame_000198.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,200718,left,199,33.39109719630029,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200718\frame_000199.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,ba455,right,121,32.118884797547935,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ba455\frame_000121.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,ba455,right,122,32.12692897507251,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ba455\frame_000122.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,ba455,right,123,32.18835596883355,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ba455\frame_000123.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,bs455,right,42,29.97192497568103,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\bs455\frame_000042.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,ns170082,right,253,32.563842055828914,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns170082\frame_000253.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,ns170082,right,254,32.66126591298511,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns170082\frame_000254.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,ns200886,right,31,31.73587396686555,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns200886\frame_000031.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,ns200886,right,32,31.86052802797415,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns200886\frame_000032.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,ns200886,right,180,32.247668323915796,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns200886\frame_000180.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,ns210947,right,238,31.16433476057337,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns210947\frame_000238.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,ns210947,right,239,31.18301700981196,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns210947\frame_000239.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,zs211062,left,9,32.0512628170112,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\zs211062\frame_000009.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,zs211062,left,10,31.503361602201153,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\zs211062\frame_000010.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,zs211062,right,9,31.177312057965317,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\zs211062\frame_000009.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,zs211062,right,10,30.24511226054139,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\zs211062\frame_000010.jpg,internal_gap<=3;direct_anchors;shift<=20px
