window_id,prediction_event_id,contributor_frame,center_frame,side,origin,reference_frame_id,spatially_reviewed,center_inside_human_region
jiufu_440a29cebcae1c_first30,p239,239,239,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p239,240,239,left,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p7,6,7,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p7,7,7,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p7,8,7,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p15,14,15,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p15,15,15,right,temperature_interpolated,,False,
jiufu_f920435ef76ec4_first30,p15,16,15,right,temperature_interpolated,,False,
jiufu_f920435ef76ec4_first30,p69,68,69,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p69,69,69,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p69,70,69,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p101,100,101,right,temperature_interpolated,,False,
jiufu_f920435ef76ec4_first30,p101,101,101,right,temperature_interpolated,,False,
jiufu_f920435ef76ec4_first30,p101,102,101,right,raw_inferred,,False,
jiufu_f920435ef76ec4_first30,p168,167,168,right,temperature_interpolated,,False,
jiufu_f920435ef76ec4_first30,p168,168,168,right,temperature_interpolated,,False,
jiufu_f920435ef76ec4_first30,p168,169,168,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p178,177,178,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p178,178,178,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p178,179,178,right,temperature_interpolated,,False,
jiufu_f920435ef76ec4_first30,p203,202,203,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p203,203,203,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p203,204,203,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p215,214,215,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p215,215,215,right,raw_direct,,False,
jiufu_f920435ef76ec4_first30,p215,216,215,right,raw_inferred,,False,
jiufu_bd77cfa7950eaa_first30,p35,34,35,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p35,35,35,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p35,36,35,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p51,50,51,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p51,51,51,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p51,52,51,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p88,87,88,right,temperature_interpolated,R3-22_t10,True,False
jiufu_bd77cfa7950eaa_first30,p88,88,88,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p88,89,88,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p101,100,101,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p101,101,101,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p101,102,101,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p112,111,112,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p112,112,112,left,raw_inferred,,False,
jiufu_bd77cfa7950eaa_first30,p112,113,112,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p121,120,121,right,temperature_interpolated,,False,
jiufu_bd77cfa7950eaa_first30,p121,121,121,right,raw_inferred,,False,
jiufu_bd77cfa7950eaa_first30,p121,122,121,left,temperature_interpolated,,False,
jiufu_bd77cfa7950eaa_first30,p140,139,140,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p140,140,140,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p140,141,140,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p150,149,150,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p150,150,150,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p150,151,150,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p169,168,169,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p169,169,169,left,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p169,170,169,left,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p178,177,178,right,raw_inferred,,False,
jiufu_bd77cfa7950eaa_first30,p178,178,178,right,temperature_interpolated,,False,
jiufu_bd77cfa7950eaa_first30,p178,179,178,left,temperature_interpolated,,False,
jiufu_bd77cfa7950eaa_first30,p188,187,188,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p188,188,188,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p188,189,188,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p203,202,203,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p203,203,203,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p203,204,203,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p222,221,222,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p222,222,222,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p222,223,222,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p238,237,238,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p238,238,238,right,temperature_interpolated,,False,
jiufu_bd77cfa7950eaa_first30,p238,239,238,right,temperature_interpolated,,False,
jiufu_bd77cfa7950eaa_first30,p254,253,254,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p254,254,254,right,raw_direct,,False,
jiufu_bd77cfa7950eaa_first30,p254,255,254,right,raw_direct,,False,
jiufu_cc60214ff2d564_first30,p48,47,48,left,raw_direct,,False,
jiufu_cc60214ff2d564_first30,p48,48,48,left,raw_direct,,False,
jiufu_cc60214ff2d564_first30,p48,49,48,right,temperature_interpolated,,False,
jiufu_cc60214ff2d564_first30,p106,105,106,right,temperature_interpolated,,False,
jiufu_cc60214ff2d564_first30,p106,106,106,right,raw_inferred,,False,
jiufu_cc60214ff2d564_first30,p106,107,106,right,temperature_interpolated,,False,
jiufu_cc60214ff2d564_first30,p123,122,123,right,raw_inferred,,False,
jiufu_cc60214ff2d564_first30,p123,123,123,right,raw_inferred,,False,
jiufu_cc60214ff2d564_first30,p123,124,123,left,raw_direct,,False,
jiufu_cc60214ff2d564_first30,p141,140,141,left,temperature_interpolated,,False,
jiufu_cc60214ff2d564_first30,p141,141,141,right,temperature_interpolated,,False,
jiufu_cc60214ff2d564_first30,p141,142,141,right,raw_inferred,,False,
jiufu_cc60214ff2d564_first30,p152,151,152,right,temperature_interpolated,,False,
jiufu_cc60214ff2d564_first30,p152,152,152,right,temperature_interpolated,,False,
jiufu_cc60214ff2d564_first30,p152,153,152,right,raw_inferred,,False,
jiufu_cc60214ff2d564_first30,p161,160,161,right,raw_inferred,,False,
jiufu_cc60214ff2d564_first30,p161,161,161,right,raw_inferred,,False,
jiufu_cc60214ff2d564_first30,p161,162,161,right,raw_inferred,,False,
jiufu_cc60214ff2d564_first30,p205,204,205,left,raw_inferred,,False,
jiufu_cc60214ff2d564_first30,p205,205,205,left,raw_inferred,,False,
jiufu_cc60214ff2d564_first30,p205,206,205,left,raw_inferred,,False,
jiufu_cc60214ff2d564_first30,p226,225,226,left,raw_direct,,False,
jiufu_cc60214ff2d564_first30,p226,226,226,right,raw_direct,,False,
jiufu_cc60214ff2d564_first30,p226,227,226,right,raw_direct,,False,
jiufu_cc60214ff2d564_first30,p236,235,236,left,raw_direct,,False,
jiufu_cc60214ff2d564_first30,p236,236,236,left,raw_direct,,False,
jiufu_cc60214ff2d564_first30,p236,237,236,left,raw_direct,,False,
jiufu_cc60214ff2d564_first30,p249,248,249,right,raw_inferred,,False,
jiufu_cc60214ff2d564_first30,p249,249,249,right,temperature_interpolated,,False,
jiufu_cc60214ff2d564_first30,p249,250,249,right,temperature_interpolated,,False,
jiufu_55441b4c6fe974_first30,p3,2,3,left,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p3,3,3,left,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p3,4,3,left,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p13,12,13,left,temperature_interpolated,,False,
jiufu_55441b4c6fe974_first30,p13,13,13,left,temperature_interpolated,,False,
jiufu_55441b4c6fe974_first30,p13,14,13,left,temperature_interpolated,,False,
jiufu_55441b4c6fe974_first30,p23,22,23,left,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p23,23,23,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p23,24,23,left,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p38,37,38,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p38,38,38,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p38,39,38,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p57,56,57,right,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p57,57,57,left,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p57,58,57,right,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p76,75,76,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p76,76,76,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p76,77,76,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p93,92,93,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p93,93,93,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p93,94,93,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p111,110,111,left,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p111,111,111,left,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p111,112,111,left,temperature_interpolated,,False,
jiufu_55441b4c6fe974_first30,p164,163,164,left,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p164,164,164,left,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p164,165,164,left,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p171,170,171,left,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p171,171,171,left,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p171,172,171,left,raw_inferred,,False,
jiufu_55441b4c6fe974_first30,p183,182,183,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p183,183,183,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p183,184,183,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p196,195,196,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p196,196,196,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p196,197,196,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p242,241,242,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p242,242,242,right,raw_direct,,False,
jiufu_55441b4c6fe974_first30,p242,243,242,right,raw_direct,,False,
