window_id,review_id,reference_event_id,reference_seconds,previous_classification,frozen_prediction_status,abstention_reason,nearby_maximum_count,nearby_minimum_count,selected_mode,selected_candidate_flags,observed_route
jiufu_7cb985938d0a6a_first30,R3-02,4c84c598-59a0-470d-96cc-8c2c7f9f6b53,17.687,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_7cb985938d0a6a_first30,R3-02,d44427b2-7ceb-475c-9847-ac5a06befb1d,20.282,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_7cb985938d0a6a_first30,R3-02,cda7bd1c-2efe-42ae-b814-727b0217f9a1,23.022,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_7cb985938d0a6a_first30,R3-02,a7c8a2ed-23eb-4e10-baf2-2f0e3411c539,27.315,maximum_only,ok,,1,0,left,,maximum_only_in_nonselected_side
jiufu_7cb985938d0a6a_first30,R3-02,b3b6f137-1568-407c-9b73-07c3f3de1b44,29.058,maximum_only,ok,,1,0,left,,maximum_only_in_nonselected_side
jiufu_2aaced556ff39d_first30,R3-03,9bfa3ab7-c3e1-48fd-b185-7b9fbf8f6981,2.243,no_extremum_within_tolerance,abstain,long_timestamp_gap,0,0,,,whole_window_abstention
jiufu_2aaced556ff39d_first30,R3-03,ebd600ce-7158-48dd-afbd-66fab0b3e4ba,7.348,maximum_only,abstain,long_timestamp_gap,1,0,,,whole_window_abstention
jiufu_2aaced556ff39d_first30,R3-03,47a6325a-a462-4be5-b849-bbab570dc132,14.127,no_extremum_within_tolerance,abstain,long_timestamp_gap,0,0,,,whole_window_abstention
jiufu_2aaced556ff39d_first30,R3-03,d3093677-46ea-4225-9fbb-93f9177190e0,15.898,no_observed_ROI_sample,abstain,long_timestamp_gap,0,0,,,whole_window_abstention
jiufu_2aaced556ff39d_first30,R3-03,4b36944b-d0ce-430f-8a72-4913b7b51099,19.943,no_observed_ROI_sample,abstain,long_timestamp_gap,0,0,,,whole_window_abstention
jiufu_2aaced556ff39d_first30,R3-03,5e3b9eee-ba8e-4a56-b3a5-3764acf4b326,23.922,maximum_only,abstain,long_timestamp_gap,2,0,,,whole_window_abstention
jiufu_2aaced556ff39d_first30,R3-03,7f4dd91d-913d-459e-b8aa-f73bd253c518,26.033,no_observed_ROI_sample,abstain,long_timestamp_gap,0,0,,,whole_window_abstention
jiufu_2aaced556ff39d_first30,R3-03,956ce040-e899-4ae6-860f-ba8053b00dad,27.78,no_extremum_within_tolerance,abstain,long_timestamp_gap,0,0,,,whole_window_abstention
jiufu_2aaced556ff39d_first30,R3-03,94dd5183-85e3-433a-8069-2833c17d269f,29.678,no_extremum_within_tolerance,abstain,long_timestamp_gap,0,0,,,whole_window_abstention
jiufu_0d1522aef374ec_first30,R3-05,e4517388-45a6-401f-ba51-457a0436096e,1.238,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_0d1522aef374ec_first30,R3-05,42f0cd75-f99b-4fe4-a4ad-d1e6bb7a1bf3,4.427,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_0d1522aef374ec_first30,R3-05,a47cf22b-1ef8-42c6-be5b-685283a393b7,15.702,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_0d1522aef374ec_first30,R3-05,2f4e387a-0949-49ff-87a7-6900b0fb9d6f,28.922,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_440a29cebcae1c_first30,R3-09,6b6803c8-536f-429a-b76f-419f51c49f37,1.845,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_440a29cebcae1c_first30,R3-09,4e32647b-8cf7-484d-92e0-e7b84b5b3276,5.607,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_440a29cebcae1c_first30,R3-09,b6786106-c16b-4489-b2a2-64d24b4d474c,7.492,no_observed_ROI_sample,ok,,0,0,,,no_ROI_temperature_near_reference
jiufu_440a29cebcae1c_first30,R3-09,0f6d7072-1442-415e-873a-72fe364d2a9a,9.4,no_observed_ROI_sample,ok,,0,0,,,no_ROI_temperature_near_reference
jiufu_440a29cebcae1c_first30,R3-09,7d3a0666-8303-4af1-b9f6-da305dfa33c7,14.332,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_440a29cebcae1c_first30,R3-09,6d24c2df-f72f-4011-8ff4-7bb76e51da5d,18.83,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_440a29cebcae1c_first30,R3-09,96c5b7bb-5696-4b83-b911-180808d37e45,23.558,maximum_only,ok,,1,0,left,,maximum_only_in_nonselected_side
jiufu_440a29cebcae1c_first30,R3-09,cc9a734b-c7ba-4bc5-86ff-2f32def01505,29.412,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_f920435ef76ec4_first30,R3-10,7c7f3efc-1043-41b5-9333-03174b62e318,2.512,no_observed_ROI_sample,ok,,0,0,,,no_ROI_temperature_near_reference
jiufu_f920435ef76ec4_first30,R3-10,1922786a-49e1-417a-b44d-1e0fa0484e85,12.33,no_observed_ROI_sample,ok,,0,0,,,no_ROI_temperature_near_reference
jiufu_f920435ef76ec4_first30,R3-10,4536aef8-424f-4cd2-8a1a-77380f09de70,18.272,no_observed_ROI_sample,ok,,0,0,,,no_ROI_temperature_near_reference
jiufu_f920435ef76ec4_first30,R3-10,5ad123b2-c982-472b-9eab-b41eb57ff7f4,22.705,maximum_only,ok,,1,0,right,,maximum_only_in_nonselected_side
jiufu_f920435ef76ec4_first30,R3-10,7dc5d6d3-105d-4ffb-82f1-12d1a688f1e7,29.532,no_observed_ROI_sample,ok,,0,0,,,no_ROI_temperature_near_reference
jiufu_f920435ef76ec4_first30,R3-10,cea06f20-3608-49b3-b474-b06114c955bb,27.722,no_observed_ROI_sample,ok,,0,0,,,no_ROI_temperature_near_reference
jiufu_4f7144680fca9d_first30,R3-14,2f1332b8-35fa-42b6-933a-9cf2cd9bf007,0.628,no_observed_ROI_sample,abstain,long_timestamp_gap,1,0,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,f112d46d-0294-4757-a9c0-2744bb730ac3,1.893,both_extrema_nearby,abstain,long_timestamp_gap,1,2,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,2093354d-c146-406a-8f04-4bb627a57f0d,3.193,minimum_only,abstain,long_timestamp_gap,0,2,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,f49e9234-86f3-45e0-b344-937da16a71b9,4.192,both_extrema_nearby,abstain,long_timestamp_gap,2,1,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,6bb2a7ea-f055-4af4-8cc9-b4cfc941acb9,5.292,both_extrema_nearby,abstain,long_timestamp_gap,1,1,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,d64a1fe0-c325-49ce-8873-700b1d0eb254,6.658,both_extrema_nearby,abstain,long_timestamp_gap,1,2,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,11fb767a-079d-44dc-b334-b93a06ff244c,8.727,minimum_only,abstain,long_timestamp_gap,0,1,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,df03a95d-bee6-4c4a-a163-1260e9b1aef9,9.928,maximum_only,abstain,long_timestamp_gap,2,0,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,dc27ddd4-5e52-4cc8-88a7-7b5cd3b9468f,11.125,maximum_only,abstain,long_timestamp_gap,1,0,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,7116ba96-29c8-4682-8670-dfa218f09fcf,12.028,maximum_only,abstain,long_timestamp_gap,1,0,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,539374e1-9377-4ee6-afe8-552acf7f4c06,13.138,maximum_only,abstain,long_timestamp_gap,2,0,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,e23baef3-e502-4b5a-b3a6-2eeef18b8db4,14.062,no_extremum_within_tolerance,abstain,long_timestamp_gap,0,0,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,30dfaa6a-7a62-48d5-adc3-88413a5ea0fc,18.085,both_extrema_nearby,abstain,long_timestamp_gap,2,1,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,3517d025-8342-4be2-8920-cf9db324ee75,19.097,minimum_only,abstain,long_timestamp_gap,0,1,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,32132b55-c2bd-4343-aa28-edb6437ee52f,20.368,both_extrema_nearby,abstain,long_timestamp_gap,1,2,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,08bc2b3c-998a-497b-9ea3-691c35e1a00b,21.965,both_extrema_nearby,abstain,long_timestamp_gap,1,2,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,8644482f-eb14-433b-bd21-86ee174df91e,22.992,both_extrema_nearby,abstain,long_timestamp_gap,1,1,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,60c0f67e-955a-4fea-b2ac-5088a02cd570,23.908,both_extrema_nearby,abstain,long_timestamp_gap,2,1,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,98617128-764a-4372-a1ac-26c94c695bb7,25.962,both_extrema_nearby,abstain,long_timestamp_gap,2,1,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,102e865b-e1e8-4785-8c98-b8fbb06acc4e,27.037,maximum_only,abstain,long_timestamp_gap,1,0,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,4b5db650-264b-415a-a5bf-75e4638e43b2,27.94,maximum_only,abstain,long_timestamp_gap,1,0,,,whole_window_abstention
jiufu_4f7144680fca9d_first30,R3-14,bcaf2848-41e2-46a6-b5fa-3dffe8a4ca03,29.382,maximum_only,abstain,long_timestamp_gap,1,0,,,whole_window_abstention
jiufu_cc60214ff2d564_first30,R3-23,4c0309a3-ae29-4ac9-b20f-b0d52d95104d,1.002,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_cc60214ff2d564_first30,R3-23,fde65225-9e2f-4773-9fc4-bab050a842f2,1.668,no_observed_ROI_sample,ok,,0,0,,,no_ROI_temperature_near_reference
jiufu_cc60214ff2d564_first30,R3-23,a979272e-56eb-4d1f-a458-d7469a899cab,3.567,no_observed_ROI_sample,ok,,0,0,,,no_ROI_temperature_near_reference
jiufu_cc60214ff2d564_first30,R3-23,c354634b-ee2f-4189-a251-028718e9ad23,4.708,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_cc60214ff2d564_first30,R3-23,281baa7f-f069-4c95-b61f-cb4a0405aed0,13.043,maximum_only,ok,,1,0,min,no_explicit_rejection_flag,selected_signal_or_peak_rule_difference
jiufu_cc60214ff2d564_first30,R3-23,6fa44de7-8a11-4619-af6a-b21aa393b8e5,17.158,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_cc60214ff2d564_first30,R3-23,0a124673-7a02-4287-81bd-f522f697cc96,19.408,no_observed_ROI_sample,ok,,0,0,,,no_ROI_temperature_near_reference
jiufu_55441b4c6fe974_first30,R3-24,db277509-6834-4246-b201-59a510ab53bb,2.262,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_55441b4c6fe974_first30,R3-24,41215668-beee-44b0-8682-6cff5abec12d,3.99,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
jiufu_55441b4c6fe974_first30,R3-24,8ee90074-5ba6-4682-a83b-59ab9ce28b79,6.042,no_observed_ROI_sample,ok,,0,0,,,no_ROI_temperature_near_reference
jiufu_55441b4c6fe974_first30,R3-24,f1430a9a-dbe2-4c25-bd33-6188c2592a69,29.973,no_extremum_within_tolerance,ok,,0,0,,,no_raw_extremum_near_reference
