reference,method,window_id,cluster,tp,fp,fn,precision,recall,f1
R2,frozen,jiufu_edd9eebe6de991_first30,943,11,9,8,0.55,0.5789473684210527,0.5641025641025641
R2,direct_roi_only,jiufu_edd9eebe6de991_first30,943,10,8,9,0.5555555555555556,0.5263157894736842,0.5405405405405406
R2,frozen,jiufu_58c38973aff558_first30,771,6,8,4,0.42857142857142855,0.6,0.5
R2,direct_roi_only,jiufu_58c38973aff558_first30,771,6,6,4,0.5,0.6,0.5454545454545454
R2,frozen,jiufu_665326590feedb_first30,447,3,5,13,0.375,0.1875,0.25
R2,direct_roi_only,jiufu_665326590feedb_first30,447,3,1,13,0.75,0.1875,0.3
R2,frozen,jiufu_053d6bd561c20b_first30,1838,0,0,15,0.0,0.0,0.0
R2,direct_roi_only,jiufu_053d6bd561c20b_first30,1838,0,0,15,0.0,0.0,0.0
R2,frozen,jiufu_9a14e05c1c184c_first30,728,0,0,14,0.0,0.0,0.0
R2,direct_roi_only,jiufu_9a14e05c1c184c_first30,728,0,0,14,0.0,0.0,0.0
R2,frozen,jiufu_124bf365605cd6_first30,1299,7,3,10,0.7,0.4117647058823529,0.5185185185185185
R2,direct_roi_only,jiufu_124bf365605cd6_first30,1299,7,3,10,0.7,0.4117647058823529,0.5185185185185185
R2,frozen,jiufu_cc565ea0bfa396_first30,1246,9,8,6,0.5294117647058824,0.6,0.5625
R2,direct_roi_only,jiufu_cc565ea0bfa396_first30,1246,7,5,8,0.5833333333333334,0.4666666666666667,0.5185185185185185
R2,frozen,jiufu_0a14da4ad52431_first30,1134,9,8,9,0.5294117647058824,0.5,0.5142857142857142
R2,direct_roi_only,jiufu_0a14da4ad52431_first30,1134,6,10,12,0.375,0.3333333333333333,0.35294117647058826
R2,frozen,jiufu_abada3dda3e8b7_first30,846,12,4,6,0.75,0.6666666666666666,0.7058823529411765
R2,direct_roi_only,jiufu_abada3dda3e8b7_first30,846,10,4,8,0.7142857142857143,0.5555555555555556,0.625
R2,frozen,jiufu_0ef3b83bc00130_first30,1428,9,7,8,0.5625,0.5294117647058824,0.5454545454545454
R2,direct_roi_only,jiufu_0ef3b83bc00130_first30,1428,10,7,7,0.5882352941176471,0.5882352941176471,0.5882352941176471
R2,frozen,jiufu_c5ff3e35124405_first30,1408,0,0,10,0.0,0.0,0.0
R2,direct_roi_only,jiufu_c5ff3e35124405_first30,1408,0,0,10,0.0,0.0,0.0
R2,frozen,jiufu_a6ed80c55f7be6_first30,1436,1,5,2,0.16666666666666666,0.3333333333333333,0.2222222222222222
R2,direct_roi_only,jiufu_a6ed80c55f7be6_first30,1436,1,5,2,0.16666666666666666,0.3333333333333333,0.2222222222222222
R2,frozen,jiufu_6fa0bbd661c8bb_first30,1423,10,5,9,0.6666666666666666,0.5263157894736842,0.5882352941176471
R2,direct_roi_only,jiufu_6fa0bbd661c8bb_first30,1423,12,3,7,0.8,0.631578947368421,0.7058823529411765
R2,frozen,jiufu_9eb853207f9233_first30,640,4,10,9,0.2857142857142857,0.3076923076923077,0.2962962962962963
R2,direct_roi_only,jiufu_9eb853207f9233_first30,640,2,9,11,0.18181818181818182,0.15384615384615385,0.16666666666666666
R2,frozen,jiufu_494e84a71f0d53_first30,1268,3,2,1,0.6,0.75,0.6666666666666666
R2,direct_roi_only,jiufu_494e84a71f0d53_first30,1268,1,1,3,0.5,0.25,0.3333333333333333
R2,frozen,jiufu_8953d49083882b_first30,1150,18,7,6,0.72,0.75,0.7346938775510204
R2,direct_roi_only,jiufu_8953d49083882b_first30,1150,17,7,7,0.7083333333333334,0.7083333333333334,0.7083333333333334
R2,frozen,jiufu_577eb87b4ec0fa_first30,1442,6,10,8,0.375,0.42857142857142855,0.4
R2,direct_roi_only,jiufu_577eb87b4ec0fa_first30,1442,4,3,10,0.5714285714285714,0.2857142857142857,0.38095238095238093
R2,frozen,jiufu_ac7d209f2a6aec_first30,214,5,2,1,0.7142857142857143,0.8333333333333334,0.7692307692307693
R2,direct_roi_only,jiufu_ac7d209f2a6aec_first30,214,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
R2,frozen,jiufu_f0f7415c6e495e_first30,1308,0,0,22,0.0,0.0,0.0
R2,direct_roi_only,jiufu_f0f7415c6e495e_first30,1308,0,0,22,0.0,0.0,0.0
R2,frozen,jiufu_45e262858c1edf_first30,1146,10,3,10,0.7692307692307693,0.5,0.6060606060606061
R2,direct_roi_only,jiufu_45e262858c1edf_first30,1146,12,2,8,0.8571428571428571,0.6,0.7058823529411765
R2,frozen,jiufu_59f7f9462f2c30_first30,165,7,10,12,0.4117647058823529,0.3684210526315789,0.3888888888888889
R2,direct_roi_only,jiufu_59f7f9462f2c30_first30,165,9,9,10,0.5,0.47368421052631576,0.4864864864864865
