reference,method,window_id,cluster,truth_count,predicted_count,truth_rr,predicted_rr
R2,direct_roi_only,jiufu_1b1d8d9b6faec7_first30,1823,14,9.0,28.0,18.0
R2,frozen,jiufu_1a11fc33fcb6cf_first30,1646,14,14.0,28.0,28.0
R2,direct_roi_only,jiufu_1a11fc33fcb6cf_first30,1646,14,12.0,28.0,24.0
R2,frozen,jiufu_993a2261c33ae0_first30,1578,16,15.0,32.0,30.0
R2,direct_roi_only,jiufu_993a2261c33ae0_first30,1578,16,13.0,32.0,26.0
R2,frozen,jiufu_15023a4d62f18e_first30,997,24,24.0,48.0,48.0
R2,direct_roi_only,jiufu_15023a4d62f18e_first30,997,24,24.0,48.0,48.0
R2,frozen,jiufu_bcea2687a6b788_first30,1836,21,15.0,42.0,30.0
R2,direct_roi_only,jiufu_bcea2687a6b788_first30,1836,21,11.0,42.0,22.0
R2,frozen,jiufu_fe965ff4644d07_first30,372,14,14.0,28.0,28.0
R2,direct_roi_only,jiufu_fe965ff4644d07_first30,372,14,13.0,28.0,26.0
R2,frozen,jiufu_f6bca344b2c8ce_first30,810,13,18.0,26.0,36.0
R2,direct_roi_only,jiufu_f6bca344b2c8ce_first30,810,13,18.0,26.0,36.0
R2,frozen,jiufu_ce6ff507b22ee9_first30,A1021156,11,19.0,22.0,38.0
R2,direct_roi_only,jiufu_ce6ff507b22ee9_first30,A1021156,11,17.0,22.0,34.0
R2,frozen,jiufu_075ed4d93c9959_first30,1371,11,9.0,22.0,18.0
R2,direct_roi_only,jiufu_075ed4d93c9959_first30,1371,11,11.0,22.0,22.0
R2,frozen,jiufu_234cbf6b627421_first30,270,20,4.0,40.0,8.0
R2,direct_roi_only,jiufu_234cbf6b627421_first30,270,20,3.0,40.0,6.0
R2,frozen,jiufu_0f85cab7ac58ae_first30,165,16,14.0,32.0,28.0
R2,direct_roi_only,jiufu_0f85cab7ac58ae_first30,165,16,12.0,32.0,24.0
R2,frozen,jiufu_55441b4c6fe974_first30,1129,12,13.0,24.0,26.0
R2,direct_roi_only,jiufu_55441b4c6fe974_first30,1129,12,10.0,24.0,20.0
R2,frozen,jiufu_d074036ef96d31_first30,281,13,15.0,26.0,30.0
R2,direct_roi_only,jiufu_d074036ef96d31_first30,281,13,10.0,26.0,20.0
R2,frozen,jiufu_cdaa16888fda03_first30,A1022182,9,9.0,18.0,18.0
R2,direct_roi_only,jiufu_cdaa16888fda03_first30,A1022182,9,9.0,18.0,18.0
R2,frozen,jiufu_b7ed63dc0d8295_first30,1358,11,15.0,22.0,30.0
R2,direct_roi_only,jiufu_b7ed63dc0d8295_first30,1358,11,15.0,22.0,30.0
R2,frozen,jiufu_9ddfe0afe06424_first30,1589,15,13.0,30.0,26.0
R2,direct_roi_only,jiufu_9ddfe0afe06424_first30,1589,15,12.0,30.0,24.0
R3,frozen,jiufu_7cb985938d0a6a_first30,659,13,12.0,26.0,24.0
R3,direct_roi_only,jiufu_7cb985938d0a6a_first30,659,13,11.0,26.0,22.0
R3,frozen,jiufu_0d1522aef374ec_first30,A1022205,15,14.0,30.0,28.0
R3,direct_roi_only,jiufu_0d1522aef374ec_first30,A1022205,15,15.0,30.0,30.0
R3,frozen,jiufu_440a29cebcae1c_first30,1487,12,11.0,24.0,22.0
R3,direct_roi_only,jiufu_440a29cebcae1c_first30,1487,12,11.0,24.0,22.0
R3,frozen,jiufu_f920435ef76ec4_first30,1428,10,8.0,20.0,16.0
R3,direct_roi_only,jiufu_f920435ef76ec4_first30,1428,10,7.0,20.0,14.0
R3,frozen,jiufu_bd77cfa7950eaa_first30,743,14,15.0,28.0,30.0
R3,direct_roi_only,jiufu_bd77cfa7950eaa_first30,743,14,16.0,28.0,32.0
R3,frozen,jiufu_cc60214ff2d564_first30,1308,10,10.0,20.0,20.0
R3,direct_roi_only,jiufu_cc60214ff2d564_first30,1308,10,11.0,20.0,22.0
R3,frozen,jiufu_55441b4c6fe974_first30,1129,10,13.0,20.0,26.0
R3,direct_roi_only,jiufu_55441b4c6fe974_first30,1129,10,10.0,20.0,20.0
