cohort,video_id,arm,event_id,frame_index,time_seconds,timebase
anchored49,16170075,C1P1,p17,176,20.34446884753208,R2_bound_frame_PTS
anchored49,16170075,C1P1,p18,185,21.38481100450815,R2_bound_frame_PTS
anchored49,16170075,C1P1,p19,194,22.42515316148422,R2_bound_frame_PTS
anchored49,16170075,C1P1,p20,202,23.34990174546295,R2_bound_frame_PTS
anchored49,16170075,C1P1,p21,211,24.390243902439025,R2_bound_frame_PTS
anchored49,16170075,C1P1,p22,219,25.314992486417754,R2_bound_frame_PTS
anchored49,16170075,C1P1,p23,227,26.239741070396487,R2_bound_frame_PTS
anchored49,16170075,C1P1,p24,235,27.164489654375217,R2_bound_frame_PTS
anchored49,16170075,C1P1,p25,243,28.089238238353943,R2_bound_frame_PTS
anchored49,16170075,C1P1,p26,251,29.01398682233268,R2_bound_frame_PTS
anchored49,170333,C0P0,p1,7,0.8088745088976196,R2_bound_frame_PTS
anchored49,170333,C0P0,p2,25,2.888837531777213,R2_bound_frame_PTS
anchored49,170333,C0P0,p3,37,4.275479547030275,R2_bound_frame_PTS
anchored49,170333,C0P0,p4,49,5.662121562283337,R2_bound_frame_PTS
anchored49,170333,C0P0,p5,69,7.973191587705108,R2_bound_frame_PTS
anchored49,170333,C0P0,p6,84,9.706494106771435,R2_bound_frame_PTS
anchored49,170333,C0P0,p7,97,11.208689623295584,R2_bound_frame_PTS
anchored49,170333,C0P0,p8,108,12.47977813727756,R2_bound_frame_PTS
anchored49,170333,C0P0,p9,120,13.866420152530624,R2_bound_frame_PTS
anchored49,170333,C0P0,p10,126,14.559741160157154,R2_bound_frame_PTS
anchored49,170333,C0P0,p11,146,16.870811185578923,R2_bound_frame_PTS
anchored49,170333,C0P0,p12,160,18.488560203374163,R2_bound_frame_PTS
anchored49,170333,C0P0,p13,176,20.33741622371158,R2_bound_frame_PTS
anchored49,170333,C0P0,p14,189,21.83961174023573,R2_bound_frame_PTS
anchored49,170333,C0P0,p15,202,23.34180725675988,R2_bound_frame_PTS
anchored49,170333,C0P0,p16,216,24.95955627455512,R2_bound_frame_PTS
anchored49,170333,C0P0,p17,229,26.46175179107927,R2_bound_frame_PTS
anchored49,170333,C0P0,p18,240,27.73284030506125,R2_bound_frame_PTS
anchored49,170333,C0P0,p19,250,28.88837531777213,R2_bound_frame_PTS
anchored49,170333,C1P0,p1,7,0.8088745088976196,R2_bound_frame_PTS
anchored49,170333,C1P0,p2,25,2.888837531777213,R2_bound_frame_PTS
anchored49,170333,C1P0,p3,37,4.275479547030275,R2_bound_frame_PTS
anchored49,170333,C1P0,p4,49,5.662121562283337,R2_bound_frame_PTS
anchored49,170333,C1P0,p5,69,7.973191587705108,R2_bound_frame_PTS
anchored49,170333,C1P0,p6,84,9.706494106771435,R2_bound_frame_PTS
anchored49,170333,C1P0,p7,95,10.97758262075341,R2_bound_frame_PTS
anchored49,170333,C1P0,p8,108,12.47977813727756,R2_bound_frame_PTS
anchored49,170333,C1P0,p9,120,13.866420152530624,R2_bound_frame_PTS
anchored49,170333,C1P0,p10,126,14.559741160157154,R2_bound_frame_PTS
anchored49,170333,C1P0,p11,160,18.488560203374163,R2_bound_frame_PTS
anchored49,170333,C1P0,p12,176,20.33741622371158,R2_bound_frame_PTS
anchored49,170333,C1P0,p13,189,21.83961174023573,R2_bound_frame_PTS
