video_id,arm,truth_count,predicted_count,count_error,tp,fp,fn,missing_direct_left,missing_direct_right
bs450,C1P1,33,31,-2,27,4,6,30,36
bs455,C0P0,21,22,1,17,5,4,45,56
bs455,C1P0,21,22,1,17,5,4,45,56
bs455,C0P1,21,22,1,17,5,4,45,56
bs455,C1P1,21,22,1,17,5,4,45,56
bs4717,C0P0,30,30,0,25,5,5,0,0
bs4717,C1P0,30,30,0,25,5,5,0,0
bs4717,C0P1,30,31,1,26,5,4,0,0
bs4717,C1P1,30,31,1,26,5,4,0,0
bs6516,C0P0,18,18,0,15,3,3,62,62
bs6516,C1P0,18,18,0,15,3,3,62,62
bs6516,C0P1,18,18,0,15,3,3,62,62
bs6516,C1P1,18,18,0,15,3,3,62,62
ns170082,C0P0,29,30,1,26,4,3,29,17
ns170082,C1P0,29,29,0,27,2,2,29,17
ns170082,C0P1,29,30,1,26,4,3,29,17
ns170082,C1P1,29,29,0,27,2,2,29,17
ns179166,C0P0,34,35,1,33,2,1,11,40
ns179166,C1P0,34,34,0,32,2,2,11,40
ns179166,C0P1,34,35,1,33,2,1,11,40
ns179166,C1P1,34,35,1,33,2,1,11,40
ns196527,C0P0,33,33,0,23,10,10,0,0
ns196527,C1P0,33,33,0,24,9,9,0,0
ns196527,C0P1,33,36,3,25,11,8,0,0
ns196527,C1P1,33,37,4,27,10,6,0,0
ns200886,C0P0,28,30,2,23,7,5,10,82
ns200886,C1P0,28,29,1,24,5,4,10,82
ns200886,C0P1,28,31,3,23,8,5,10,82
ns200886,C1P1,28,30,2,24,6,4,10,82
ns210947,C0P0,24,27,3,18,9,6,30,39
ns210947,C1P0,24,25,1,16,9,8,30,39
ns210947,C0P1,24,28,4,19,9,5,30,39
ns210947,C1P1,24,26,2,16,10,8,30,39
ns211003,C0P0,21,22,1,19,3,2,58,26
ns211003,C1P0,21,20,-1,17,3,4,58,26
ns211003,C0P1,21,22,1,19,3,2,58,26
ns211003,C1P1,21,20,-1,17,3,4,58,26
ns211095,C0P0,23,22,-1,12,10,11,16,0
ns211095,C1P0,23,27,4,17,10,6,16,0
ns211095,C0P1,23,24,1,13,11,10,16,0
ns211095,C1P1,23,26,3,16,10,7,16,0
ns211146,C0P0,28,28,0,18,10,10,11,12
ns211146,C1P0,28,28,0,19,9,9,11,12
ns211146,C0P1,28,27,-1,18,9,10,11,12
ns211146,C1P1,28,31,3,21,10,7,11,12
zs170236,C0P0,30,33,3,26,7,4,0,15
zs170236,C1P0,30,33,3,25,8,5,0,15
zs170236,C0P1,30,33,3,26,7,4,0,15
zs170236,C1P1,30,33,3,25,8,5,0,15
zs170416,C0P0,22,21,-1,18,3,4,27,0
zs170416,C1P0,22,21,-1,17,4,5,27,0
zs170416,C0P1,22,21,-1,18,3,4,27,0
zs170416,C1P1,22,21,-1,17,4,5,27,0
zs170554,C0P0,23,22,-1,15,7,8,18,19
zs170554,C1P0,23,23,0,20,3,3,18,19
zs170554,C0P1,23,23,0,15,8,8,18,19
zs170554,C1P1,23,23,0,20,3,3,18,19
zs190621,C0P0,21,18,-3,12,6,9,10,43
zs190621,C1P0,21,16,-5,11,5,10,10,43
zs190621,C0P1,21,21,0,15,6,6,10,43
zs190621,C1P1,21,20,-1,14,6,7,10,43
zs197000,C0P0,26,24,-2,22,2,4,0,0
zs197000,C1P0,26,20,-6,17,3,9,0,0
zs197000,C0P1,26,24,-2,22,2,4,0,0
zs197000,C1P1,26,20,-6,17,3,9,0,0
zs200751,C0P0,29,29,0,27,2,2,40,40
zs200751,C1P0,29,29,0,27,2,2,40,40
zs200751,C0P1,29,29,0,27,2,2,40,40
zs200751,C1P1,29,29,0,27,2,2,40,40
zs200783,C0P0,21,21,0,16,5,5,8,0
zs200783,C1P0,21,21,0,15,6,6,8,0
zs200783,C0P1,21,21,0,16,5,5,8,0
zs200783,C1P1,21,22,1,15,7,6,8,0
zs211062,C0P0,16,21,5,13,8,3,33,51
zs211062,C1P0,16,20,4,13,7,3,33,51
zs211062,C0P1,16,22,6,14,8,2,33,51
zs211062,C1P1,16,20,4,13,7,3,33,51
