video_id,arm,kind,predicted_time,reference_time,time_error_seconds
190588_030_060,C1P0,TP,20.76045627376425,20.87,0.10954372623574926
190588_030_060,C1P0,FP,21.673003802281368,,
190588_030_060,C1P0,FP,28.403041825095052,,
190588_030_060,C1P0,FN,,3.173,
190588_030_060,C1P0,FN,,9.839,
190588_030_060,C1P0,FN,,13.554,
190588_030_060,C0P1,TP,1.1406844106463878,1.297,0.15631558935361212
190588_030_060,C0P1,TP,2.053231939163498,2.199,0.14576806083650196
190588_030_060,C0P1,TP,2.965779467680608,3.173,0.20722053231939208
190588_030_060,C0P1,TP,7.984790874524714,8.007,0.02220912547528542
190588_030_060,C0P1,TP,8.783269961977185,8.855,0.07173003802281563
190588_030_060,C0P1,TP,9.695817490494296,9.839,0.14318250950570466
190588_030_060,C0P1,TP,10.608365019011408,10.744,0.13563498098859128
190588_030_060,C0P1,TP,11.634980988593156,11.679,0.044019011406843944
190588_030_060,C0P1,TP,12.661596958174904,12.734,0.07240304182509583
190588_030_060,C0P1,TP,14.600760456273765,14.769,0.1682395437262354
190588_030_060,C0P1,TP,15.627376425855513,15.745,0.11762357414448665
190588_030_060,C0P1,TP,16.65399239543726,16.713,0.05900760456274057
190588_030_060,C0P1,TP,17.68060836501901,17.72,0.03939163498099063
190588_030_060,C0P1,TP,18.70722433460076,18.68,0.027224334600759903
190588_030_060,C0P1,TP,19.733840304182507,19.791,0.05715969581749292
190588_030_060,C0P1,TP,20.76045627376425,20.87,0.10954372623574926
190588_030_060,C0P1,FP,6.273764258555133,,
190588_030_060,C0P1,FP,21.55893536121673,,
190588_030_060,C0P1,FP,28.403041825095052,,
190588_030_060,C0P1,FN,,13.554,
190588_030_060,C1P1,TP,1.1406844106463878,1.297,0.15631558935361212
190588_030_060,C1P1,TP,2.1673003802281365,2.199,0.03169961977186331
190588_030_060,C1P1,TP,7.984790874524714,8.007,0.02220912547528542
190588_030_060,C1P1,TP,8.783269961977185,8.855,0.07173003802281563
190588_030_060,C1P1,TP,9.695817490494296,9.839,0.14318250950570466
190588_030_060,C1P1,TP,10.608365019011408,10.744,0.13563498098859128
190588_030_060,C1P1,TP,11.634980988593156,11.679,0.044019011406843944
190588_030_060,C1P1,TP,12.661596958174904,12.734,0.07240304182509583
190588_030_060,C1P1,TP,14.600760456273765,14.769,0.1682395437262354
190588_030_060,C1P1,TP,15.627376425855513,15.745,0.11762357414448665
190588_030_060,C1P1,TP,16.65399239543726,16.713,0.05900760456274057
190588_030_060,C1P1,TP,17.794676806083647,17.72,0.07467680608364802
190588_030_060,C1P1,TP,18.70722433460076,18.68,0.027224334600759903
190588_030_060,C1P1,TP,19.847908745247143,19.791,0.05690874524714218
190588_030_060,C1P1,TP,20.76045627376425,20.87,0.10954372623574926
190588_030_060,C1P1,FP,21.673003802281368,,
190588_030_060,C1P1,FP,28.403041825095052,,
190588_030_060,C1P1,FN,,3.173,
190588_030_060,C1P1,FN,,13.554,
190588_180_210,C0P0,TP,0.801526717557252,0.938,0.13647328244274792
190588_180_210,C0P0,TP,1.717557251908397,1.851,0.13344274809160295
190588_180_210,C0P0,TP,2.6335877862595423,2.644,0.010412213740457865
