cohort,window_id,predicted_minus_reference_seconds,scope
lindian49,200713_anchored_30s,-0.15618518518518698,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,-0.011333333333336526,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,-0.21966666666667223,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,-0.2890000000000015,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,-0.23659259259259358,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,-0.21470370370370873,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,-0.14703703703704107,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,0.28317341040462374,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,0.08467052023121369,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,0.077560693641618,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,0.19466473988439148,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,0.26794797687861127,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,-0.17476878612716895,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,-0.09927167630057987,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,-0.14138150289017304,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,-0.007242774566474708,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,-0.024468208092482513,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,-0.06397109826589897,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,-0.14508092485549184,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,-0.22419075144508938,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200718_anchored_30s,-0.181693641618498,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,0.2923752310536045,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,0.26527726432532406,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,0.139652495378928,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,0.22355452865064684,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,0.13592975970425059,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,-0.10237338262476925,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,0.0985286506469496,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,0.15590388170055647,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,0.015225508317929126,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,0.20312754158964808,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,0.0799759704251386,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,0.2138780036968555,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,-0.011273567467654289,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,-0.2019519408502788,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,-0.1795767097966703,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,-0.23378188539741274,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,210989_anchored_30s,-0.06887985212569347,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,-0.255894374282434,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,0.008938002296211334,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,-0.20674512055109062,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,-0.19263949483352327,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,-0.13772330654419918,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,-0.08242824339839139,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,-0.012322617680826653,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,-0.2806486796785297,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,0.05928932261767983,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,-0.0887944890929937,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,-0.09368886337543003,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,0.12122732491388888,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,0.16114351320321774,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,-0.17937198622272987,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,-0.18878185993111174,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,-0.17767623421354628,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211056_anchored_30s,-0.2124121699196344,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,-0.17717686063793314,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,0.06574734194580989,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,-0.23637898708128535,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,0.22016977249342595,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,-0.2016821767463135,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,0.24714096261575413,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,0.01674025380130395,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,0.2800110895164032,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,-0.20744015090888013,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,-0.028866125528750786,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,211070_anchored_30s,-0.20759174574140005,matched_at_0.30_only_truncated_not_latency_estimate
