cohort,window_id,cluster,variant,base_tp,base_fp,base_fn,count_status,tp,fp,fn,precision,recall,f1
lindian49,211070_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T171538n211070\20230805T171538n211070.MP4,whole_window_guard,16,9,12,partial_events_no_full_RR,0,0,28,0.0,0.0,0.0
lindian49,ba170296_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806下午\20230806T173354n170296\20230806T173354n170296.MP4,local_event_guard,15,3,3,complete_output,15,3,3,0.8333333333333334,0.8333333333333334,0.8333333333333334
lindian49,ba170296_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806下午\20230806T173354n170296\20230806T173354n170296.MP4,whole_window_guard,15,3,3,complete_output,15,3,3,0.8333333333333334,0.8333333333333334,0.8333333333333334
lindian49,ba177610_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806下午\20230806T172949n177610\20230806T172949n177610.MP4,local_event_guard,20,3,3,complete_output,20,3,3,0.8695652173913043,0.8695652173913043,0.8695652173913043
lindian49,ba177610_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806下午\20230806T172949n177610\20230806T172949n177610.MP4,whole_window_guard,20,3,3,complete_output,20,3,3,0.8695652173913043,0.8695652173913043,0.8695652173913043
lindian49,ba455_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806下午\20230806T094403n455\20230806T094403n455.MP4,local_event_guard,23,7,4,partial_events_no_full_RR,21,6,6,0.7777777777777778,0.7777777777777778,0.7777777777777778
lindian49,ba455_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806下午\20230806T094403n455\20230806T094403n455.MP4,whole_window_guard,23,7,4,partial_events_no_full_RR,0,0,27,0.0,0.0,0.0
lindian49,ba6516_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806下午\20230806T172609n6516\20230806T172609n6516.MP4,local_event_guard,18,6,4,partial_events_no_full_RR,17,6,5,0.7391304347826086,0.7727272727272727,0.7555555555555555
lindian49,ba6516_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806下午\20230806T172609n6516\20230806T172609n6516.MP4,whole_window_guard,18,6,4,partial_events_no_full_RR,0,0,22,0.0,0.0,0.0
lindian49,bs0514_anchored_30s,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806上午\20230806T080921n50514\20230806T080921n50514.MP4,local_event_guard,14,6,7,partial_events_no_full_RR,13,4,8,0.7647058823529411,0.6190476190476191,0.6842105263157895
