cohort,window_id,status,count_error,unmatched_events,cancelling_pairs,exact_count,f1
jiufu271,jiufu_46aefc048b6969_first30,ok,0,14,7,True,0.4166666666666667
jiufu271,jiufu_f19803e664a7cb_first30,ok,0,18,9,True,0.25
jiufu271,jiufu_ca838441c991bb_first30,ok,0,6,3,True,0.8571428571428571
jiufu271,jiufu_fc574ca4aa0e22_first30,abstain,-15,15,0,False,0.0
jiufu271,jiufu_366cb8600d5450_first30,ok,0,10,5,True,0.4444444444444444
jiufu271,jiufu_a72be27aa4d574_first30,ok,6,16,5,False,0.3333333333333333
jiufu271,jiufu_cc8f24e9070eb6_first30,ok,0,12,6,True,0.4
jiufu271,jiufu_658fffa214f378_first30,ok,2,10,4,False,0.782608695652174
jiufu271,jiufu_9fc4ab4ff20989_first30,abstain,-13,13,0,False,0.0
jiufu271,jiufu_4a28bba3529d28_first30,abstain,-13,13,0,False,0.0
jiufu271,jiufu_a005ae733f6503_first30,ok,2,12,5,False,0.3333333333333333
jiufu271,jiufu_1f9c8c3925bc30_first30,ok,0,24,12,True,0.14285714285714285
jiufu271,jiufu_14d4ade8b6206e_first30,abstain,-16,16,0,False,0.0
jiufu271,jiufu_2b9099fd06d9e1_first30,ok,5,19,7,False,0.3448275862068966
jiufu271,jiufu_370ef65c280bd7_first30,ok,2,18,8,False,0.4375
jiufu271,jiufu_931fb29cee6b4b_first30,ok,-5,11,3,False,0.5217391304347826
jiufu271,jiufu_b01f0755dc6a1f_first30,ok,-1,13,6,False,0.48
jiufu271,jiufu_f242385ce55e15_first30,ok,0,14,7,True,0.3
jiufu271,jiufu_f920435ef76ec4_first30,ok,0,8,4,True,0.5
jiufu271,jiufu_7f52d294468aa5_first30,ok,1,25,12,False,0.1935483870967742
jiufu271,jiufu_11acdc6d1c6ccc_first30,ok,-2,14,6,False,0.36363636363636365
jiufu271,jiufu_cc60214ff2d564_first30,ok,-2,16,7,False,0.2727272727272727
jiufu271,jiufu_f23fd2fe9eb848_first30,ok,-1,11,5,False,0.42105263157894735
jiufu271,jiufu_766cc912612d8c_first30,abstain,-13,13,0,False,0.0
jiufu271,jiufu_126bdac0bd036b_first30,ok,0,18,9,True,0.25
