reference,window_id,cluster,method,truth_count,predicted_count,truth_rr,predicted_rr
R2,jiufu_6454a9e613172b_first30,A1022182,observed_periodicity,23.0,24.0,46.0,48.0
R2,jiufu_80fa8dbe195b66_first30,353,frozen,22.0,18.0,44.0,36.0
R2,jiufu_80fa8dbe195b66_first30,353,observed_periodicity,22.0,16.0,44.0,32.0
R2,jiufu_012d9efb7d8d4c_first30,1213,frozen,19.0,10.0,38.0,20.0
R2,jiufu_012d9efb7d8d4c_first30,1213,observed_periodicity,19.0,10.0,38.0,20.0
R2,jiufu_5623dc263f1364_first30,872,frozen,12.0,14.0,24.0,28.0
R2,jiufu_5623dc263f1364_first30,872,observed_periodicity,12.0,16.0,24.0,32.0
R2,jiufu_8254fd394c755d_first30,1180,frozen,14.0,12.0,28.0,24.0
R2,jiufu_8254fd394c755d_first30,1180,observed_periodicity,14.0,11.0,28.0,22.0
R2,jiufu_33ff2c90bde0a7_first30,872,frozen,8.0,11.0,16.0,22.0
R2,jiufu_33ff2c90bde0a7_first30,872,observed_periodicity,8.0,12.0,16.0,24.0
R2,jiufu_c37db5cf8c7d4e_first30,1165,frozen,7.0,6.0,14.0,12.0
R2,jiufu_c37db5cf8c7d4e_first30,1165,observed_periodicity,7.0,7.0,14.0,14.0
R2,jiufu_8ac17622997976_first30,1408,frozen,10.0,10.0,20.0,20.0
R2,jiufu_8ac17622997976_first30,1408,observed_periodicity,10.0,10.0,20.0,20.0
R2,jiufu_ee2427b1f91c14_first30,1428,frozen,14.0,14.0,28.0,28.0
R2,jiufu_ee2427b1f91c14_first30,1428,observed_periodicity,14.0,13.0,28.0,26.0
R2,jiufu_d40d50640e24a1_first30,165,frozen,29.0,29.0,58.0,58.0
R2,jiufu_d40d50640e24a1_first30,165,observed_periodicity,29.0,29.0,58.0,58.0
R2,jiufu_e20abde4e3a043_first30,1422,frozen,21.0,18.0,42.0,36.0
R2,jiufu_e20abde4e3a043_first30,1422,observed_periodicity,21.0,19.0,42.0,38.0
R2,jiufu_fffa829b4cfc5f_first30,878,frozen,13.0,11.0,26.0,22.0
R2,jiufu_fffa829b4cfc5f_first30,878,observed_periodicity,13.0,11.0,26.0,22.0
R2,jiufu_39742bec07007b_first30,1146,frozen,20.0,10.0,40.0,20.0
R2,jiufu_39742bec07007b_first30,1146,observed_periodicity,20.0,10.0,40.0,20.0
R2,jiufu_a7f96cc7661e4a_first30,1371,frozen,16.0,14.0,32.0,28.0
R2,jiufu_a7f96cc7661e4a_first30,1371,observed_periodicity,16.0,15.0,32.0,30.0
R2,jiufu_f5a7ada186a785_first30,281,frozen,13.0,18.0,26.0,36.0
R2,jiufu_f5a7ada186a785_first30,281,observed_periodicity,13.0,15.0,26.0,30.0
R2,jiufu_8f2aab0fc1ae4b_first30,347,frozen,26.0,30.0,52.0,60.0
R2,jiufu_8f2aab0fc1ae4b_first30,347,observed_periodicity,26.0,29.0,52.0,58.0
R2,jiufu_05aaedc28c6708_first30,161,frozen,9.0,11.0,18.0,22.0
R2,jiufu_05aaedc28c6708_first30,161,observed_periodicity,9.0,10.0,18.0,20.0
R2,jiufu_0d1522aef374ec_first30,A1022205,frozen,14.0,14.0,28.0,28.0
R2,jiufu_0d1522aef374ec_first30,A1022205,observed_periodicity,14.0,14.0,28.0,28.0
R2,jiufu_2cdb051142d5ab_first30,670,frozen,14.0,14.0,28.0,28.0
R2,jiufu_2cdb051142d5ab_first30,670,observed_periodicity,14.0,13.0,28.0,26.0
R2,jiufu_d4707a9c23271d_first30,670,frozen,14.0,14.0,28.0,28.0
R2,jiufu_d4707a9c23271d_first30,670,observed_periodicity,14.0,14.0,28.0,28.0
R2,jiufu_2f0c90ece853b4_first30,710,frozen,17.0,17.0,34.0,34.0
R2,jiufu_2f0c90ece853b4_first30,710,observed_periodicity,17.0,17.0,34.0,34.0
R2,jiufu_57c74728570ec9_first30,A1022211,frozen,20.0,18.0,40.0,36.0
R2,jiufu_57c74728570ec9_first30,A1022211,observed_periodicity,20.0,18.0,40.0,36.0
R2,jiufu_2fc7ddf8f284e4_first30,627,frozen,19.0,18.0,38.0,36.0
R2,jiufu_2fc7ddf8f284e4_first30,627,observed_periodicity,19.0,18.0,38.0,36.0
R2,jiufu_a04e9f770a2bb9_first30,606,frozen,23.0,20.0,46.0,40.0
R2,jiufu_a04e9f770a2bb9_first30,606,observed_periodicity,23.0,21.0,46.0,42.0
R2,jiufu_333df78fe49441_first30,878,frozen,14.0,15.0,28.0,30.0
R2,jiufu_333df78fe49441_first30,878,observed_periodicity,14.0,14.0,28.0,28.0
R2,jiufu_4263d1ee2b7d38_first30,A1022211,frozen,22.0,20.0,44.0,40.0
R2,jiufu_4263d1ee2b7d38_first30,A1022211,observed_periodicity,22.0,22.0,44.0,44.0
R2,jiufu_7cb985938d0a6a_first30,659,frozen,12.0,12.0,24.0,24.0
R2,jiufu_7cb985938d0a6a_first30,659,observed_periodicity,12.0,13.0,24.0,26.0
R2,jiufu_7c448f9ef64639_first30,A1021135,frozen,15.0,16.0,30.0,32.0
R2,jiufu_7c448f9ef64639_first30,A1021135,observed_periodicity,15.0,14.0,30.0,28.0
R2,jiufu_bc495978774317_first30,608,frozen,10.0,13.0,20.0,26.0
R2,jiufu_bc495978774317_first30,608,observed_periodicity,10.0,13.0,20.0,26.0
R2,jiufu_e3cef2504bbb4a_first30,678,frozen,16.0,15.0,32.0,30.0
R2,jiufu_e3cef2504bbb4a_first30,678,observed_periodicity,16.0,13.0,32.0,26.0
R2,jiufu_d7a117e86dae24_first30,604,frozen,15.0,15.0,30.0,30.0
R2,jiufu_d7a117e86dae24_first30,604,observed_periodicity,15.0,13.0,30.0,26.0
R2,jiufu_f339ead1fdb0ac_first30,648,frozen,16.0,18.0,32.0,36.0
R2,jiufu_f339ead1fdb0ac_first30,648,observed_periodicity,16.0,16.0,32.0,32.0
R2,jiufu_92e9f652faa64a_first30,1145,frozen,25.0,18.0,50.0,36.0
R2,jiufu_92e9f652faa64a_first30,1145,observed_periodicity,25.0,18.0,50.0,36.0
R2,jiufu_fe09caa146ddbd_first30,648,frozen,14.0,13.0,28.0,26.0
R2,jiufu_fe09caa146ddbd_first30,648,observed_periodicity,14.0,13.0,28.0,26.0
R2,jiufu_f6c192eaf6c290_first30,854,frozen,13.0,8.0,26.0,16.0
R2,jiufu_f6c192eaf6c290_first30,854,observed_periodicity,13.0,14.0,26.0,28.0
R2,jiufu_42e874dae20aee_first30,868,frozen,9.0,7.0,18.0,14.0
R2,jiufu_42e874dae20aee_first30,868,observed_periodicity,9.0,9.0,18.0,18.0
R2,jiufu_b45e99f5e3803e_first30,1290,frozen,22.0,23.0,44.0,46.0
R2,jiufu_b45e99f5e3803e_first30,1290,observed_periodicity,22.0,21.0,44.0,42.0
R2,jiufu_fbbccb98b40ed8_first30,A1022182,frozen,8.0,8.0,16.0,16.0
R2,jiufu_fbbccb98b40ed8_first30,A1022182,observed_periodicity,8.0,9.0,16.0,18.0
R2,jiufu_b7367092cbf12f_first30,1039,frozen,18.0,12.0,36.0,24.0
R2,jiufu_b7367092cbf12f_first30,1039,observed_periodicity,18.0,13.0,36.0,26.0
R2,jiufu_fbaed9c05fdf1a_first30,874,frozen,12.0,19.0,24.0,38.0
R2,jiufu_fbaed9c05fdf1a_first30,874,observed_periodicity,12.0,17.0,24.0,34.0
R2,jiufu_09732493a874e4_first30,623,frozen,10.0,21.0,20.0,42.0
R2,jiufu_09732493a874e4_first30,623,observed_periodicity,10.0,21.0,20.0,42.0
R2,jiufu_c2f523dbca4113_first30,919,frozen,16.0,16.0,32.0,32.0
R2,jiufu_c2f523dbca4113_first30,919,observed_periodicity,16.0,17.0,32.0,34.0
R2,jiufu_19a4aa849045e9_first30,1185,frozen,17.0,18.0,34.0,36.0
R2,jiufu_19a4aa849045e9_first30,1185,observed_periodicity,17.0,18.0,34.0,36.0
R2,jiufu_bfba3aa9a87b7c_first30,A1022181,frozen,16.0,20.0,32.0,40.0
R2,jiufu_bfba3aa9a87b7c_first30,A1022181,observed_periodicity,16.0,19.0,32.0,38.0
R2,jiufu_542013dcb78dc0_first30,878,frozen,13.0,16.0,26.0,32.0
R2,jiufu_542013dcb78dc0_first30,878,observed_periodicity,13.0,13.0,26.0,26.0
R2,jiufu_596ccaaf7a001c_first30,632,frozen,15.0,14.0,30.0,28.0
R2,jiufu_596ccaaf7a001c_first30,632,observed_periodicity,15.0,10.0,30.0,20.0
R2,jiufu_9b4d8a24856a9f_first30,1436,frozen,6.0,10.0,12.0,20.0
R2,jiufu_9b4d8a24856a9f_first30,1436,observed_periodicity,6.0,12.0,12.0,24.0
R2,jiufu_a1fad2b6534006_first30,353,frozen,18.0,12.0,36.0,24.0
R2,jiufu_a1fad2b6534006_first30,353,observed_periodicity,18.0,12.0,36.0,24.0
R2,jiufu_4923eea2509695_first30,1308,frozen,21.0,23.0,42.0,46.0
R2,jiufu_4923eea2509695_first30,1308,observed_periodicity,21.0,19.0,42.0,38.0
R2,jiufu_ff4c4ac565e3b0_first30,1539,frozen,10.0,10.0,20.0,20.0
R2,jiufu_ff4c4ac565e3b0_first30,1539,observed_periodicity,10.0,11.0,20.0,22.0
R2,jiufu_24afbde80aa2d4_first30,493,frozen,7.0,7.0,14.0,14.0
R2,jiufu_24afbde80aa2d4_first30,493,observed_periodicity,7.0,7.0,14.0,14.0
R2,jiufu_135fcf30e11031_first30,A1022245,frozen,16.0,19.0,32.0,38.0
R2,jiufu_135fcf30e11031_first30,A1022245,observed_periodicity,16.0,16.0,32.0,32.0
R2,jiufu_21792037472910_first30,493,frozen,6.0,7.0,12.0,14.0
R2,jiufu_21792037472910_first30,493,observed_periodicity,6.0,7.0,12.0,14.0
R2,jiufu_fdc3b301cd9ef1_first30,653,frozen,6.0,6.0,12.0,12.0
R2,jiufu_fdc3b301cd9ef1_first30,653,observed_periodicity,6.0,9.0,12.0,18.0
R2,jiufu_b1efccc0572872_first30,A1021145,frozen,9.0,11.0,18.0,22.0
R2,jiufu_b1efccc0572872_first30,A1021145,observed_periodicity,9.0,11.0,18.0,22.0
R2,jiufu_cbf053d260a726_first30,218,frozen,17.0,12.0,34.0,24.0
R2,jiufu_cbf053d260a726_first30,218,observed_periodicity,17.0,12.0,34.0,24.0
R2,jiufu_b7a3631a4e36ce_first30,588,frozen,11.0,10.0,22.0,20.0
R2,jiufu_b7a3631a4e36ce_first30,588,observed_periodicity,11.0,11.0,22.0,22.0
R2,jiufu_4cadeee3a7496f_first30,697,frozen,10.0,15.0,20.0,30.0
R2,jiufu_4cadeee3a7496f_first30,697,observed_periodicity,10.0,13.0,20.0,26.0
R2,jiufu_0bede2d3d6e2ef_first30,1233,frozen,23.0,18.0,46.0,36.0
R2,jiufu_0bede2d3d6e2ef_first30,1233,observed_periodicity,23.0,17.0,46.0,34.0
R2,jiufu_771e73351d8f0d_first30,1316,frozen,30.0,25.0,60.0,50.0
R2,jiufu_771e73351d8f0d_first30,1316,observed_periodicity,30.0,25.0,60.0,50.0
R2,jiufu_ed4591eaed0b3f_first30,1496,frozen,23.0,18.0,46.0,36.0
R2,jiufu_ed4591eaed0b3f_first30,1496,observed_periodicity,23.0,21.0,46.0,42.0
R2,jiufu_39c814598b6c9a_first30,1589,frozen,18.0,15.0,36.0,30.0
R2,jiufu_39c814598b6c9a_first30,1589,observed_periodicity,18.0,16.0,36.0,32.0
R2,jiufu_72f9214b6e39c9_first30,950,frozen,5.0,9.0,10.0,18.0
R2,jiufu_72f9214b6e39c9_first30,950,observed_periodicity,5.0,8.0,10.0,16.0
R2,jiufu_44a8b44ef7ff55_first30,1268,frozen,10.0,15.0,20.0,30.0
R2,jiufu_44a8b44ef7ff55_first30,1268,observed_periodicity,10.0,15.0,20.0,30.0
R2,jiufu_46aefc048b6969_first30,989,frozen,12.0,12.0,24.0,24.0
R2,jiufu_46aefc048b6969_first30,989,observed_periodicity,12.0,12.0,24.0,24.0
R2,jiufu_f19803e664a7cb_first30,A1022198,frozen,12.0,12.0,24.0,24.0
R2,jiufu_f19803e664a7cb_first30,A1022198,observed_periodicity,12.0,11.0,24.0,22.0
R2,jiufu_ca838441c991bb_first30,1634,frozen,21.0,21.0,42.0,42.0
R2,jiufu_ca838441c991bb_first30,1634,observed_periodicity,21.0,21.0,42.0,42.0
R2,jiufu_366cb8600d5450_first30,1469,frozen,9.0,9.0,18.0,18.0
R2,jiufu_366cb8600d5450_first30,1469,observed_periodicity,9.0,12.0,18.0,24.0
R2,jiufu_a72be27aa4d574_first30,546,frozen,9.0,15.0,18.0,30.0
R2,jiufu_a72be27aa4d574_first30,546,observed_periodicity,9.0,12.0,18.0,24.0
R2,jiufu_cc8f24e9070eb6_first30,677,frozen,10.0,10.0,20.0,20.0
R2,jiufu_cc8f24e9070eb6_first30,677,observed_periodicity,10.0,9.0,20.0,18.0
R2,jiufu_658fffa214f378_first30,606,frozen,22.0,24.0,44.0,48.0
R2,jiufu_658fffa214f378_first30,606,observed_periodicity,22.0,22.0,44.0,44.0
R2,jiufu_a005ae733f6503_first30,664,frozen,8.0,10.0,16.0,20.0
R2,jiufu_a005ae733f6503_first30,664,observed_periodicity,8.0,9.0,16.0,18.0
R2,jiufu_1f9c8c3925bc30_first30,A1022186,frozen,14.0,14.0,28.0,28.0
R2,jiufu_1f9c8c3925bc30_first30,A1022186,observed_periodicity,14.0,12.0,28.0,24.0
R2,jiufu_2b9099fd06d9e1_first30,678,frozen,12.0,17.0,24.0,34.0
R2,jiufu_2b9099fd06d9e1_first30,678,observed_periodicity,12.0,13.0,24.0,26.0
R2,jiufu_370ef65c280bd7_first30,A1022249,frozen,15.0,17.0,30.0,34.0
R2,jiufu_370ef65c280bd7_first30,A1022249,observed_periodicity,15.0,13.0,30.0,26.0
R2,jiufu_931fb29cee6b4b_first30,880,frozen,14.0,9.0,28.0,18.0
R2,jiufu_931fb29cee6b4b_first30,880,observed_periodicity,14.0,9.0,28.0,18.0
R2,jiufu_b01f0755dc6a1f_first30,639,frozen,13.0,12.0,26.0,24.0
R2,jiufu_b01f0755dc6a1f_first30,639,observed_periodicity,13.0,11.0,26.0,22.0
R2,jiufu_f242385ce55e15_first30,1436,frozen,10.0,10.0,20.0,20.0
R2,jiufu_f242385ce55e15_first30,1436,observed_periodicity,10.0,11.0,20.0,22.0
R2,jiufu_f920435ef76ec4_first30,1428,frozen,8.0,8.0,16.0,16.0
R2,jiufu_f920435ef76ec4_first30,1428,observed_periodicity,8.0,7.0,16.0,14.0
R2,jiufu_7f52d294468aa5_first30,1398,frozen,15.0,16.0,30.0,32.0
R2,jiufu_7f52d294468aa5_first30,1398,observed_periodicity,15.0,18.0,30.0,36.0
R2,jiufu_11acdc6d1c6ccc_first30,987,frozen,12.0,10.0,24.0,20.0
R2,jiufu_11acdc6d1c6ccc_first30,987,observed_periodicity,12.0,15.0,24.0,30.0
R2,jiufu_cc60214ff2d564_first30,1308,frozen,12.0,10.0,24.0,20.0
R2,jiufu_cc60214ff2d564_first30,1308,observed_periodicity,12.0,12.0,24.0,24.0
R2,jiufu_f23fd2fe9eb848_first30,1618,frozen,10.0,9.0,20.0,18.0
R2,jiufu_f23fd2fe9eb848_first30,1618,observed_periodicity,10.0,9.0,20.0,18.0
R2,jiufu_126bdac0bd036b_first30,1630,frozen,12.0,12.0,24.0,24.0
R2,jiufu_126bdac0bd036b_first30,1630,observed_periodicity,12.0,12.0,24.0,24.0
R2,jiufu_c6e5a206ad0c30_first30,A1021178,frozen,18.0,17.0,36.0,34.0
R2,jiufu_c6e5a206ad0c30_first30,A1021178,observed_periodicity,18.0,17.0,36.0,34.0
R2,jiufu_0f7af9c769fda5_first30,508,frozen,16.0,10.0,32.0,20.0
R2,jiufu_0f7af9c769fda5_first30,508,observed_periodicity,16.0,10.0,32.0,20.0
R2,jiufu_42402108cd09a9_first30,A1021154,frozen,5.0,7.0,10.0,14.0
R2,jiufu_42402108cd09a9_first30,A1021154,observed_periodicity,5.0,9.0,10.0,18.0
R2,jiufu_a97a8ff157139f_first30,1631,frozen,11.0,11.0,22.0,22.0
R2,jiufu_a97a8ff157139f_first30,1631,observed_periodicity,11.0,11.0,22.0,22.0
R2,jiufu_a45d837f891e44_first30,605,frozen,8.0,7.0,16.0,14.0
R2,jiufu_a45d837f891e44_first30,605,observed_periodicity,8.0,8.0,16.0,16.0
R2,jiufu_3a993354ebd1c7_first30,1634,frozen,23.0,17.0,46.0,34.0
R2,jiufu_3a993354ebd1c7_first30,1634,observed_periodicity,23.0,17.0,46.0,34.0
R2,jiufu_13f838ff73e069_first30,683,frozen,3.0,5.0,6.0,10.0
R2,jiufu_13f838ff73e069_first30,683,observed_periodicity,3.0,6.0,6.0,12.0
R2,jiufu_7388b7efc8afb3_first30,608,frozen,14.0,13.0,28.0,26.0
R2,jiufu_7388b7efc8afb3_first30,608,observed_periodicity,14.0,13.0,28.0,26.0
R2,jiufu_2fdd36fbe9a8ce_first30,A1022253,frozen,16.0,16.0,32.0,32.0
R2,jiufu_2fdd36fbe9a8ce_first30,A1022253,observed_periodicity,16.0,14.0,32.0,28.0
R2,jiufu_ef58cd171d4783_first30,691,frozen,15.0,14.0,30.0,28.0
R2,jiufu_ef58cd171d4783_first30,691,observed_periodicity,15.0,14.0,30.0,28.0
R2,jiufu_dfa58f3a711e47_first30,638,frozen,7.0,10.0,14.0,20.0
R2,jiufu_dfa58f3a711e47_first30,638,observed_periodicity,7.0,9.0,14.0,18.0
R2,jiufu_a1ceaa6025ff79_first30,1604,frozen,17.0,10.0,34.0,20.0
R2,jiufu_a1ceaa6025ff79_first30,1604,observed_periodicity,17.0,9.0,34.0,18.0
R2,jiufu_9a1c40cbb80bb1_first30,588,frozen,10.0,9.0,20.0,18.0
R2,jiufu_9a1c40cbb80bb1_first30,588,observed_periodicity,10.0,9.0,20.0,18.0
R2,jiufu_161f93bfffbe11_first30,1437,frozen,10.0,9.0,20.0,18.0
R2,jiufu_161f93bfffbe11_first30,1437,observed_periodicity,10.0,9.0,20.0,18.0
R2,jiufu_014c9b6a274fed_first30,372,frozen,16.0,12.0,32.0,24.0
R2,jiufu_014c9b6a274fed_first30,372,observed_periodicity,16.0,12.0,32.0,24.0
R2,jiufu_028724ccc9868d_first30,1010,frozen,18.0,17.0,36.0,34.0
R2,jiufu_028724ccc9868d_first30,1010,observed_periodicity,18.0,17.0,36.0,34.0
R2,jiufu_0c053f837a8b23_first30,1136,frozen,14.0,17.0,28.0,34.0
R2,jiufu_0c053f837a8b23_first30,1136,observed_periodicity,14.0,16.0,28.0,32.0
R2,jiufu_8f6eabd7f2cb6e_first30,868,frozen,10.0,10.0,20.0,20.0
R2,jiufu_8f6eabd7f2cb6e_first30,868,observed_periodicity,10.0,10.0,20.0,20.0
R2,jiufu_21b4c4c26061d0_first30,1646,frozen,14.0,15.0,28.0,30.0
R2,jiufu_21b4c4c26061d0_first30,1646,observed_periodicity,14.0,11.0,28.0,22.0
R2,jiufu_37333d1afc0ec2_first30,1518,frozen,12.0,15.0,24.0,30.0
R2,jiufu_37333d1afc0ec2_first30,1518,observed_periodicity,12.0,14.0,24.0,28.0
R2,jiufu_b273cec8024eb2_first30,878,frozen,13.0,13.0,26.0,26.0
R2,jiufu_b273cec8024eb2_first30,878,observed_periodicity,13.0,13.0,26.0,26.0
R2,jiufu_d1a9a7ab944633_first30,961,frozen,17.0,12.0,34.0,24.0
R2,jiufu_d1a9a7ab944633_first30,961,observed_periodicity,17.0,12.0,34.0,24.0
R2,jiufu_908496549f5b42_first30,A1022182,frozen,7.0,6.0,14.0,12.0
R2,jiufu_908496549f5b42_first30,A1022182,observed_periodicity,7.0,5.0,14.0,10.0
R2,jiufu_04fd6f8dc56a73_first30,165,frozen,11.0,10.0,22.0,20.0
R2,jiufu_04fd6f8dc56a73_first30,165,observed_periodicity,11.0,11.0,22.0,22.0
R2,jiufu_440a29cebcae1c_first30,1487,frozen,13.0,11.0,26.0,22.0
R2,jiufu_440a29cebcae1c_first30,1487,observed_periodicity,13.0,11.0,26.0,22.0
R2,jiufu_e2821e37ff899d_first30,281,frozen,13.0,18.0,26.0,36.0
R2,jiufu_e2821e37ff899d_first30,281,observed_periodicity,13.0,15.0,26.0,30.0
R2,jiufu_b80d393ca25ef8_first30,1165,frozen,4.0,5.0,8.0,10.0
R2,jiufu_b80d393ca25ef8_first30,1165,observed_periodicity,4.0,5.0,8.0,10.0
R2,jiufu_adb9b6776eb349_first30,869,frozen,21.0,19.0,42.0,38.0
