reference,window_id,cluster,method,tp,fp,fn,precision,recall,f1
R2,jiufu_56e83ecf9a14bb_first30,1574,observed_periodicity,0,0,14,0.0,0.0,0.0
R2,jiufu_3ac83315834f77_first30,713,frozen,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285
R2,jiufu_3ac83315834f77_first30,713,observed_periodicity,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285
R2,jiufu_c68c62cb67dede_first30,623,frozen,3,10,7,0.23076923076923078,0.3,0.2608695652173913
R2,jiufu_c68c62cb67dede_first30,623,observed_periodicity,3,10,7,0.23076923076923078,0.3,0.2608695652173913
R2,jiufu_3721f7cf5a844c_first30,653,frozen,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
R2,jiufu_3721f7cf5a844c_first30,653,observed_periodicity,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
R2,jiufu_65b745e540b8c7_first30,281,frozen,7,5,4,0.5833333333333334,0.6363636363636364,0.6086956521739131
R2,jiufu_65b745e540b8c7_first30,281,observed_periodicity,7,5,4,0.5833333333333334,0.6363636363636364,0.6086956521739131
R2,jiufu_2e919f7b4ce7d4_first30,353,frozen,0,0,18,0.0,0.0,0.0
R2,jiufu_2e919f7b4ce7d4_first30,353,observed_periodicity,1,0,17,1.0,0.05555555555555555,0.10526315789473684
R2,jiufu_f7266533e3399d_first30,558,frozen,15,2,2,0.8823529411764706,0.8823529411764706,0.8823529411764706
R2,jiufu_f7266533e3399d_first30,558,observed_periodicity,15,2,2,0.8823529411764706,0.8823529411764706,0.8823529411764706
R2,jiufu_943fc8675c704c_first30,347,frozen,0,0,9,0.0,0.0,0.0
R2,jiufu_943fc8675c704c_first30,347,observed_periodicity,0,0,9,0.0,0.0,0.0
R2,jiufu_bd77cfa7950eaa_first30,743,frozen,7,8,8,0.4666666666666667,0.4666666666666667,0.4666666666666667
R2,jiufu_bd77cfa7950eaa_first30,743,observed_periodicity,6,10,9,0.375,0.4,0.3870967741935484
R2,jiufu_2aaced556ff39d_first30,957,frozen,0,0,8,0.0,0.0,0.0
R2,jiufu_2aaced556ff39d_first30,957,observed_periodicity,0,0,8,0.0,0.0,0.0
R2,jiufu_90ed4ac916a295_first30,179,frozen,2,2,20,0.5,0.09090909090909091,0.15384615384615385
R2,jiufu_90ed4ac916a295_first30,179,observed_periodicity,2,2,20,0.5,0.09090909090909091,0.15384615384615385
R2,jiufu_cd5eea76388f30_first30,728,frozen,6,5,8,0.5454545454545454,0.42857142857142855,0.48
R2,jiufu_cd5eea76388f30_first30,728,observed_periodicity,8,2,6,0.8,0.5714285714285714,0.6666666666666666
R2,jiufu_6cbcb0311b3ebf_first30,956,frozen,7,10,7,0.4117647058823529,0.5,0.45161290322580644
R2,jiufu_6cbcb0311b3ebf_first30,956,observed_periodicity,7,10,7,0.4117647058823529,0.5,0.45161290322580644
R2,jiufu_4f7144680fca9d_first30,583,frozen,0,0,18,0.0,0.0,0.0
R2,jiufu_4f7144680fca9d_first30,583,observed_periodicity,0,0,18,0.0,0.0,0.0
R2,jiufu_6a641dd078f572_first30,753,frozen,10,7,10,0.5882352941176471,0.5,0.5405405405405406
R2,jiufu_6a641dd078f572_first30,753,observed_periodicity,12,7,8,0.631578947368421,0.6,0.6153846153846154
R2,jiufu_edd9eebe6de991_first30,943,frozen,11,9,8,0.55,0.5789473684210527,0.5641025641025641
R2,jiufu_edd9eebe6de991_first30,943,observed_periodicity,11,10,8,0.5238095238095238,0.5789473684210527,0.55
R2,jiufu_58c38973aff558_first30,771,frozen,6,8,4,0.42857142857142855,0.6,0.5
R2,jiufu_58c38973aff558_first30,771,observed_periodicity,5,6,5,0.45454545454545453,0.5,0.47619047619047616
R2,jiufu_665326590feedb_first30,447,frozen,3,5,13,0.375,0.1875,0.25
R2,jiufu_665326590feedb_first30,447,observed_periodicity,2,4,14,0.3333333333333333,0.125,0.18181818181818182
R2,jiufu_053d6bd561c20b_first30,1838,frozen,0,0,15,0.0,0.0,0.0
R2,jiufu_053d6bd561c20b_first30,1838,observed_periodicity,0,0,15,0.0,0.0,0.0
R2,jiufu_9a14e05c1c184c_first30,728,frozen,0,0,14,0.0,0.0,0.0
R2,jiufu_9a14e05c1c184c_first30,728,observed_periodicity,0,0,14,0.0,0.0,0.0
R2,jiufu_124bf365605cd6_first30,1299,frozen,7,3,10,0.7,0.4117647058823529,0.5185185185185185
R2,jiufu_124bf365605cd6_first30,1299,observed_periodicity,6,4,11,0.6,0.35294117647058826,0.4444444444444444
R2,jiufu_cc565ea0bfa396_first30,1246,frozen,9,8,6,0.5294117647058824,0.6,0.5625
R2,jiufu_cc565ea0bfa396_first30,1246,observed_periodicity,5,9,10,0.35714285714285715,0.3333333333333333,0.3448275862068966
R2,jiufu_0a14da4ad52431_first30,1134,frozen,9,8,9,0.5294117647058824,0.5,0.5142857142857142
R2,jiufu_0a14da4ad52431_first30,1134,observed_periodicity,9,8,9,0.5294117647058824,0.5,0.5142857142857142
R2,jiufu_abada3dda3e8b7_first30,846,frozen,12,4,6,0.75,0.6666666666666666,0.7058823529411765
R2,jiufu_abada3dda3e8b7_first30,846,observed_periodicity,10,4,8,0.7142857142857143,0.5555555555555556,0.625
R2,jiufu_0ef3b83bc00130_first30,1428,frozen,9,7,8,0.5625,0.5294117647058824,0.5454545454545454
R2,jiufu_0ef3b83bc00130_first30,1428,observed_periodicity,8,5,9,0.6153846153846154,0.47058823529411764,0.5333333333333333
R2,jiufu_c5ff3e35124405_first30,1408,frozen,0,0,10,0.0,0.0,0.0
R2,jiufu_c5ff3e35124405_first30,1408,observed_periodicity,0,0,10,0.0,0.0,0.0
R2,jiufu_a6ed80c55f7be6_first30,1436,frozen,1,5,2,0.16666666666666666,0.3333333333333333,0.2222222222222222
R2,jiufu_a6ed80c55f7be6_first30,1436,observed_periodicity,1,5,2,0.16666666666666666,0.3333333333333333,0.2222222222222222
R2,jiufu_6fa0bbd661c8bb_first30,1423,frozen,10,5,9,0.6666666666666666,0.5263157894736842,0.5882352941176471
R2,jiufu_6fa0bbd661c8bb_first30,1423,observed_periodicity,12,4,7,0.75,0.631578947368421,0.6857142857142857
R2,jiufu_9eb853207f9233_first30,640,frozen,4,10,9,0.2857142857142857,0.3076923076923077,0.2962962962962963
R2,jiufu_9eb853207f9233_first30,640,observed_periodicity,4,10,9,0.2857142857142857,0.3076923076923077,0.2962962962962963
R2,jiufu_494e84a71f0d53_first30,1268,frozen,3,2,1,0.6,0.75,0.6666666666666666
R2,jiufu_494e84a71f0d53_first30,1268,observed_periodicity,3,1,1,0.75,0.75,0.75
R2,jiufu_8953d49083882b_first30,1150,frozen,18,7,6,0.72,0.75,0.7346938775510204
R2,jiufu_8953d49083882b_first30,1150,observed_periodicity,18,7,6,0.72,0.75,0.7346938775510204
R2,jiufu_577eb87b4ec0fa_first30,1442,frozen,6,10,8,0.375,0.42857142857142855,0.4
R2,jiufu_577eb87b4ec0fa_first30,1442,observed_periodicity,7,10,7,0.4117647058823529,0.5,0.45161290322580644
R2,jiufu_ac7d209f2a6aec_first30,214,frozen,5,2,1,0.7142857142857143,0.8333333333333334,0.7692307692307693
R2,jiufu_ac7d209f2a6aec_first30,214,observed_periodicity,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846154
R2,jiufu_f0f7415c6e495e_first30,1308,frozen,0,0,22,0.0,0.0,0.0
R2,jiufu_f0f7415c6e495e_first30,1308,observed_periodicity,0,0,22,0.0,0.0,0.0
R2,jiufu_45e262858c1edf_first30,1146,frozen,10,3,10,0.7692307692307693,0.5,0.6060606060606061
R2,jiufu_45e262858c1edf_first30,1146,observed_periodicity,10,3,10,0.7692307692307693,0.5,0.6060606060606061
R2,jiufu_59f7f9462f2c30_first30,165,frozen,7,10,12,0.4117647058823529,0.3684210526315789,0.3888888888888889
R2,jiufu_59f7f9462f2c30_first30,165,observed_periodicity,7,8,12,0.4666666666666667,0.3684210526315789,0.4117647058823529
R2,jiufu_6454a9e613172b_first30,A1022182,frozen,20,5,3,0.8,0.8695652173913043,0.8333333333333334
R2,jiufu_6454a9e613172b_first30,A1022182,observed_periodicity,22,2,1,0.9166666666666666,0.9565217391304348,0.9361702127659575
R2,jiufu_6328167f32f25e_first30,1371,frozen,0,0,13,0.0,0.0,0.0
R2,jiufu_6328167f32f25e_first30,1371,observed_periodicity,0,0,13,0.0,0.0,0.0
R2,jiufu_80fa8dbe195b66_first30,353,frozen,14,4,8,0.7777777777777778,0.6363636363636364,0.7
R2,jiufu_80fa8dbe195b66_first30,353,observed_periodicity,13,3,9,0.8125,0.5909090909090909,0.6842105263157895
R2,jiufu_012d9efb7d8d4c_first30,1213,frozen,4,6,15,0.4,0.21052631578947367,0.27586206896551724
R2,jiufu_012d9efb7d8d4c_first30,1213,observed_periodicity,4,6,15,0.4,0.21052631578947367,0.27586206896551724
R2,jiufu_5623dc263f1364_first30,872,frozen,8,6,4,0.5714285714285714,0.6666666666666666,0.6153846153846154
R2,jiufu_5623dc263f1364_first30,872,observed_periodicity,9,7,3,0.5625,0.75,0.6428571428571429
R2,jiufu_8254fd394c755d_first30,1180,frozen,7,5,7,0.5833333333333334,0.5,0.5384615384615384
R2,jiufu_8254fd394c755d_first30,1180,observed_periodicity,8,3,6,0.7272727272727273,0.5714285714285714,0.64
R2,jiufu_33ff2c90bde0a7_first30,872,frozen,6,5,2,0.5454545454545454,0.75,0.631578947368421
R2,jiufu_33ff2c90bde0a7_first30,872,observed_periodicity,4,8,4,0.3333333333333333,0.5,0.4
R2,jiufu_c37db5cf8c7d4e_first30,1165,frozen,3,3,4,0.5,0.42857142857142855,0.46153846153846156
R2,jiufu_c37db5cf8c7d4e_first30,1165,observed_periodicity,3,4,4,0.42857142857142855,0.42857142857142855,0.42857142857142855
R2,jiufu_3f44e994a4ccb7_first30,1145,frozen,0,0,21,0.0,0.0,0.0
R2,jiufu_3f44e994a4ccb7_first30,1145,observed_periodicity,0,0,21,0.0,0.0,0.0
R2,jiufu_58a951a34f7249_first30,A1022182,frozen,0,0,16,0.0,0.0,0.0
R2,jiufu_58a951a34f7249_first30,A1022182,observed_periodicity,0,0,16,0.0,0.0,0.0
R2,jiufu_8ac17622997976_first30,1408,frozen,5,5,5,0.5,0.5,0.5
R2,jiufu_8ac17622997976_first30,1408,observed_periodicity,5,5,5,0.5,0.5,0.5
R2,jiufu_ee2427b1f91c14_first30,1428,frozen,8,6,6,0.5714285714285714,0.5714285714285714,0.5714285714285714
R2,jiufu_ee2427b1f91c14_first30,1428,observed_periodicity,8,5,6,0.6153846153846154,0.5714285714285714,0.5925925925925926
R2,jiufu_d40d50640e24a1_first30,165,frozen,23,6,6,0.7931034482758621,0.7931034482758621,0.7931034482758621
R2,jiufu_d40d50640e24a1_first30,165,observed_periodicity,23,6,6,0.7931034482758621,0.7931034482758621,0.7931034482758621
R2,jiufu_e20abde4e3a043_first30,1422,frozen,14,4,7,0.7777777777777778,0.6666666666666666,0.717948717948718
R2,jiufu_e20abde4e3a043_first30,1422,observed_periodicity,15,4,6,0.7894736842105263,0.7142857142857143,0.75
R2,jiufu_fffa829b4cfc5f_first30,878,frozen,5,6,8,0.45454545454545453,0.38461538461538464,0.4166666666666667
R2,jiufu_fffa829b4cfc5f_first30,878,observed_periodicity,5,6,8,0.45454545454545453,0.38461538461538464,0.4166666666666667
R2,jiufu_39742bec07007b_first30,1146,frozen,7,3,13,0.7,0.35,0.4666666666666667
R2,jiufu_39742bec07007b_first30,1146,observed_periodicity,9,1,11,0.9,0.45,0.6
R2,jiufu_a7f96cc7661e4a_first30,1371,frozen,9,5,7,0.6428571428571429,0.5625,0.6
R2,jiufu_a7f96cc7661e4a_first30,1371,observed_periodicity,13,2,3,0.8666666666666667,0.8125,0.8387096774193549
R2,jiufu_f5a7ada186a785_first30,281,frozen,7,11,6,0.3888888888888889,0.5384615384615384,0.45161290322580644
R2,jiufu_f5a7ada186a785_first30,281,observed_periodicity,7,8,6,0.4666666666666667,0.5384615384615384,0.5
R2,jiufu_8f2aab0fc1ae4b_first30,347,frozen,19,11,7,0.6333333333333333,0.7307692307692307,0.6785714285714286
R2,jiufu_8f2aab0fc1ae4b_first30,347,observed_periodicity,19,10,7,0.6551724137931034,0.7307692307692307,0.6909090909090909
R2,jiufu_b230c11bab398b_first30,1078,frozen,0,0,18,0.0,0.0,0.0
R2,jiufu_b230c11bab398b_first30,1078,observed_periodicity,0,0,18,0.0,0.0,0.0
R2,jiufu_05aaedc28c6708_first30,161,frozen,5,6,4,0.45454545454545453,0.5555555555555556,0.5
R2,jiufu_05aaedc28c6708_first30,161,observed_periodicity,5,5,4,0.5,0.5555555555555556,0.5263157894736842
R2,jiufu_0d1522aef374ec_first30,A1022205,frozen,8,6,6,0.5714285714285714,0.5714285714285714,0.5714285714285714
R2,jiufu_0d1522aef374ec_first30,A1022205,observed_periodicity,8,6,6,0.5714285714285714,0.5714285714285714,0.5714285714285714
R2,jiufu_2cdb051142d5ab_first30,670,frozen,13,1,1,0.9285714285714286,0.9285714285714286,0.9285714285714286
R2,jiufu_2cdb051142d5ab_first30,670,observed_periodicity,12,1,2,0.9230769230769231,0.8571428571428571,0.8888888888888888
R2,jiufu_d4707a9c23271d_first30,670,frozen,11,3,3,0.7857142857142857,0.7857142857142857,0.7857142857142857
R2,jiufu_d4707a9c23271d_first30,670,observed_periodicity,11,3,3,0.7857142857142857,0.7857142857142857,0.7857142857142857
R2,jiufu_2f0c90ece853b4_first30,710,frozen,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
R2,jiufu_2f0c90ece853b4_first30,710,observed_periodicity,15,2,2,0.8823529411764706,0.8823529411764706,0.8823529411764706
R2,jiufu_57c74728570ec9_first30,A1022211,frozen,12,6,8,0.6666666666666666,0.6,0.631578947368421
R2,jiufu_57c74728570ec9_first30,A1022211,observed_periodicity,12,6,8,0.6666666666666666,0.6,0.631578947368421
R2,jiufu_2fc7ddf8f284e4_first30,627,frozen,10,8,9,0.5555555555555556,0.5263157894736842,0.5405405405405406
R2,jiufu_2fc7ddf8f284e4_first30,627,observed_periodicity,10,8,9,0.5555555555555556,0.5263157894736842,0.5405405405405406
R2,jiufu_a04e9f770a2bb9_first30,606,frozen,9,11,14,0.45,0.391304347826087,0.4186046511627907
R2,jiufu_a04e9f770a2bb9_first30,606,observed_periodicity,9,12,14,0.42857142857142855,0.391304347826087,0.4090909090909091
R2,jiufu_333df78fe49441_first30,878,frozen,11,4,3,0.7333333333333333,0.7857142857142857,0.7586206896551724
R2,jiufu_333df78fe49441_first30,878,observed_periodicity,11,3,3,0.7857142857142857,0.7857142857142857,0.7857142857142857
R2,jiufu_4263d1ee2b7d38_first30,A1022211,frozen,19,1,3,0.95,0.8636363636363636,0.9047619047619048
R2,jiufu_4263d1ee2b7d38_first30,A1022211,observed_periodicity,20,2,2,0.9090909090909091,0.9090909090909091,0.9090909090909091
R2,jiufu_7cb985938d0a6a_first30,659,frozen,2,10,10,0.16666666666666666,0.16666666666666666,0.16666666666666666
R2,jiufu_7cb985938d0a6a_first30,659,observed_periodicity,4,9,8,0.3076923076923077,0.3333333333333333,0.32
R2,jiufu_7c448f9ef64639_first30,A1021135,frozen,8,8,7,0.5,0.5333333333333333,0.5161290322580645
R2,jiufu_7c448f9ef64639_first30,A1021135,observed_periodicity,8,6,7,0.5714285714285714,0.5333333333333333,0.5517241379310345
R2,jiufu_bc495978774317_first30,608,frozen,6,7,4,0.46153846153846156,0.6,0.5217391304347826
R2,jiufu_bc495978774317_first30,608,observed_periodicity,6,7,4,0.46153846153846156,0.6,0.5217391304347826
R2,jiufu_e3cef2504bbb4a_first30,678,frozen,10,5,6,0.6666666666666666,0.625,0.6451612903225806
R2,jiufu_e3cef2504bbb4a_first30,678,observed_periodicity,9,4,7,0.6923076923076923,0.5625,0.6206896551724138
R2,jiufu_d7a117e86dae24_first30,604,frozen,10,5,5,0.6666666666666666,0.6666666666666666,0.6666666666666666
R2,jiufu_d7a117e86dae24_first30,604,observed_periodicity,9,4,6,0.6923076923076923,0.6,0.6428571428571429
R2,jiufu_f339ead1fdb0ac_first30,648,frozen,9,9,7,0.5,0.5625,0.5294117647058824
R2,jiufu_f339ead1fdb0ac_first30,648,observed_periodicity,11,5,5,0.6875,0.6875,0.6875
R2,jiufu_92e9f652faa64a_first30,1145,frozen,16,2,9,0.8888888888888888,0.64,0.7441860465116279
R2,jiufu_92e9f652faa64a_first30,1145,observed_periodicity,16,2,9,0.8888888888888888,0.64,0.7441860465116279
R2,jiufu_fe09caa146ddbd_first30,648,frozen,6,7,8,0.46153846153846156,0.42857142857142855,0.4444444444444444
R2,jiufu_fe09caa146ddbd_first30,648,observed_periodicity,5,8,9,0.38461538461538464,0.35714285714285715,0.37037037037037035
R2,jiufu_f6c192eaf6c290_first30,854,frozen,5,3,8,0.625,0.38461538461538464,0.47619047619047616
R2,jiufu_f6c192eaf6c290_first30,854,observed_periodicity,7,7,6,0.5,0.5384615384615384,0.5185185185185185
R2,jiufu_42e874dae20aee_first30,868,frozen,1,6,8,0.14285714285714285,0.1111111111111111,0.125
R2,jiufu_42e874dae20aee_first30,868,observed_periodicity,1,8,8,0.1111111111111111,0.1111111111111111,0.1111111111111111
R2,jiufu_b45e99f5e3803e_first30,1290,frozen,19,4,3,0.8260869565217391,0.8636363636363636,0.8444444444444444
R2,jiufu_b45e99f5e3803e_first30,1290,observed_periodicity,19,2,3,0.9047619047619048,0.8636363636363636,0.8837209302325582
R2,jiufu_fbbccb98b40ed8_first30,A1022182,frozen,3,5,5,0.375,0.375,0.375
R2,jiufu_fbbccb98b40ed8_first30,A1022182,observed_periodicity,3,6,5,0.3333333333333333,0.375,0.35294117647058826
R2,jiufu_b7367092cbf12f_first30,1039,frozen,11,1,7,0.9166666666666666,0.6111111111111112,0.7333333333333333
R2,jiufu_b7367092cbf12f_first30,1039,observed_periodicity,7,6,11,0.5384615384615384,0.3888888888888889,0.45161290322580644
R2,jiufu_61a3c1628d9017_first30,859,frozen,0,0,22,0.0,0.0,0.0
R2,jiufu_61a3c1628d9017_first30,859,observed_periodicity,0,0,22,0.0,0.0,0.0
R2,jiufu_fbaed9c05fdf1a_first30,874,frozen,6,13,6,0.3157894736842105,0.5,0.3870967741935484
R2,jiufu_fbaed9c05fdf1a_first30,874,observed_periodicity,9,8,3,0.5294117647058824,0.75,0.6206896551724138
R2,jiufu_09732493a874e4_first30,623,frozen,6,15,4,0.2857142857142857,0.6,0.3870967741935484
R2,jiufu_09732493a874e4_first30,623,observed_periodicity,6,15,4,0.2857142857142857,0.6,0.3870967741935484
R2,jiufu_afbc3c7536759a_first30,353,frozen,0,0,20,0.0,0.0,0.0
R2,jiufu_afbc3c7536759a_first30,353,observed_periodicity,0,0,20,0.0,0.0,0.0
R2,jiufu_c2f523dbca4113_first30,919,frozen,6,10,10,0.375,0.375,0.375
R2,jiufu_c2f523dbca4113_first30,919,observed_periodicity,10,7,6,0.5882352941176471,0.625,0.6060606060606061
R2,jiufu_19a4aa849045e9_first30,1185,frozen,14,4,3,0.7777777777777778,0.8235294117647058,0.8
R2,jiufu_19a4aa849045e9_first30,1185,observed_periodicity,14,4,3,0.7777777777777778,0.8235294117647058,0.8
R2,jiufu_bfba3aa9a87b7c_first30,A1022181,frozen,12,8,4,0.6,0.75,0.6666666666666666
R2,jiufu_bfba3aa9a87b7c_first30,A1022181,observed_periodicity,12,7,4,0.631578947368421,0.75,0.6857142857142857
R2,jiufu_542013dcb78dc0_first30,878,frozen,6,10,7,0.375,0.46153846153846156,0.41379310344827586
R2,jiufu_542013dcb78dc0_first30,878,observed_periodicity,6,7,7,0.46153846153846156,0.46153846153846156,0.46153846153846156
R2,jiufu_596ccaaf7a001c_first30,632,frozen,10,4,5,0.7142857142857143,0.6666666666666666,0.6896551724137931
R2,jiufu_596ccaaf7a001c_first30,632,observed_periodicity,8,2,7,0.8,0.5333333333333333,0.64
R2,jiufu_9b4d8a24856a9f_first30,1436,frozen,3,7,3,0.3,0.5,0.375
R2,jiufu_9b4d8a24856a9f_first30,1436,observed_periodicity,5,7,1,0.4166666666666667,0.8333333333333334,0.5555555555555556
R2,jiufu_a1fad2b6534006_first30,353,frozen,9,3,9,0.75,0.5,0.6
R2,jiufu_a1fad2b6534006_first30,353,observed_periodicity,9,3,9,0.75,0.5,0.6
R2,jiufu_1686565c1da471_first30,1137,frozen,0,0,10,0.0,0.0,0.0
R2,jiufu_1686565c1da471_first30,1137,observed_periodicity,0,0,10,0.0,0.0,0.0
R2,jiufu_4923eea2509695_first30,1308,frozen,14,9,7,0.6086956521739131,0.6666666666666666,0.6363636363636364
R2,jiufu_4923eea2509695_first30,1308,observed_periodicity,14,5,7,0.7368421052631579,0.6666666666666666,0.7
R2,jiufu_ff4c4ac565e3b0_first30,1539,frozen,3,7,7,0.3,0.3,0.3
R2,jiufu_ff4c4ac565e3b0_first30,1539,observed_periodicity,5,6,5,0.45454545454545453,0.5,0.47619047619047616
R2,jiufu_24afbde80aa2d4_first30,493,frozen,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143
R2,jiufu_24afbde80aa2d4_first30,493,observed_periodicity,3,4,4,0.42857142857142855,0.42857142857142855,0.42857142857142855
R2,jiufu_6434f8ad9b4978_first30,659,frozen,0,0,17,0.0,0.0,0.0
R2,jiufu_6434f8ad9b4978_first30,659,observed_periodicity,0,0,17,0.0,0.0,0.0
R2,jiufu_0f495ca37676e0_first30,353,frozen,0,0,17,0.0,0.0,0.0
R2,jiufu_0f495ca37676e0_first30,353,observed_periodicity,0,0,17,0.0,0.0,0.0
R2,jiufu_135fcf30e11031_first30,A1022245,frozen,13,6,3,0.6842105263157895,0.8125,0.7428571428571429
R2,jiufu_135fcf30e11031_first30,A1022245,observed_periodicity,13,3,3,0.8125,0.8125,0.8125
R2,jiufu_21792037472910_first30,493,frozen,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846154
R2,jiufu_21792037472910_first30,493,observed_periodicity,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846154
R2,jiufu_fdc3b301cd9ef1_first30,653,frozen,3,3,3,0.5,0.5,0.5
R2,jiufu_fdc3b301cd9ef1_first30,653,observed_periodicity,2,7,4,0.2222222222222222,0.3333333333333333,0.26666666666666666
R2,jiufu_b1efccc0572872_first30,A1021145,frozen,8,3,1,0.7272727272727273,0.8888888888888888,0.8
R2,jiufu_b1efccc0572872_first30,A1021145,observed_periodicity,6,5,3,0.5454545454545454,0.6666666666666666,0.6
R2,jiufu_cbf053d260a726_first30,218,frozen,7,5,10,0.5833333333333334,0.4117647058823529,0.4827586206896552
R2,jiufu_cbf053d260a726_first30,218,observed_periodicity,6,6,11,0.5,0.35294117647058826,0.41379310344827586
R2,jiufu_b7a3631a4e36ce_first30,588,frozen,3,7,8,0.3,0.2727272727272727,0.2857142857142857
R2,jiufu_b7a3631a4e36ce_first30,588,observed_periodicity,3,8,8,0.2727272727272727,0.2727272727272727,0.2727272727272727
R2,jiufu_4cadeee3a7496f_first30,697,frozen,5,10,5,0.3333333333333333,0.5,0.4
R2,jiufu_4cadeee3a7496f_first30,697,observed_periodicity,3,10,7,0.23076923076923078,0.3,0.2608695652173913
R2,jiufu_0bede2d3d6e2ef_first30,1233,frozen,14,4,9,0.7777777777777778,0.6086956521739131,0.6829268292682927
R2,jiufu_0bede2d3d6e2ef_first30,1233,observed_periodicity,14,3,9,0.8235294117647058,0.6086956521739131,0.7
R2,jiufu_771e73351d8f0d_first30,1316,frozen,22,3,8,0.88,0.7333333333333333,0.8
R2,jiufu_771e73351d8f0d_first30,1316,observed_periodicity,22,3,8,0.88,0.7333333333333333,0.8
R2,jiufu_ed4591eaed0b3f_first30,1496,frozen,14,4,9,0.7777777777777778,0.6086956521739131,0.6829268292682927
R2,jiufu_ed4591eaed0b3f_first30,1496,observed_periodicity,16,5,7,0.7619047619047619,0.6956521739130435,0.7272727272727273
R2,jiufu_39c814598b6c9a_first30,1589,frozen,7,8,11,0.4666666666666667,0.3888888888888889,0.42424242424242425
R2,jiufu_39c814598b6c9a_first30,1589,observed_periodicity,7,9,11,0.4375,0.3888888888888889,0.4117647058823529
R2,jiufu_c79b86b8813e90_first30,1358,frozen,0,0,12,0.0,0.0,0.0
