cohort,review_id,window_id,strict_visible_phase,tolerance_seconds,tp,fp,fn,precision,recall,f1
lindian49,R3-13,bs210974_anchored_30s,True,0.5,28,0,3,1.0,0.9032258064516129,0.9491525423728814
lindian49,R3-13,bs210974_anchored_30s,True,0.75,28,0,3,1.0,0.9032258064516129,0.9491525423728814
lindian49,R3-13,bs210974_anchored_30s,True,1.0,28,0,3,1.0,0.9032258064516129,0.9491525423728814
jiufu271,R3-14,jiufu_4f7144680fca9d_first30,True,0.1,8,10,14,0.4444444444444444,0.36363636363636365,0.4
jiufu271,R3-14,jiufu_4f7144680fca9d_first30,True,0.2,11,7,11,0.6111111111111112,0.5,0.55
jiufu271,R3-14,jiufu_4f7144680fca9d_first30,True,0.3,13,5,9,0.7222222222222222,0.5909090909090909,0.65
jiufu271,R3-14,jiufu_4f7144680fca9d_first30,True,0.5,17,1,5,0.9444444444444444,0.7727272727272727,0.85
jiufu271,R3-14,jiufu_4f7144680fca9d_first30,True,0.75,18,0,4,1.0,0.8181818181818182,0.9
jiufu271,R3-14,jiufu_4f7144680fca9d_first30,True,1.0,18,0,4,1.0,0.8181818181818182,0.9
lindian49,R3-15,zs170416_anchored_30s,True,0.1,20,2,2,0.9090909090909091,0.9090909090909091,0.9090909090909091
lindian49,R3-15,zs170416_anchored_30s,True,0.2,22,0,0,1.0,1.0,1.0
lindian49,R3-15,zs170416_anchored_30s,True,0.3,22,0,0,1.0,1.0,1.0
lindian49,R3-15,zs170416_anchored_30s,True,0.5,22,0,0,1.0,1.0,1.0
lindian49,R3-15,zs170416_anchored_30s,True,0.75,22,0,0,1.0,1.0,1.0
lindian49,R3-15,zs170416_anchored_30s,True,1.0,22,0,0,1.0,1.0,1.0
lindian49,R3-16,170272_anchored_30s,True,0.1,13,11,11,0.5416666666666666,0.5416666666666666,0.5416666666666666
lindian49,R3-16,170272_anchored_30s,True,0.2,18,6,6,0.75,0.75,0.75
lindian49,R3-16,170272_anchored_30s,True,0.3,20,4,4,0.8333333333333334,0.8333333333333334,0.8333333333333334
lindian49,R3-16,170272_anchored_30s,True,0.5,21,3,3,0.875,0.875,0.875
lindian49,R3-16,170272_anchored_30s,True,0.75,23,1,1,0.9583333333333334,0.9583333333333334,0.9583333333333334
lindian49,R3-16,170272_anchored_30s,True,1.0,23,1,1,0.9583333333333334,0.9583333333333334,0.9583333333333334
lindian49,R3-17,211070_anchored_30s,True,0.1,8,20,22,0.2857142857142857,0.26666666666666666,0.27586206896551724
lindian49,R3-17,211070_anchored_30s,True,0.2,15,13,15,0.5357142857142857,0.5,0.5172413793103449
lindian49,R3-17,211070_anchored_30s,True,0.3,21,7,9,0.75,0.7,0.7241379310344828
lindian49,R3-17,211070_anchored_30s,True,0.5,27,1,3,0.9642857142857143,0.9,0.9310344827586207
lindian49,R3-17,211070_anchored_30s,True,0.75,27,1,3,0.9642857142857143,0.9,0.9310344827586207
lindian49,R3-17,211070_anchored_30s,True,1.0,27,1,3,0.9642857142857143,0.9,0.9310344827586207
lindian49,R3-18,bs455_anchored_30s,True,0.1,13,8,7,0.6190476190476191,0.65,0.6341463414634146
lindian49,R3-18,bs455_anchored_30s,True,0.2,14,7,6,0.6666666666666666,0.7,0.6829268292682927
lindian49,R3-18,bs455_anchored_30s,True,0.3,17,4,3,0.8095238095238095,0.85,0.8292682926829268
lindian49,R3-18,bs455_anchored_30s,True,0.5,20,1,0,0.9523809523809523,1.0,0.975609756097561
lindian49,R3-18,bs455_anchored_30s,True,0.75,20,1,0,0.9523809523809523,1.0,0.975609756097561
lindian49,R3-18,bs455_anchored_30s,True,1.0,20,1,0,0.9523809523809523,1.0,0.975609756097561
lindian49,R3-19,16170075_anchored_30s,True,0.1,5,23,23,0.17857142857142858,0.17857142857142858,0.17857142857142858
lindian49,R3-19,16170075_anchored_30s,True,0.2,9,19,19,0.32142857142857145,0.32142857142857145,0.32142857142857145
lindian49,R3-19,16170075_anchored_30s,True,0.3,19,9,9,0.6785714285714286,0.6785714285714286,0.6785714285714286
lindian49,R3-19,16170075_anchored_30s,True,0.5,25,3,3,0.8928571428571429,0.8928571428571429,0.8928571428571429
lindian49,R3-19,16170075_anchored_30s,True,0.75,27,1,1,0.9642857142857143,0.9642857142857143,0.9642857142857143
lindian49,R3-19,16170075_anchored_30s,True,1.0,27,1,1,0.9642857142857143,0.9642857142857143,0.9642857142857143
lindian49,R3-20,ns196527_anchored_30s,True,0.1,7,26,29,0.21212121212121213,0.19444444444444445,0.2028985507246377
lindian49,R3-20,ns196527_anchored_30s,True,0.2,16,17,20,0.48484848484848486,0.4444444444444444,0.463768115942029
lindian49,R3-20,ns196527_anchored_30s,True,0.3,26,7,10,0.7878787878787878,0.7222222222222222,0.7536231884057971
lindian49,R3-20,ns196527_anchored_30s,True,0.5,32,1,4,0.9696969696969697,0.8888888888888888,0.927536231884058
lindian49,R3-20,ns196527_anchored_30s,True,0.75,33,0,3,1.0,0.9166666666666666,0.9565217391304348
lindian49,R3-20,ns196527_anchored_30s,True,1.0,33,0,3,1.0,0.9166666666666666,0.9565217391304348
lindian49,R3-21,bs189556_anchored_30s,True,0.1,9,4,4,0.6923076923076923,0.6923076923076923,0.6923076923076923
lindian49,R3-21,bs189556_anchored_30s,True,0.2,12,1,1,0.9230769230769231,0.9230769230769231,0.9230769230769231
lindian49,R3-21,bs189556_anchored_30s,True,0.3,12,1,1,0.9230769230769231,0.9230769230769231,0.9230769230769231
lindian49,R3-21,bs189556_anchored_30s,True,0.5,12,1,1,0.9230769230769231,0.9230769230769231,0.9230769230769231
lindian49,R3-21,bs189556_anchored_30s,True,0.75,13,0,0,1.0,1.0,1.0
lindian49,R3-21,bs189556_anchored_30s,True,1.0,13,0,0,1.0,1.0,1.0
jiufu271,R3-22,jiufu_bd77cfa7950eaa_first30,False,0.1,3,12,11,0.2,0.21428571428571427,0.20689655172413793
jiufu271,R3-22,jiufu_bd77cfa7950eaa_first30,False,0.2,4,11,10,0.26666666666666666,0.2857142857142857,0.27586206896551724
jiufu271,R3-22,jiufu_bd77cfa7950eaa_first30,False,0.3,7,8,7,0.4666666666666667,0.5,0.4827586206896552
jiufu271,R3-22,jiufu_bd77cfa7950eaa_first30,False,0.5,11,4,3,0.7333333333333333,0.7857142857142857,0.7586206896551724
jiufu271,R3-22,jiufu_bd77cfa7950eaa_first30,False,0.75,13,2,1,0.8666666666666667,0.9285714285714286,0.896551724137931
jiufu271,R3-22,jiufu_bd77cfa7950eaa_first30,False,1.0,13,2,1,0.8666666666666667,0.9285714285714286,0.896551724137931
jiufu271,R3-23,jiufu_cc60214ff2d564_first30,True,0.1,4,8,6,0.3333333333333333,0.4,0.36363636363636365
jiufu271,R3-23,jiufu_cc60214ff2d564_first30,True,0.2,6,6,4,0.5,0.6,0.5454545454545454
