cohort,review_id,window_id,cluster,strict_visible_phase,prediction_status,version,method,tolerance_seconds,tp,fp,fn,precision,recall,f1
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,957,True,abstain,R2,frozen_baseline,0.2,0,0,8,0.0,0.0,0.0
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,957,True,abstain,R3,frozen_baseline,0.2,0,0,9,0.0,0.0,0.0
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,957,True,abstain,R2,frozen_baseline,0.3,0,0,8,0.0,0.0,0.0
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,957,True,abstain,R3,frozen_baseline,0.3,0,0,9,0.0,0.0,0.0
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,957,True,abstain,R2,frozen_baseline,0.5,0,0,8,0.0,0.0,0.0
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,957,True,abstain,R3,frozen_baseline,0.5,0,0,9,0.0,0.0,0.0
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,957,True,abstain,R2,frozen_baseline,0.75,0,0,8,0.0,0.0,0.0
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,957,True,abstain,R3,frozen_baseline,0.75,0,0,9,0.0,0.0,0.0
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,957,True,abstain,R2,frozen_baseline,1.0,0,0,8,0.0,0.0,0.0
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,957,True,abstain,R3,frozen_baseline,1.0,0,0,9,0.0,0.0,0.0
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,957,True,abstain,R3,previously_rejected_local_guard,0.3,0,0,9,0.0,0.0,0.0
lindian49,R3-04,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,True,ok,R2,frozen_baseline,0.1,4,14,17,0.2222222222222222,0.19047619047619047,0.20512820512820512
lindian49,R3-04,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,True,ok,R3,frozen_baseline,0.1,2,16,17,0.1111111111111111,0.10526315789473684,0.10810810810810811
lindian49,R3-04,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,True,ok,R2,frozen_baseline,0.2,10,8,11,0.5555555555555556,0.47619047619047616,0.5128205128205128
lindian49,R3-04,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,True,ok,R3,frozen_baseline,0.2,6,12,13,0.3333333333333333,0.3157894736842105,0.32432432432432434
lindian49,R3-04,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,True,ok,R2,frozen_baseline,0.3,13,5,8,0.7222222222222222,0.6190476190476191,0.6666666666666666
lindian49,R3-04,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,True,ok,R3,frozen_baseline,0.3,11,7,8,0.6111111111111112,0.5789473684210527,0.5945945945945946
lindian49,R3-04,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,True,ok,R2,frozen_baseline,0.5,13,5,8,0.7222222222222222,0.6190476190476191,0.6666666666666666
lindian49,R3-04,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,True,ok,R3,frozen_baseline,0.5,11,7,8,0.6111111111111112,0.5789473684210527,0.5945945945945946
