cohort,review_id,window_id,tolerance_seconds,r2_time,r3_time,r2_minus_r3_seconds,caveat
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.2,8.097,7.982,0.11499999999999932,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.2,9.841,9.915,-0.07399999999999984,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.2,11.905,11.972,-0.06700000000000017,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.2,17.826,17.687,0.13899999999999935,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.2,20.179,20.282,-0.10300000000000153,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.2,23.02,23.022,-0.0019999999999988916,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.2,27.296,27.315,-0.019000000000001904,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.2,29.074,29.058,0.01600000000000179,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.3,8.097,7.982,0.11499999999999932,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.3,9.841,9.915,-0.07399999999999984,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.3,11.905,11.972,-0.06700000000000017,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.3,17.826,17.687,0.13899999999999935,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.3,20.179,20.282,-0.10300000000000153,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.3,23.02,23.022,-0.0019999999999988916,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.3,27.296,27.315,-0.019000000000001904,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.3,29.074,29.058,0.01600000000000179,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.5,2.874,2.393,0.4810000000000003,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.5,8.097,7.982,0.11499999999999932,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.5,9.841,9.915,-0.07399999999999984,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.5,11.905,11.972,-0.06700000000000017,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.5,15.386,15.725,-0.3390000000000004,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.5,17.826,17.687,0.13899999999999935,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.5,20.179,20.282,-0.10300000000000153,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.5,23.02,23.022,-0.0019999999999988916,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.5,27.296,27.315,-0.019000000000001904,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.5,29.074,29.058,0.01600000000000179,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.75,2.874,2.393,0.4810000000000003,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.75,8.097,7.982,0.11499999999999932,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.75,9.841,9.915,-0.07399999999999984,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.75,11.905,11.972,-0.06700000000000017,truncated_matched_subset_not_reaction_latency
