window_id,removed_left,removed_right,fallback,baseline_count,new_count
jiufu_b7b6bd430c8fe7_first30,10,69,False,9,9
jiufu_2b9099fd06d9e1_first30,46,80,False,17,15
jiufu_370ef65c280bd7_first30,53,72,False,17,9
jiufu_638ea7f2298781_first30,9,2,False,2,2
jiufu_931fb29cee6b4b_first30,52,18,False,9,11
jiufu_b01f0755dc6a1f_first30,42,18,False,12,14
jiufu_f242385ce55e15_first30,7,30,False,10,10
jiufu_f920435ef76ec4_first30,4,11,False,8,7
jiufu_7f52d294468aa5_first30,88,226,False,16,12
jiufu_11acdc6d1c6ccc_first30,27,36,False,10,14
jiufu_cc60214ff2d564_first30,21,89,False,10,11
jiufu_f23fd2fe9eb848_first30,36,18,False,9,8
jiufu_19e995b0eca6a3_first30,20,13,False,7,6
jiufu_126bdac0bd036b_first30,2,112,False,12,12
jiufu_c6e5a206ad0c30_first30,15,82,False,17,17
jiufu_0f7af9c769fda5_first30,45,44,False,10,12
jiufu_42402108cd09a9_first30,16,11,False,7,8
jiufu_a97a8ff157139f_first30,45,21,False,11,11
jiufu_a45d837f891e44_first30,44,43,False,7,9
jiufu_3a993354ebd1c7_first30,51,165,False,17,11
jiufu_13f838ff73e069_first30,4,23,False,5,6
jiufu_7388b7efc8afb3_first30,44,72,False,13,11
jiufu_cbc238aa9bbc71_first30,20,35,False,5,6
jiufu_2fdd36fbe9a8ce_first30,9,2,False,16,15
jiufu_ef58cd171d4783_first30,28,37,False,14,15
jiufu_dfa58f3a711e47_first30,41,44,False,10,9
jiufu_a1ceaa6025ff79_first30,77,2,False,10,10
jiufu_376f61387ab710_first30,41,33,False,8,6
jiufu_9a1c40cbb80bb1_first30,143,52,False,9,10
jiufu_161f93bfffbe11_first30,9,8,False,9,11
jiufu_014c9b6a274fed_first30,12,54,False,12,6
jiufu_028724ccc9868d_first30,34,153,False,17,13
jiufu_0c053f837a8b23_first30,29,59,False,17,14
jiufu_8f6eabd7f2cb6e_first30,33,42,False,10,10
jiufu_21b4c4c26061d0_first30,68,16,False,15,14
jiufu_37333d1afc0ec2_first30,23,40,False,15,12
jiufu_b273cec8024eb2_first30,4,6,False,13,14
jiufu_d1a9a7ab944633_first30,23,69,False,12,10
jiufu_908496549f5b42_first30,3,23,False,6,5
jiufu_04fd6f8dc56a73_first30,5,44,False,10,12
jiufu_440a29cebcae1c_first30,9,77,False,11,11
jiufu_8538e6e6160d83_first30,9,20,False,14,14
jiufu_e2821e37ff899d_first30,4,133,False,18,18
jiufu_b80d393ca25ef8_first30,23,23,False,5,2
jiufu_adb9b6776eb349_first30,6,39,False,19,17
jiufu_8fea3748e16a76_first30,8,13,False,3,2
jiufu_d837d576df8e43_first30,16,20,False,9,6
jiufu_281bc808f4d3ff_first30,7,19,False,8,8
jiufu_4206de92a27bce_first30,4,5,False,15,15
jiufu_6a5dbf528731c7_first30,10,10,False,8,8
jiufu_ed27d896cd2a66_first30,19,59,False,10,10
jiufu_43743cb152c168_first30,19,27,False,13,11
jiufu_d7498380edb383_first30,7,134,False,12,15
jiufu_512d98136d6412_first30,22,87,False,14,15
jiufu_1b1d8d9b6faec7_first30,84,86,False,10,9
jiufu_1a11fc33fcb6cf_first30,22,29,False,14,12
jiufu_993a2261c33ae0_first30,45,50,False,15,13
jiufu_15023a4d62f18e_first30,18,3,False,24,24
jiufu_bcea2687a6b788_first30,36,100,False,15,11
jiufu_3f4036e1d8bfe3_first30,1,142,False,16,16
jiufu_aed28276135071_first30,7,19,False,13,10
jiufu_fe965ff4644d07_first30,18,40,False,14,13
jiufu_f6bca344b2c8ce_first30,1,36,False,18,18
jiufu_ce6ff507b22ee9_first30,7,106,False,19,17
jiufu_075ed4d93c9959_first30,21,36,False,9,11
jiufu_234cbf6b627421_first30,25,13,False,4,3
jiufu_1dc98a0ed074ec_first30,17,13,False,6,5
jiufu_0f85cab7ac58ae_first30,49,90,False,14,12
jiufu_55441b4c6fe974_first30,76,40,False,13,10
jiufu_d074036ef96d31_first30,22,38,False,15,10
jiufu_cdaa16888fda03_first30,24,64,False,9,9
jiufu_b7ed63dc0d8295_first30,21,138,False,15,15
jiufu_e47f27f9b4fe1b_first30,45,51,False,2,2
jiufu_9ddfe0afe06424_first30,117,18,False,13,12
