review_id,window_id,side,segment,eligible_full_window,strict_visible_phase,kind,frame_index,event_time_seconds,normalized_value,prominence,observed_run_start,observed_run_end
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,maximum,142,16.32183908045977,0.9330957330816245,0.11595077461601822,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,maximum,159,18.27586206896552,0.9539801912135739,0.14855510985910803,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,maximum,182,20.919540229885055,0.9121144871341917,0.15472058232405606,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,maximum,204,23.448275862068968,0.9637957074636001,0.07157147827680777,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,minimum,61,7.011494252873564,0.6705873718193834,0.12984155869580716,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,minimum,80,9.195402298850576,0.7479046064340269,0.1699162407043806,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,minimum,98,11.264367816091957,0.7958003312886349,0.1318605715230814,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,minimum,128,14.71264367816092,0.8171449584656063,0.11595077461601822,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,minimum,149,17.126436781609197,0.8054250813544659,0.14855510985910803,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,minimum,170,19.540229885057474,0.7418938683592565,0.22190183910434358,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,minimum,194,22.298850574712645,0.7573939048101357,0.15472058232405606,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,maximum,239,27.471264367816094,0.953559947891432,0.24524490384187203,25.517241379310345,29.88505747126437
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,maximum,252,28.965517241379317,0.8669488595994808,0.1412324790515962,25.517241379310345,29.88505747126437
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,minimum,231,26.55172413793104,0.7083150440495599,0.18348156951554095,25.517241379310345,29.88505747126437
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,minimum,248,28.505747126436784,0.7257163805478846,0.1412324790515962,25.517241379310345,29.88505747126437
R3-02,jiufu_7cb985938d0a6a_first30,right,jiufu_7cb985938d0a6a_first30,True,True,minimum,257,29.540229885057474,0.09911433750034448,0.4955458561395729,25.517241379310345,29.88505747126437
R3-03,jiufu_2aaced556ff39d_first30,left,segment_00,True,True,maximum,25,2.873563218390805,0.7579575537826041,0.24768182728537214,1.6091954022988506,3.9080459770114944
R3-03,jiufu_2aaced556ff39d_first30,left,segment_00,True,True,maximum,68,7.816091954022989,0.9033218493255699,0.15566292238084167,6.896551724137932,8.39080459770115
R3-03,jiufu_2aaced556ff39d_first30,right,segment_00,True,True,maximum,24,2.7586206896551726,0.8504116859514286,0.1829985743485747,1.6091954022988506,3.9080459770114944
R3-03,jiufu_2aaced556ff39d_first30,right,segment_00,True,True,minimum,31,3.563218390804598,0.6674131116028539,0.03536134985250472,1.6091954022988506,3.9080459770114944
R3-03,jiufu_2aaced556ff39d_first30,right,segment_00,True,True,maximum,66,7.586206896551725,0.832549198532675,0.1155554420279673,6.896551724137932,8.39080459770115
R3-03,jiufu_2aaced556ff39d_first30,left,segment_01,True,True,maximum,90,24.02298850574713,0.8361093502862864,0.16257885025975516,23.678160919540232,25.05747126436782
R3-03,jiufu_2aaced556ff39d_first30,left,segment_01,True,True,maximum,129,28.505747126436784,0.4774025106277178,0.055908349925507694,27.70114942528736,29.88505747126437
R3-03,jiufu_2aaced556ff39d_first30,left,segment_01,True,True,maximum,136,29.31034482758621,0.7992960860442416,0.05063351274291128,27.70114942528736,29.88505747126437
R3-03,jiufu_2aaced556ff39d_first30,left,segment_01,True,True,minimum,127,28.27586206896552,0.32275378714645486,0.30077736935744637,27.70114942528736,29.88505747126437
R3-03,jiufu_2aaced556ff39d_first30,right,segment_01,True,True,maximum,90,24.02298850574713,0.838564175300068,0.11002522631613199,23.678160919540232,25.05747126436782
R3-03,jiufu_2aaced556ff39d_first30,right,segment_01,True,True,maximum,127,28.27586206896552,0.9183438445012351,0.14727085407005647,27.70114942528736,29.88505747126437
R3-03,jiufu_2aaced556ff39d_first30,right,segment_01,True,True,minimum,132,28.85057471264368,0.6905869737711436,0.16507598618010966,27.70114942528736,29.88505747126437
R3-05,jiufu_0d1522aef374ec_first30,left,jiufu_0d1522aef374ec_first30,True,True,maximum,15,1.7241379310344829,0.8048126260556456,0.19467182440357877,0.6896551724137931,4.597701149425288
R3-05,jiufu_0d1522aef374ec_first30,left,jiufu_0d1522aef374ec_first30,True,True,maximum,27,3.1034482758620694,0.7572630915688923,0.22257921315370388,0.6896551724137931,4.597701149425288
R3-05,jiufu_0d1522aef374ec_first30,left,jiufu_0d1522aef374ec_first30,True,True,minimum,21,2.413793103448276,0.5346838784151884,0.22257921315370388,0.6896551724137931,4.597701149425288
R3-05,jiufu_0d1522aef374ec_first30,left,jiufu_0d1522aef374ec_first30,True,True,minimum,33,3.793103448275863,0.511556476269772,0.228301149490167,0.6896551724137931,4.597701149425288
R3-05,jiufu_0d1522aef374ec_first30,left,jiufu_0d1522aef374ec_first30,True,True,maximum,63,7.241379310344828,0.6940721194868332,0.08269296962077377,6.551724137931035,8.505747126436782
R3-05,jiufu_0d1522aef374ec_first30,left,jiufu_0d1522aef374ec_first30,True,True,minimum,70,8.045977011494253,0.6113791498660595,0.05189326280104567,6.551724137931035,8.505747126436782
R3-05,jiufu_0d1522aef374ec_first30,left,jiufu_0d1522aef374ec_first30,True,True,maximum,192,22.06896551724138,0.7221871814131291,0.27666860949846867,21.03448275862069,24.942528735632187
R3-05,jiufu_0d1522aef374ec_first30,left,jiufu_0d1522aef374ec_first30,True,True,maximum,211,24.252873563218397,0.6668425510181581,0.10728429684917606,21.03448275862069,24.942528735632187
R3-05,jiufu_0d1522aef374ec_first30,left,jiufu_0d1522aef374ec_first30,True,True,minimum,185,21.264367816091955,0.44551857191466043,0.04498642063324504,21.03448275862069,24.942528735632187
R3-05,jiufu_0d1522aef374ec_first30,left,jiufu_0d1522aef374ec_first30,True,True,minimum,203,23.333333333333336,0.5595582541689821,0.10728429684917606,21.03448275862069,24.942528735632187
R3-05,jiufu_0d1522aef374ec_first30,left,jiufu_0d1522aef374ec_first30,True,True,minimum,215,24.712643678160923,0.21694460848075015,0.057711801408022956,21.03448275862069,24.942528735632187
R3-05,jiufu_0d1522aef374ec_first30,left,jiufu_0d1522aef374ec_first30,True,True,minimum,247,28.390804597701152,0.4303077794701739,0.27037929392807186,26.7816091954023,29.88505747126437
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,maximum,15,1.7241379310344829,0.8251956616396451,0.32690744253743914,0.6896551724137931,4.597701149425288
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,maximum,27,3.1034482758620694,0.782870983643213,0.2856006637164755,0.6896551724137931,4.597701149425288
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,minimum,21,2.413793103448276,0.4972703199267374,0.2856006637164755,0.6896551724137931,4.597701149425288
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,minimum,32,3.6781609195402303,0.46519397657814543,0.33737865266975653,0.6896551724137931,4.597701149425288
R3-05,jiufu_0d1522aef374ec_first30,right,jiufu_0d1522aef374ec_first30,True,True,maximum,63,7.241379310344828,0.8044994830710173,0.1453747646287329,6.551724137931035,12.413793103448278
