method,window_id,status,predicted_time,reference_time,detections_at_peak,near_detection_count_change,near_missing_temperature
unfrozen_direct,jiufu_cc60214ff2d564_first30,FP,0.574712643678161,,0,True,True
unfrozen_direct,jiufu_cc60214ff2d564_first30,FP,2.528735632183908,,2,False,False
unfrozen_direct,jiufu_cc60214ff2d564_first30,FP,5.6321839080459775,,1,True,False
unfrozen_direct,jiufu_cc60214ff2d564_first30,FP,10.57471264367816,,1,True,True
unfrozen_direct,jiufu_cc60214ff2d564_first30,FP,18.27586206896552,,1,True,True
unfrozen_direct,jiufu_cc60214ff2d564_first30,FP,20.0,,0,True,True
unfrozen_direct,jiufu_cc60214ff2d564_first30,FP,24.59770114942529,,0,True,True
unfrozen_direct,jiufu_cc60214ff2d564_first30,FP,27.70114942528736,,2,False,False
unfrozen_direct,jiufu_55441b4c6fe974_first30,TP,2.0689655172413794,2.262,1,True,True
unfrozen_direct,jiufu_55441b4c6fe974_first30,TP,4.252873563218391,3.99,2,False,False
unfrozen_direct,jiufu_55441b4c6fe974_first30,TP,8.39080459770115,8.64,0,True,True
unfrozen_direct,jiufu_55441b4c6fe974_first30,TP,10.689655172413794,10.84,2,True,False
unfrozen_direct,jiufu_55441b4c6fe974_first30,TP,12.758620689655173,12.707,1,True,False
unfrozen_direct,jiufu_55441b4c6fe974_first30,TP,18.85057471264368,19.045,1,True,True
unfrozen_direct,jiufu_55441b4c6fe974_first30,TP,22.52873563218391,22.667,2,True,True
unfrozen_direct,jiufu_55441b4c6fe974_first30,FP,0.3448275862068966,,1,True,False
unfrozen_direct,jiufu_55441b4c6fe974_first30,FP,3.218390804597701,,2,True,False
unfrozen_direct,jiufu_55441b4c6fe974_first30,FP,7.471264367816093,,1,True,True
unfrozen_direct,jiufu_55441b4c6fe974_first30,FP,9.88505747126437,,1,True,False
unfrozen_direct,jiufu_55441b4c6fe974_first30,FP,17.586206896551726,,1,True,True
unfrozen_direct,jiufu_55441b4c6fe974_first30,FP,20.91954022988505,,1,False,False
unfrozen_direct,jiufu_bb78a10aeab6d5_first30,FP,9.310344827586208,,1,True,True
unfrozen_direct,jiufu_bb78a10aeab6d5_first30,FP,10.114942528735632,,0,True,True
unfrozen_direct,jiufu_0d1522aef374ec_first30,TP,7.356321839080461,7.172,1,True,True
unfrozen_direct,jiufu_0d1522aef374ec_first30,TP,8.505747126436782,8.558,1,True,False
unfrozen_direct,jiufu_0d1522aef374ec_first30,TP,10.114942528735632,10.242,2,True,True
unfrozen_direct,jiufu_0d1522aef374ec_first30,TP,11.839080459770116,11.833,1,True,False
unfrozen_direct,jiufu_0d1522aef374ec_first30,TP,15.977011494252874,15.702,1,False,False
unfrozen_direct,jiufu_0d1522aef374ec_first30,TP,19.080459770114945,19.018,1,True,True
unfrozen_direct,jiufu_0d1522aef374ec_first30,TP,22.41379310344828,22.315,2,True,False
unfrozen_direct,jiufu_0d1522aef374ec_first30,TP,24.13793103448276,24.033,1,True,False
unfrozen_direct,jiufu_0d1522aef374ec_first30,FP,6.0919540229885065,,0,True,True
unfrozen_direct,jiufu_0d1522aef374ec_first30,FP,26.666666666666668,,2,True,True
unfrozen_direct,jiufu_0d1522aef374ec_first30,FP,27.81609195402299,,1,True,True
unfrozen_direct,jiufu_0d1522aef374ec_first30,FP,29.31034482758621,,2,True,True
unfrozen_direct,jiufu_440a29cebcae1c_first30,TP,2.0689655172413794,1.845,1,True,False
unfrozen_direct,jiufu_440a29cebcae1c_first30,TP,3.9080459770114944,4.073,1,True,False
unfrozen_direct,jiufu_440a29cebcae1c_first30,TP,5.862068965517242,5.607,1,True,True
unfrozen_direct,jiufu_440a29cebcae1c_first30,TP,14.252873563218392,14.332,1,True,True
unfrozen_direct,jiufu_440a29cebcae1c_first30,TP,18.73563218390805,18.83,0,True,True
unfrozen_direct,jiufu_440a29cebcae1c_first30,TP,21.724137931034484,21.955,1,True,False
unfrozen_direct,jiufu_440a29cebcae1c_first30,TP,23.793103448275865,23.558,1,True,False
unfrozen_direct,jiufu_440a29cebcae1c_first30,TP,27.931034482758623,27.648,1,True,False
unfrozen_direct,jiufu_440a29cebcae1c_first30,FP,7.931034482758621,,1,True,True
unfrozen_direct,jiufu_440a29cebcae1c_first30,FP,9.770114942528735,,1,True,True
unfrozen_direct,jiufu_440a29cebcae1c_first30,FP,20.0,,2,True,False
unfrozen_direct,jiufu_440a29cebcae1c_first30,FP,25.977011494252874,,1,True,True
unfrozen_direct,jiufu_f920435ef76ec4_first30,TP,8.045977011494253,7.978,2,True,False
unfrozen_direct,jiufu_f920435ef76ec4_first30,TP,12.06896551724138,12.33,0,True,True
unfrozen_direct,jiufu_f920435ef76ec4_first30,TP,20.45977011494253,20.523,0,True,True
unfrozen_direct,jiufu_f920435ef76ec4_first30,TP,24.712643678160923,24.972,2,True,True
unfrozen_direct,jiufu_f920435ef76ec4_first30,TP,27.70114942528736,27.722,1,True,True
unfrozen_direct,jiufu_f920435ef76ec4_first30,FP,0.3448275862068966,,2,True,False
unfrozen_direct,jiufu_f920435ef76ec4_first30,FP,8.735632183908047,,0,True,True
unfrozen_direct,jiufu_f920435ef76ec4_first30,FP,17.471264367816094,,0,True,True
unfrozen_direct,jiufu_f920435ef76ec4_first30,FP,23.333333333333336,,2,False,False
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,TP,4.022988505747127,3.877,2,False,False
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,TP,11.609195402298852,11.733,2,False,False
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,TP,13.10344827586207,13.053,1,True,False
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,TP,15.977011494252874,16.022,2,True,False
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,TP,18.73563218390805,18.813,2,True,False
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,TP,22.75862068965517,22.737,2,False,False
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,TP,24.48275862068966,24.655,2,False,False
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,TP,29.080459770114945,29.33,2,True,True
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,FP,2.183908045977012,,1,True,False
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,FP,5.977011494252874,,2,False,False
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,FP,7.241379310344828,,0,True,True
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,FP,10.0,,0,True,True
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,FP,14.827586206896552,,1,True,True
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,FP,17.471264367816094,,1,True,True
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,FP,20.45977011494253,,1,True,True
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,FP,21.60919540229885,,2,True,False
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,FP,23.333333333333336,,2,True,False
unfrozen_direct,jiufu_bd77cfa7950eaa_first30,FP,27.58620689655173,,1,True,True
