window_id,start_frame,stop_frame_exclusive,core_start_frame,core_stop_frame_exclusive,core_start_seconds,core_stop_seconds,core_seconds,eligible_duration,segment_id,event_count,signal_status
jiufu_b230c11bab398b_first30,0,202,0,199,0.0,22.873563218390803,22.873563218390803,True,0,14,partial_events_only
jiufu_b230c11bab398b_first30,223,261,226,261,25.977011494252874,30.0,4.022988505747127,False,1,0,short_span
jiufu_d34b02325b217f_first30,0,73,0,70,0.0,8.045977011494253,8.045977011494253,True,0,2,partial_events_only
jiufu_d34b02325b217f_first30,95,261,98,261,11.264367816091953,30.0,18.735632183908045,True,1,0,partial_events_only
jiufu_61a48001d2c6ac_first30,0,177,0,174,0.0,20.0,20.0,True,0,10,partial_events_only
jiufu_61a48001d2c6ac_first30,199,261,202,261,23.2183908045977,30.0,6.781609195402298,True,1,4,partial_events_only
jiufu_61a3c1628d9017_first30,0,88,0,85,0.0,9.770114942528735,9.770114942528735,True,0,9,partial_events_only
jiufu_61a3c1628d9017_first30,108,261,111,261,12.758620689655173,30.0,17.241379310344826,True,1,15,partial_events_only
jiufu_afbc3c7536759a_first30,0,81,0,78,0.0,8.96551724137931,8.96551724137931,True,0,7,partial_events_only
jiufu_afbc3c7536759a_first30,103,261,106,261,12.183908045977011,30.0,17.816091954022987,True,1,14,partial_events_only
jiufu_6e5606d58e82c5_first30,0,63,0,60,0.0,6.896551724137931,6.896551724137931,True,0,3,partial_events_only
jiufu_6e5606d58e82c5_first30,85,261,88,261,10.114942528735632,30.0,19.885057471264368,True,1,12,partial_events_only
jiufu_1686565c1da471_first30,0,248,0,245,0.0,28.160919540229884,28.160919540229884,True,0,12,partial_events_only
jiufu_6434f8ad9b4978_first30,0,245,0,242,0.0,27.816091954022987,27.816091954022987,True,0,16,partial_events_only
jiufu_0f495ca37676e0_first30,0,156,0,153,0.0,17.586206896551722,17.586206896551722,True,0,5,partial_events_only
jiufu_0f495ca37676e0_first30,179,261,182,261,20.919540229885058,30.0,9.080459770114942,True,1,4,partial_events_only
jiufu_87e482c45f5ec2_first30,0,226,0,223,0.0,25.632183908045977,25.632183908045977,True,0,10,partial_events_only
jiufu_87e482c45f5ec2_first30,245,261,248,261,28.50574712643678,30.0,1.4942528735632183,False,1,0,short_span
jiufu_c79b86b8813e90_first30,0,195,0,192,0.0,22.06896551724138,22.06896551724138,True,0,7,partial_events_only
