cohort,arm,window_id,predicted_count,truth_count,predicted_rr_bpm,truth_rr_bpm
jiufu271,uniform,jiufu_59f7f9462f2c30_first30,17,19,34.0,38.0
jiufu271,uniform,jiufu_6454a9e613172b_first30,25,23,50.0,46.0
jiufu271,uniform,jiufu_80fa8dbe195b66_first30,16,22,32.0,44.0
jiufu271,uniform,jiufu_012d9efb7d8d4c_first30,10,19,20.0,38.0
jiufu271,uniform,jiufu_5623dc263f1364_first30,14,12,28.0,24.0
jiufu271,uniform,jiufu_8254fd394c755d_first30,12,14,24.0,28.0
jiufu271,uniform,jiufu_33ff2c90bde0a7_first30,11,8,22.0,16.0
jiufu271,uniform,jiufu_c37db5cf8c7d4e_first30,6,7,12.0,14.0
jiufu271,uniform,jiufu_8ac17622997976_first30,10,10,20.0,20.0
jiufu271,uniform,jiufu_ee2427b1f91c14_first30,14,14,28.0,28.0
jiufu271,uniform,jiufu_d40d50640e24a1_first30,29,29,58.0,58.0
jiufu271,uniform,jiufu_e20abde4e3a043_first30,18,21,36.0,42.0
jiufu271,uniform,jiufu_fffa829b4cfc5f_first30,11,13,22.0,26.0
jiufu271,uniform,jiufu_39742bec07007b_first30,10,20,20.0,40.0
jiufu271,uniform,jiufu_a7f96cc7661e4a_first30,14,16,28.0,32.0
jiufu271,uniform,jiufu_f5a7ada186a785_first30,18,13,36.0,26.0
jiufu271,uniform,jiufu_8f2aab0fc1ae4b_first30,30,26,60.0,52.0
jiufu271,uniform,jiufu_05aaedc28c6708_first30,11,9,22.0,18.0
jiufu271,uniform,jiufu_0d1522aef374ec_first30,15,14,30.0,28.0
jiufu271,uniform,jiufu_2cdb051142d5ab_first30,14,14,28.0,28.0
jiufu271,uniform,jiufu_d4707a9c23271d_first30,14,14,28.0,28.0
jiufu271,uniform,jiufu_2f0c90ece853b4_first30,17,17,34.0,34.0
jiufu271,uniform,jiufu_57c74728570ec9_first30,18,20,36.0,40.0
jiufu271,uniform,jiufu_2fc7ddf8f284e4_first30,20,19,40.0,38.0
jiufu271,uniform,jiufu_a04e9f770a2bb9_first30,20,23,40.0,46.0
jiufu271,uniform,jiufu_333df78fe49441_first30,15,14,30.0,28.0
jiufu271,uniform,jiufu_4263d1ee2b7d38_first30,21,22,42.0,44.0
jiufu271,uniform,jiufu_7cb985938d0a6a_first30,12,12,24.0,24.0
jiufu271,uniform,jiufu_7c448f9ef64639_first30,16,15,32.0,30.0
jiufu271,uniform,jiufu_bc495978774317_first30,13,10,26.0,20.0
jiufu271,uniform,jiufu_e3cef2504bbb4a_first30,15,16,30.0,32.0
jiufu271,uniform,jiufu_d7a117e86dae24_first30,15,15,30.0,30.0
jiufu271,uniform,jiufu_f339ead1fdb0ac_first30,18,16,36.0,32.0
jiufu271,uniform,jiufu_92e9f652faa64a_first30,18,25,36.0,50.0
jiufu271,uniform,jiufu_fe09caa146ddbd_first30,13,14,26.0,28.0
jiufu271,uniform,jiufu_f6c192eaf6c290_first30,8,13,16.0,26.0
jiufu271,uniform,jiufu_42e874dae20aee_first30,7,9,14.0,18.0
jiufu271,uniform,jiufu_b45e99f5e3803e_first30,23,22,46.0,44.0
jiufu271,uniform,jiufu_fbbccb98b40ed8_first30,8,8,16.0,16.0
jiufu271,uniform,jiufu_b7367092cbf12f_first30,12,18,24.0,36.0
jiufu271,uniform,jiufu_fbaed9c05fdf1a_first30,18,12,36.0,24.0
jiufu271,uniform,jiufu_09732493a874e4_first30,21,10,42.0,20.0
jiufu271,uniform,jiufu_c2f523dbca4113_first30,16,16,32.0,32.0
jiufu271,uniform,jiufu_19a4aa849045e9_first30,18,17,36.0,34.0
jiufu271,uniform,jiufu_bfba3aa9a87b7c_first30,20,16,40.0,32.0
jiufu271,uniform,jiufu_542013dcb78dc0_first30,15,13,30.0,26.0
jiufu271,uniform,jiufu_596ccaaf7a001c_first30,14,15,28.0,30.0
jiufu271,uniform,jiufu_9b4d8a24856a9f_first30,10,6,20.0,12.0
jiufu271,uniform,jiufu_a1fad2b6534006_first30,12,18,24.0,36.0
jiufu271,uniform,jiufu_4923eea2509695_first30,23,21,46.0,42.0
jiufu271,uniform,jiufu_ff4c4ac565e3b0_first30,11,10,22.0,20.0
jiufu271,uniform,jiufu_24afbde80aa2d4_first30,7,7,14.0,14.0
jiufu271,uniform,jiufu_135fcf30e11031_first30,19,16,38.0,32.0
jiufu271,uniform,jiufu_21792037472910_first30,7,6,14.0,12.0
jiufu271,uniform,jiufu_fdc3b301cd9ef1_first30,9,6,18.0,12.0
jiufu271,uniform,jiufu_b1efccc0572872_first30,11,9,22.0,18.0
jiufu271,uniform,jiufu_cbf053d260a726_first30,12,17,24.0,34.0
jiufu271,uniform,jiufu_b7a3631a4e36ce_first30,10,11,20.0,22.0
jiufu271,uniform,jiufu_4cadeee3a7496f_first30,15,10,30.0,20.0
jiufu271,uniform,jiufu_0bede2d3d6e2ef_first30,18,23,36.0,46.0
jiufu271,uniform,jiufu_771e73351d8f0d_first30,25,30,50.0,60.0
jiufu271,uniform,jiufu_ed4591eaed0b3f_first30,17,23,34.0,46.0
jiufu271,uniform,jiufu_39c814598b6c9a_first30,15,18,30.0,36.0
jiufu271,uniform,jiufu_72f9214b6e39c9_first30,8,5,16.0,10.0
jiufu271,uniform,jiufu_44a8b44ef7ff55_first30,16,10,32.0,20.0
jiufu271,uniform,jiufu_46aefc048b6969_first30,13,12,26.0,24.0
jiufu271,uniform,jiufu_f19803e664a7cb_first30,12,12,24.0,24.0
jiufu271,uniform,jiufu_ca838441c991bb_first30,21,21,42.0,42.0
jiufu271,uniform,jiufu_366cb8600d5450_first30,9,9,18.0,18.0
jiufu271,uniform,jiufu_a72be27aa4d574_first30,15,9,30.0,18.0
jiufu271,uniform,jiufu_cc8f24e9070eb6_first30,10,10,20.0,20.0
jiufu271,uniform,jiufu_658fffa214f378_first30,23,22,46.0,44.0
jiufu271,uniform,jiufu_a005ae733f6503_first30,10,8,20.0,16.0
jiufu271,uniform,jiufu_1f9c8c3925bc30_first30,13,14,26.0,28.0
jiufu271,uniform,jiufu_2b9099fd06d9e1_first30,17,12,34.0,24.0
jiufu271,uniform,jiufu_370ef65c280bd7_first30,17,15,34.0,30.0
jiufu271,uniform,jiufu_931fb29cee6b4b_first30,9,14,18.0,28.0
jiufu271,uniform,jiufu_b01f0755dc6a1f_first30,12,13,24.0,26.0
jiufu271,uniform,jiufu_f242385ce55e15_first30,10,10,20.0,20.0
jiufu271,uniform,jiufu_f920435ef76ec4_first30,8,8,16.0,16.0
jiufu271,uniform,jiufu_7f52d294468aa5_first30,16,15,32.0,30.0
jiufu271,uniform,jiufu_11acdc6d1c6ccc_first30,10,12,20.0,24.0
jiufu271,uniform,jiufu_cc60214ff2d564_first30,10,12,20.0,24.0
jiufu271,uniform,jiufu_f23fd2fe9eb848_first30,9,10,18.0,20.0
jiufu271,uniform,jiufu_126bdac0bd036b_first30,12,12,24.0,24.0
jiufu271,uniform,jiufu_c6e5a206ad0c30_first30,17,18,34.0,36.0
jiufu271,uniform,jiufu_0f7af9c769fda5_first30,10,16,20.0,32.0
jiufu271,uniform,jiufu_42402108cd09a9_first30,7,5,14.0,10.0
jiufu271,uniform,jiufu_a97a8ff157139f_first30,11,11,22.0,22.0
jiufu271,uniform,jiufu_a45d837f891e44_first30,7,8,14.0,16.0
jiufu271,uniform,jiufu_3a993354ebd1c7_first30,16,23,32.0,46.0
jiufu271,uniform,jiufu_13f838ff73e069_first30,5,3,10.0,6.0
jiufu271,uniform,jiufu_7388b7efc8afb3_first30,13,14,26.0,28.0
jiufu271,uniform,jiufu_2fdd36fbe9a8ce_first30,16,16,32.0,32.0
jiufu271,uniform,jiufu_ef58cd171d4783_first30,14,15,28.0,30.0
jiufu271,uniform,jiufu_dfa58f3a711e47_first30,9,7,18.0,14.0
jiufu271,uniform,jiufu_a1ceaa6025ff79_first30,10,17,20.0,34.0
jiufu271,uniform,jiufu_9a1c40cbb80bb1_first30,9,10,18.0,20.0
jiufu271,uniform,jiufu_161f93bfffbe11_first30,9,10,18.0,20.0
jiufu271,uniform,jiufu_014c9b6a274fed_first30,12,16,24.0,32.0
jiufu271,uniform,jiufu_028724ccc9868d_first30,17,18,34.0,36.0
jiufu271,uniform,jiufu_0c053f837a8b23_first30,17,14,34.0,28.0
jiufu271,uniform,jiufu_8f6eabd7f2cb6e_first30,10,10,20.0,20.0
