file_id,source_path,bytes,sha256_full,scope
jiufu_6a641dd078f572,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134713-753.MP4,14832842,6f026c4a5d68839b20f46bd7a6ecc136f9444d76497ab1e26d694e912057f43e,full_file_identity_not_visual_near_duplicate_detection
jiufu_edd9eebe6de991,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134930-943.MP4,9625558,ec6dd3673e5e9a4c7f5141a8e8e45194a80ae0d8ca73fa08f8ad56180ceba3df,full_file_identity_not_visual_near_duplicate_detection
jiufu_58c38973aff558,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135104-771.MP4,7116915,02638e8059e5e914bee1cd0acc292e9f73251028e66fed2b8d8e7f8706f36ade,full_file_identity_not_visual_near_duplicate_detection
jiufu_665326590feedb,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135221-447.MP4,16637011,927f93651fa4f25b112ff4139a645e7b556ceb5fa08d14f04ad28aa5cb9225d9,full_file_identity_not_visual_near_duplicate_detection
jiufu_053d6bd561c20b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135554-1838.MP4,8543776,0b95b167d71443c9113f97dfe62f5b423f5067160b753b98a9f1c9f10fe245c1,full_file_identity_not_visual_near_duplicate_detection
jiufu_9a14e05c1c184c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135926-728.MP4,5609543,0bf58d721146d33a7e8e3f06692274a5ae00ac19e123e8432295126a1624bf4e,full_file_identity_not_visual_near_duplicate_detection
jiufu_124bf365605cd6,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140349-1299.MP4,11893643,c840fcba0e8f4ba80ec558a0c4b74c7d6f335afdfbf6ae52b22c5775dcd52cfa,full_file_identity_not_visual_near_duplicate_detection
jiufu_cc565ea0bfa396,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140619-1246.MP4,6319082,d0f7e0e01f838d0f51f7588091bb2d2715e015746080c08605c6e52f12a5d25e,full_file_identity_not_visual_near_duplicate_detection
jiufu_0a14da4ad52431,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T142101-1134.MP4,9091065,dceaba2d9d0ae52eb41344ef1683a56c0e66c5004605432814b595bd6240d440,full_file_identity_not_visual_near_duplicate_detection
jiufu_abada3dda3e8b7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T080938-846.MP4,12901117,4a6d75ab782108e66deddf452de98a8be66aa74d3a5af268e78a34b877fff75e,full_file_identity_not_visual_near_duplicate_detection
jiufu_0ef3b83bc00130,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081221-1428.MP4,14039390,b03751e8c05bf5b717477fb154425b7b8a87f30193b16039afa67e9e876a03e6,full_file_identity_not_visual_near_duplicate_detection
jiufu_6d14fba7168351,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081505A1021142.MP4,9493600,9b20906cd1e9432dce57976705fe9b2315ab8c20b5d5e6d872ebf29de64c2870,full_file_identity_not_visual_near_duplicate_detection
jiufu_c5ff3e35124405,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081638-1408.MP4,11557327,fded0a5d1b2b0854abede125ea300268b77e71a204a3211707c6c3e0c45bf1d4,full_file_identity_not_visual_near_duplicate_detection
jiufu_a6ed80c55f7be6,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081830-1436.MP4,10178260,9eb1ac6f8918e3abbfa28e77ab90ad76ee755d6489d1c8d6d82a477c2b84108a,full_file_identity_not_visual_near_duplicate_detection
jiufu_6fa0bbd661c8bb,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T082631-1423.MP4,4495070,e9b70e3d14894b7e3565b123fc01b8f1865d105632206ed5be6b85b2f26e8a45,full_file_identity_not_visual_near_duplicate_detection
jiufu_58da0349ace78c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T082946-1601.MP4,12121627,5a0d705eb2cbbc794b961a5fa5b7d3402dac4e568a5985733e6d154188fcc291,full_file_identity_not_visual_near_duplicate_detection
jiufu_9eb853207f9233,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083424-640.MP4,6114128,764b10efe23b149753f99fb2e24a4c03379e036671d89966e1b3b4c2fedb7cc9,full_file_identity_not_visual_near_duplicate_detection
